text,hatespeech_comb,hatespeech_G1,annotator_G1,hatespeech_G2,annotator_G2,hatespeech_G3,annotator_G3,pred_av1,pred_llama3,pred_gemma2
LEVE-O PRO PUTEIRO SE ELE ENTRAR NESSE CAMINHO DE LOL O SR. NUNCA SERÁ AVÔ. BOA SORTE.  #JoaquinResponde https://t.co/wLGmY4Tg1D,1,1,C,1.0,V,1,D,0,1,1
"@PolitzOficial ta certo, o q tem de terrorista posando de refugiado",1,1,E,1.0,Dani,0,A,0,1,1
"Primeiramente Bolsonaro
Segundamente Presidente!",1,1,B,1.0,It,0,B,0,0,0
Desejou feliz dia das mulé o cara q chama mulher de burra o resto do ano,0,0,B,0.0,B,0,D,1,0,1
tem mulher que e burra invés de seguir em frente anda pra  trás pra cometer o mesmo erro,1,1,D,1.0,S,1,B,1,0,1
"sabia que esse cara era um tremendo de um pau no cu, dá pra ver pelos vídeos no youtube https://t.co/QjREu4L723",1,1,A,1.0,I,1,E,1,1,1
Se vc tiver 4 paus sim https://t.co/342moBcYQH,0,1,B,0.0,B,0,C,0,0,1
Canso de ver um monte de cara burro pagando de machão e um monte de menina burra que procura no Google o significado de ser uma mulher.,1,1,C,1.0,Dani,0,D,1,0,1
"@BolsonaroSP  as empresas que fabricam CITOTEC, REMEDIO ABORTIVO devem dar muito dinheiro pra essa gente",1,1,C,1.0,V,0,D,0,1,1
@aninha_ebc Tá no msn????,0,0,B,0.0,V,0,C,0,0,0
"@FlavioBolsonaro  responde as críticas do @MBLivre, @mamaefalei e @Desesquerdizada e fala umas verdades
https://t.co/qcMpKlusku",0,1,E,0.0,V,0,D,0,1,0
