clean_text,stemmed_text,lemmatized_text,sentiment
hoje,hoj,hoje,0
mano,man,mano,0
panutanq,panutanq,panutanq,1
ta tocando sertanejo dammam fico vomo atras alguem pra dancar rodada,ta toc sertanej damm fic vom atras algu pra danc rod,ta tocar sertanejo dammar fico vomo atra alguir pra dancar rodar,0
hahahahaha valeu humor,hahahahah val humor,hahahahaha valeu humor,1
ligaramme bocado vaga universidade ia estender ate setembro,ligaramm boc vag univers ia estend ate setembr,ligaramme bocar vagar universidade ir estender ate setembro,1
tao linda,tao lind,taoer linda,0
dia bonequinho papelao p,dia bonequinh papela p,dia bonequinho papelao p,1
dia pra ta puta situacao governo brasileiro pra completar provas anatomia,dia pra ta put situaca govern brasileir pra complet prov anatom,dia pra ta puta situacao governo brasileiro pra completar prova anatomia,1
fiz desenho basicao pks,fiz desenh basica pks,fiz desenho basicao pks,1
pq chorar,pq chor,pq chorar,0
bateu saudade doidao,bat saudad doida,bater saudade doidao,0
tambem queria pena,tamb quer pen,tambem querer pena,0
sorrisinho,sorrisinh,Sorrisinho,0
sorte pra,sort pra,sorte pra,0
estarei la conferir,estar la confer,estarar la conferir,1
queria,quer,querer,0
vontade raspar cara asfalto,vontad rasp car asfalt,vontade raspar cara asfalto,1
melhor sonho voce ja sonhei q ciro virava presidente infelizmente n,melhor sonh voc ja sonh q cir vir president infeliz n,bom sonho voce ja sonhei q ciro virar presidente infelizmente n,0
queria esperando camisa senna chegar,quer esper camis senn cheg,querer esperar camisa senna chegar,0
ate pena comer bacon,ate pen com bacon,ate pena comer bacon,0
dia maravilhosa quartafeira boker tov chevre,dia maravilh quartafeir bok tov chevr,dia maravilhosa quartafeira boker tov chevre,1
ai ent vou reais moeda d,ai ent vou rea moed d,ai ent ir real moedar d,1
so percebi dou pra menina quase perdi mae pai,so perceb dou pra menin quas perd mae pai,so percebi dou pra menina quase perdi mae pai,1
horror,horror,horror,0
pasa bebe,pas beb,pasa beber,0
ah mundo ja,ah mund ja,ah Mundo ja,0
democracia permite achismo tbm,democrac permit achism tbm,democracia permitir achismo tbm,1
conseguiste concretizar objetivos ano n kkkkkk,consegu concretiz objet ano n kkkkkk,conseguiste concretizar objetivo ano n kkkkkk,0
ta cheirando perfume mateus vou dormir triste feliz hoje,ta cheir perfum mateus vou dorm trist feliz hoj,ta cheirar perfume Mateus ir dormir triste feliz hoje,0
sdds puto jax teller,sdds put jax tell,sdds putor jax teller,0
tecnica tradicional vale doodle seguir tema vamo postamos dia d,tecnic tradicional val doodl segu tem vam post dia d,tecnico tradicional valer doodle seguir tema vamo postar dia d,1
queria rosa so roupa preta,quer ros so roup pret,querer roso so roupa preto,1
juh deixou sozinho,juh deix sozinh,juh deixar sozinho,0
lindo,lind,lir,1
tbm,tbm,tbm,0
bah manda votar cirooooo pqp bicho tava sofrendo inclusao piorar situacao,bah mand vot ciroooo pqp bich tav sofr inclusa pior situaca,bah mandar votar cirooooo pqp bicho tar sofrer inclusao piorar situacao,0
solucao simples pra voce nao aguenta corrupcao problemas brasil saia brasil,soluca simpl pra voc nao aguent corrupca problem brasil sai brasil,solucao simples pra voce nao aguentar corrupcao problema Brasil saia Brasil,1
amores vida,amor vid,amor vida,0
correr risco vc fanfic vc eh burra,corr risc vc fanfic vc eh burr,correr risco vc fanfic vc eh burra,1
originalmente fascismo movimento politico fundado b mussolini marco composto unidades combate fasci di combattimento fascismo apresentado partido politico is,original fascism moviment polit fund b mussolin marc compost unidad combat fasc di combatt fascism apresent part polit is,originalmente fascismo movimento politico fundar b mussolini Marco compor unidade combate fasci di combattimento fascismo apresentar partido politico is,0
vou indicar,vou indic,ir indicar,1
ate medo perguntar pro tio preferido votar,ate med pergunt pro tio prefer vot,ate medo perguntar pro tio preferer votar,0
entro vejo pra descontrair temor interno coiso ganhar ameacar existencia fato,entro vej pra descontra temor intern cois ganh ameac existenc fat,entro vejo pra descontrair temor interno coiso ganhar ameacar existencia fato,1
ganhou voto,ganh vot,ganhar voto,1
certo,cert,certo,1
nao kkkkkkkkk motivo nao conta,nao kkkkkkkkk motiv nao cont,nao kkkkkkkkk motivo nao contar,1
manda pra mim tbm,mand pra mim tbm,mandar pra eu tbm,0
ngm conversa cmg,ngm convers cmg,ngm conversa cmg,0
emagreci kg feira pra ca kkkkkkkkkkkkkkkkkkkklllkkkkkjkkkkkjkknnjkkikkkkkkkkhkbmlkkkkk,emagrec kg feir pra ca kkkkkkkkkkkkkkkkkkkklllkkkkkjkkkkkjkknnjkkikkkkkkkkhkbmlkkkkk,emagreci kg feira pra ca kkkkkkkkkkkkkkkkkkkklllkkkkkjkkkkkjkknnjkkikkkkkkkkhkbmlkkkkk,0
queria,quer,querer,0
achei unico,ache unic,achar unico,0
dia pra realmente nao comecou olha parabens envolvidos,dia pra realment nao comec olha parabens envolv,dia pra realmente nao comecar olhar parabem envolver,1
ta tao magrinho mds ta alimentando,ta tao magrinh mds ta aliment,ta tao magrinho mds ta alimentar,0
estupido amigo consigo estupido educacao voce ficar chama inteligencia ate hoje nao precisei pra falar cm pessoas,estup amig consig estup educaca voc fic cham inteligenc ate hoj nao precis pra fal cm pesso,estuper amigo consigo estuper educacao voce ficar chamar inteligencia ate hoje nao precisar pra falar cm pessoa,1
mudanca fofura acabando ate cm meme oq frente,mudanc fofur acab ate cm mem oq frent,mudanca fofurar acabar ate cm memer oq frente,0
mano to mt fudido cara candidatos pessimos pra turno,man to mt fud car candidat pess pra turn,Mano to mt fudir cara candidato pessir pra turno,0
so queria semana ferias,so quer seman fer,so querer semana ferio,0
arraso es querida conheco gira,arras es quer conhec gir,arraso es querida conheco gira,1
voces virem pra floripa hahaha d,voc vir pra florip hahah d,voce vir pra floripa hahaho d,1
es,es,es,1
vida,vid,vida,0
vc ajudar q possa la,vc ajud q poss la,vc ajudar q poder la,0
ja decidi votos p deputado federal estadual sp so senadores governador,ja decid vot p deput federal estadual sp so senador govern,ja decidir voto p deputado federal estadual sp so senador governador,1
acho,acho,achar,1
so queria abraco nele demonstrar coracao partido,so quer abrac nel demonstr coraca part,so querer abraco em ele demonstrar coracao partir,0
comprou errado amiga junior racao pra adulto kkkkkk,compr errad amig junior raca pra adult kkkkkk,comprar errar amiga junior racao pra adulto kkkkkk,0
onda metoo depp culpado carreira ja acabado kevin spacey mes advogado depp ira liberar coisas julgamento,onda meto depp culp carreir ja acab kevin spacey mes advog depp ira liber cois julgament,onda metoo depp culpar carreira ja acabar kevin spacey mes advogado deppr ira liberar coisa julgamento,1
aa to faltando mt decido q vou faltar amanha,aa to falt mt dec q vou falt amanh,aa to faltar mt decer q ir faltar amanho,1
alguem manda pra mim,algu mand pra mim,alguir manda pra eu,0
ah agr vou ficar pensando,ah agr vou fic pens,ah agr ir ficar pensar,0
foda viu,fod viu,foda ver,0
querendo tentou entrar twitter obrigando trocar senha,quer tent entrar twitt obrig troc senh,querer tentar entrar twitter obrigar trocar seneh,1
ta ok,ta ok,ta ok,1
tomara reflexao acontecer to assustada imagino decepcao,tom reflexa acontec to assust imagin decepca,tomar reflexao acontecer to assustar imaginar decepcao,0
toma cuidado bebe,tom cuid beb,tomar cuidado beber,0
hoje confundi horas aula conducao cheguei hora aula acabava,hoj confund hor aul conduca chegu hor aul acab,hoje confundi hora aula conducao cheguei hora aula acabar,1
queria falar nao politica ficar pena nao,quer fal nao polit fic pen nao,querer falar nao politico ficar pena nao,0
agr ja bazei,agr ja baz,agr ja bazei,0
adoras albufeira adoras mim,ador albufeir ador mim,adora albufeira adora eu,1
acordei sono hoje af,acord son hoj af,acordar sono hoje af,0
achsu,achsu,Achsu,1
tava quase dormindo lembrei tema quimica,tav quas dorm lembr tem quimic,tar quase dormir lembrar tema quimico,0
caixa som pro pau anos comigo,caix som pro pau anos comig,caixar som pro pau ano comigo,0
surpresa mara hein d lt,surpres mar hein d lt,surpresa mar hein d lt,1
denunciamos conteudo odio quiserem colaborar ja ajudou ja nao opcao politica,denunc conteud odi quis colabor ja ajud ja nao opca polit,denunciar conteudo odio quiserem colaborar ja ajudar ja nao opcao politico,1
huhu nooo,huhu noo,huhu nooo,0
troco dou dedao mao ta dando ai ta doendo,troc dou deda mao ta dand ai ta doend,troco dar dedao mao ta dar ai ta doer,0
sdds conversar leticia trabalha dia chega cansada casa tadinha,sdds convers letic trabalh dia cheg cans cas tadinh,sdds conversar leticia trabalhar dia chegar cansada casa tadinho,0
nao visto videomas arrependi,nao vist videom arrepend,nao ver videoma arrepender,0
inscrevase canal d ja inscrito ajuda agente divulgando rt,inscrevas canal d ja inscrit ajud agent divulg rt,inscrevase canal d ja inscrito ajudar agente divulgar rt,1
porem to acabada pq nao dormi h noite,por to acab pq nao dorm h noit,por to acabar pq nao dormi h noite,0
ja buee,ja bue,Ja buee,0
preciso celular aaaa coisas acontecem fico sabendo so dps,precis celul aaaa cois acontec fic sab so dps,preciso celular aaaar coisa acontecer fico saber so dps,0
shippo adotem d,shipp adot d,Shippo adotemr d,1
alguem gloria senhor jesus paga alguma bebida alcoolica preferencia litrao,algu glor senhor jesus pag algum beb alcool preferenc litra,alguer gloria senhor jesus pagar algum bebida alcoolico preferencio Litrao,0
chuva maravilhosa pra ficar casa dormindo,chuv maravilh pra fic cas dorm,chuva maravilhoso pra ficar casa dormir,0
fica toma cuidado,fic tom cuid,ficar toma cuidado,0
acordei sensacao ruim espero nao,acord sensaca ruim esper nao,acordar sensacao ruim esperar nao,0
,,,0
ai mac miller amava,ai mac mill amav,ai mac miller amar,0
hablame privvvv,hablam privvvv,hablame privvvv,1
ceara sera voce poderia adotar d,cear ser voc pod adot d,ceara sera voce poder adotar d,1
k,k,k,1
nao problema nao precisou mim ultima,nao problem nao precis mim ultim,nao problema nao precisar eu ultimo,1
mandaria ate pra vc curtir dia princesa to brasil preco dolar ta osso estarei pra reforcar vc princesa,mand ate pra vc curt dia princes to brasil prec dol ta osso estar pra reforc vc princes,mandar ate pra vc curtir dia princesa to Brasil precar dolar ta osso estarei pra reforcar vc princesa,1
oficial pm kst yong junhyung juntara mbc fmu yang yoseob dreaming radio divertido terminar noite quartafeira sonho feliz voce ouvir assistir via mhz olhe frente apoie,oficial pm kst yong junhyung junt mbc fmu yang yoseob dreaming radi divert termin noit quartafeir sonh feliz voc ouv assist via mhz olhe frent apoi,oficial pm kst yong junhyung juntara Mbc fmu yang yoseob dreaming radio divertido terminar noite quartafeira sonho feliz voce ouvir assistir via mhz olhar frente apoie,1
ideia super genial pra musica conceito beat super pensados ai anotar esqueci d,ide sup genial pra music conceit beat sup pens ai anot esquec d,ideia super genial pra musica conceito beat super pensar ai anotar esqueci d,1
sdd coisas q nao volta,sdd cois q nao volt,sdd coisa q nao voltar,0
espero,esper,esperar,1
obg deixar pior eternamente grata,obg deix pior etern grat,obg deixar mau eternamente gratar,1
oh caro nao redes sociais vou discutir unica terapia dramas atencao quase gatinhava durante jogo resultado alto partida,oh car nao red soc vou discut unic terap dram atenca quas gatinh durant jog result alto part,oh caro nao rede social ir discutir unico terapia drama atencao quase gatinhar durante jogo resultado alto partida,1
ai fala ja amigo agredido to medo real so piorar,ai fal ja amig agred to med real so pior,ai falar ja amigo agredir to Medo real so piorar,0
fraude ganhadores perdedores afinal hoje brasil acaba fraude golpe eleicoes eleicao,fraud ganhador perdedor afinal hoj brasil acab fraud golp eleico eleica,fraude ganhador perdedor afinal hoje brasil acabar fraude golpe eleicoes eleicao,1
obra prum canto curtir dancadinha bao manha dia programacao bacana tb p,obra prum cant curt dancadinh bao manh dia programaca bacan tb p,obra prum canto curtir dancadinha bao mar dia programacao bacano tb p,1
cara daora fiquei ate vontade hauhauha pessoa super referencia tambem,car daor fiqu ate vontad hauhauh pesso sup referenc tamb,car daor fiquei ate vontade hauhauha pessoa super referencia tambem,1
mima pergunta,mim pergunt,mimo perguntar,1
nao precisamos discutir reforma trabalhista tirar mes trabalho pessoas graca largar mao empresario nao sentido ta texto explicado exemplificado mourao falou merda simples p,nao precis discut reform trabalh tir mes trabalh pesso grac larg mao empresari nao sent ta text explic exemplific moura fal merd simpl p,nao precisar discutir reforma trabalhista tirar mes trabalho pessoa gracar largar mao empresario naoer sentido ta texto explicar exemplificar mourao falar merda simples p,1
mano falar mamede lembrar passado,man fal mamed lembr pass,mano falar mamede lembrar passado,1
hoje dia nordestino voces estao parabens,hoj dia nordestin voc esta parabens,hoje dia nordestino voce estao parabem,1
menina linda ooobg,menin lind ooobg,menina lindo ooobg,1
tou doente,tou doent,tar doente,1
plena terca bebi imagina sabado,plen terc beb imagin sab,pleno terca bebi imaginar sabar,1
muita viagem vou bus,muit viag vou bus,muito viagem var bus,0
fico feliz ent,fic feliz ent,fico feliz ent,1
nao bastava feira nao dados so chego acasa quase h,nao bast feir nao dad so cheg acas quas h,nao bastar feira nao dar so cheger acasar quase h,1
so hoje comi oq queria pq semana comeco academia vou deixar comidinhas,so hoj com oq quer pq seman comec academ vou deix comidinh,so hoje comi oq querer pq semana comeco academia ir deixar comidinho,0
vc liga p mim,vc lig p mim,vc Liga p eu,0
oi amo joia juliane vc n nocao apaixonada voceeeeeeee,oi amo joi julian vc n noca apaixon voceeeeeee,oi amo joia Juliane vc n nocao apaixonar voceeeeeeee,0
caralho,caralh,caralho,0
sabrina,sabrin,sabrinar,0
experimentei senzala la cravinho simplesmente amei tomei garrafa meia hahahahaha fiquei otima viu ja vi pra beber varias ficar boas p,experiment senzal la cravinh simples ame tom garraf mei hahahahah fiqu otim viu ja vi pra beb var fic boas p,experimentar senzala la cravinho simplesmente ameir tomei garrafa meia hahahahaha fiquei otimo ver ja ver pra beber varia ficar bom p,1
lendo putrefacao morrendo sdd curso necropsia,lend putrefaca morr sdd curs necrops,ler putrefacao morrer sdd curso em ecropsia,0
prefiro natasha,prefir natash,prefiro natasha,0
ok caso vou banho,ok cas vou banh,ok caso ir banho,0
bar ebcbbcdeeee,bar ebcbbcdeee,bar ebcbbcdeeee,0
nao vejo,nao vej,nao vejo,0
ola ola dia noite ja sextafeira outubro prazer regressar concertos sul pais tocar faro capa centro artes performativas algarve semanas irei,ola ola dia noit ja sextafeir outubr praz regress concert sul pais toc far cap centr artes perform algarv seman ire,ola ola dia noite ja sextafeira outubro prazer regressar concerto sul pai tocar Faro capar Centro arte performativo Algarve semana irar,1
cena hanna descobre pai caleb incentiva marcar encontro pai junto pra total p cenas lindas ja vi amo casal,cen hann descobr pai caleb incent marc encontr pai junt pra total p cen lind ja vi amo casal,cena hanna descobrir pai calebr incentivo marcar encontro pai junto pra total p cena linr ja ver amo casal,0
so queria gosto mt ti noite tbm gosto ti,so quer gost mt ti noit tbm gost ti,so querer gostar mt ti noite tbm gostar ti,1
espero darlhe boas noticias ano,esper darlh boas notic ano,esperar darlher boa noticio ano,1
mim blz,mim blz,eu blz,0
hahahahah nao,hahahahah nao,hahahahah nao,1
definitivamente nao posto define principios editoriais empresa amigo,definit nao post defin principi editori empres amig,definitivamente nao posto definir principio editorial empresa amigo,1
billie ariana sao unicas sentir paz sabem,billi arian sao unic sent paz sab,Billie ariano sao unico sentir paz saber,0
noite anjo presidente durma descanse,noit anjo president durm descans,noite anjor presidente durma descanse,1
miga n tiro razao pq tornou inferno falar n fico triste td mundo falando n aguenta mentira ator foda apaixonada pena nao sabem aproveitar encher saco,mig n tir raza pq torn infern fal n fic trist td mund fal n aguent ment ator fod apaixon pen nao sab aproveit encher sac,migo n tiro razao pq tornar inferno falar n fico tristir td mundo falar n aguenta mentira ator foda apaixonar pena nao saber aproveitar encher saco,0
aaaa es tao linda fofinha pareces querida alguma sabes,aaaa es tao lind fofinh parec quer algum sab,aaaa es taoer lindo fofinha pareces querer algum sabe,1
achei ia conseguir livrar vc dias,ache ia consegu livr vc dias,achar ir conseguir livrar vc dia,0
ahaam importante pro irmao irmos tbm sentir familia la,aha import pro irma irmos tbm sent famil la,ahaam importante pro irmao irmos tbm sentir familia la,1
esperando viu,esper viu,esperar ver,1
quanta tristeza,quant tristez,quanta tristeza,0
vamos ficam resultados agr turno to triste nao sido ciro,vam fic result agr turn to trist nao sid cir,ir ficar resultado agr turno to tristir naoer ser ciro,0
so queria ficar dormindo chuvinha,so quer fic dorm chuvinh,so querer ficar dormir chuvinha,0
ja encontrei canal,ja encontr canal,ja encontrei canal,1
olha apareceu d,olha aparec d,olhar aparecer d,1
primeiros dias dificeis causa dores ficar,primeir dias dific caus dor fic,primeiro dia dificel causar dor ficar,1
nao ta conseguindo entrar conta,nao ta consegu entrar cont,nao ta conseguir entrar conta,0
ooooo bebe tiamuuuu ta kkkk mt facil p mim apesar amar pais mooca,ooooo beb tiamuuuu ta kkkk mt facil p mim apes amar pais mooc,ooooo beber tiamuuuu ta kkkk mt facil p eu apesar amar pai Mooca,0
tao lindo terninho,tao lind terninh,tao lir terninho,1
desculpa meter tbm acho kate toby ta alianca cena fica relutante pq estao divorciados nao estao juntos,desculp met tbm acho kat toby ta alianc cen fic relut pq esta divorc nao esta junt,desculpa meter tbm achar Kate toby ta aliancar ceno ficar relutante pq estao divorciado nao estao junto,0
podiam voltar projetos polos rj melhorar,pod volt projet pol rj melhor,poder voltar projeto polos rj melhorar,1
queria stan,quer stan,querer stan,1
ooo chesterfield severiz,ooo chesterfield severiz,ooo chesterfield severiz,1
esquecam cuidar beber agua comer direitinho ta stray kids amo voces infinito tudinho mundo,esquec cuid beb agu com direitinh ta stray kids amo voc infinit tudinh mund,esquecar cuidar beber aguo comer direitinho ta stray Kids amo voce infinito tudinho mundo,0
exatamente socorro vou viraviraciro msm,exat socorr vou viraviracir msm,exatamente socorro ir viraviraciro msm,1
vi nenhum malandro deixar roubar matar pq preso,vi nenhum malandr deix roub mat pq pres,ver nenhum malandro deixar roubar matar pq prender,1
ai nao consigo knk ot youjin faria mesma pq saude eh prioridade,ai nao consig knk ot youjin far mesm pq saud eh prioridad,ai nao consigo knk ot youjin fazer mesmo pq saude eh prioridade,0
dkdkdkdd trampo sabado,dkdkdkdd tramp sab,dkdkdkdd trampo sabar,0
amigos,amig,amigo,0
doi cabeca doi olhos ansia vomito hora pq doi estomago vontade chorar,doi cabec doi olhos ansi vomit hor pq doi estomag vontad chor,de oi Cabeca de oi olho ansia Vomito horar pq de oi estomago vontade chorar,0
naruto incrivel,narut incrivel,naruto incrivel,1
comprou ultimate edition liberaram dia,compr ultimat edition liber dia,comprar ultimate edition liberar dia,1
defendo ate atacar filha gabrielle prado atacar vou esculachar avisado,def ate atac filh gabriell prad atac vou esculach avis,defender ate atacar filha gabrielle prado atacar ir esculachar avisar,1
acordar mainha cantarolando pressa pra ruao choro tava preso saiu jeito bora la dia resolver mundo,acord mainh cantarol press pra rua chor tav pres saiu jeit bor la dia resolv mund,acordar mainha cantarolar pressa pra ruao choro tar prender sair jeito bora la dia resolver mundo,1
sao melhores amigos sb,sao melhor amig sb,sao bom amigo sb,1
mano realmente triste amigos lgbt ficarem puta medo bolsonaro serio coracao tento ajudar maximo q medo tao forte q adianta,man realment trist amig lgbt fic put med bolsonar seri coraca tent ajud maxim q med tao fort q adiant,mano realmente tristir amigo lgbt ficar puta medo bolsonaro serio coracao tentar ajudar maximo q medo tao forte q adiantar,0
pena pessoas aulas,pen pesso aul,pena pessoa aulo,1
pra trabalhar ate chegar casa estudar,pra trabalh ate cheg cas estud,pra trabalhar ate chegar casa estudar,1
valeu info,val info,valeu info,1
cabelo verde d volta,cabel verd d volt,cabelo verde d volta,0
serio casar vamos supor vou entrar igreja som national anthem musica insuportavel linda,seri cas vam supor vou entrar igrej som national anthem music insuportavel lind,serio casar ir supor ir entrar igreja som national anthem musica insuportavel linda,0
oi voce consultar rede atendimento guia medico entrar contato diretamente unimed responsavel plano,oi voc consult red atend gui medic entrar contat diret unimed responsavel plan,oi voce consultar rede atendimento guia medico entrar contato diretamente unimed responsavel plano,1
violencia domestica serio nao podemos deixar torne atitude normal sinal agressao ja denunciado baixe cartilha fique assunto acesse link,violenc domest seri nao pod deix torn atitud normal sinal agressa ja denunc baix cartilh fiqu assunt acess link,violencia domestico serio nao poder deixar torne atitude normal sinal agressaor ja denunciar baixe cartilha ficar assunto acer linkr,1
nao especifica problema sao varias partes reumatologista semana passada passou remedio nao deu jeito acho alguma doenca to tentando descobrir,nao especif problem sao var part reumatolog seman pass pass remedi nao deu jeit acho algum doenc to tent descobr,nao especificar problema sao vario parte reumatologista semana passado passar remedio nao dar jeito achar algum doenca to tentar descobrir,0
vc quiser gente entregar curriculos juntas,vc quis gent entreg curricul junt,vc querer gente entregar curriculos juntar,1
pri amiga acompanha live joga creative destruction pc queria entra time,pri amig acompanh liv jog creativ destruction pc quer entra tim,pri amiga acompanhar live jogo creative destruction pc querer entrar time,1
jamais bloquearia vc twitter filho mae acredita gt,jam bloqu vc twitt filh mae acredit gt,jamais bloqueario vc twitter filho mae acreditar gt,0
nao xingar,nao xing,nao xingar,1
vontade falar volta nirvana nirvana kurt nao sentido,vontad fal volt nirvan nirvan kurt nao sent,vontade falar volta Nirvana Nirvana Kurt nao sentido,0
euu tou senhoritaa nessaa haddad,euu tou senhorita nessa haddad,euu tar senhoritaa nessaa haddad,1
nois enverga nao quebra,nois enverg nao quebr,nois enverga nao quebra,1
nao culpo votou ate votam pt nao tao internet tao interior historia prato mesa possibilitado culpo proprio pt lancado candidatura arriscada pra democracia,nao culp vot ate vot pt nao tao internet tao interior histor prat mes possibilit culp propri pt lanc candidatur arrisc pra democrac,nao culpo votar ate votar pt nao tao Internet tao interior historia prato mesa possibilitar culpo proprio pt lancar candidatura arriscar pra democracia,0
hj acordei c vontade escutar sambapagode play ja comecou tocando saudosa maloca,hj acord c vontad escut sambapagod play ja comec toc saudos maloc,hj acordar c vontade escutar sambapagode play ja comecar tocar saudoso malocar,1
hoje aniversario parabens felicidades sucesso profissional pessoal,hoj aniversari parabens felic sucess profissional pessoal,hoje aniversario parabem felicidade sucesso profissional pessoal,1
to faculdade fazendo aulas mat ano passado d,to faculdad faz aul mat ano pass d,to faculdade fazer aula mat ano passado d,1
dia vamos la,dia vam la,dia ir la,1
tb queri corte,tb quer cort,tb queri corte,0
voces queimarem cachecol vou queimarvos seguir,voc queim cachecol vou queimarv segu,voce queimar cachecol ir queimarvo seguir,1
