tweet_text,sentiment
"Mt bom como as pessoas tratam os políticos como se fossem lideres religiosos Aí quando um candidato q eles tavam torcendo vence, eles não ficam felizes tipo ""ah agora o país Vai pra frente :D"", eles ficam tipo ""HA CHUPA ATEUS GUEIS SATANISTAS! EU VOTEI NA VADIA VENCEDORA &gt;:D""",1
@mordecaiholanda @HezioWerdann @jess22366397 @rolleircoaster @stayluanrds Quando falo em vida refiro-me a futuro. :),1
"https://t.co/cqCS4MjST9 Boa noite galerinha, eu e minha turma desenvolvemos vários curtas metragens que abordam críticas sociais como: racismo, abuso, xenofobia, Homofobia, entre outros, dêem uma passadinha lá por favor, no canal haverá 5 vídeos,compartilhem se puder! :) obrigado",1
Gostaria de ser menos egocêntrico :(,0
@00LYG Fofinho. :( ❤️,0
@Gultramari1 @isavolcov @mjcalhao Porém não bebo cerveja :(,0
@NobreIsHot Se for feito como deve de ser não :),1
"@getf_ Estranha nada, não superei até hoje o rompimento :(",0
"Ei, você aí da madruga que tá no tédio, confere a Pagina do Aruan lá no Facebook :) https://t.co/1m20otzTM4",1
o minoru teria ido tao bem se fosse candidato a deputado federal :(,0
@southafz obrigado de coração :(,0
sobraaAaa :(( https://t.co/YhTnwHsiZW,0
@Iracroft @Mundo_Freak E meu aniversário :p,1
Em homenagem às eleições de hoje... O sabre ta apagado pq não tem mais youngling pra matar e trazer mudanças ao meu novo império :) https://t.co/pTRMjFKmYR,1
eu hoje :( https://t.co/N0kkplkkNX,0
sim mano :( https://t.co/57yx5C6XI2,0
@rcjse panutanq :),1
Tá tocando sertanejo na Dammam e eu fico vomo atrás de alguém pra dançar?! Rodada :(,0
@RenanFilho_ Hahahahaha valeu o bom humor :),1
Ligaram-me à bocado a dizer que a minha vaga na universidade se ia estender até setembro de 2019 :)),1
ela é tao linda :( https://t.co/INrI50QcNT,0
"@PandinhaGame Bom dia, bonequinho de papelão :P",1
Bom dia pra quem tá puta com a situação do governo brasileiro e pra completar tem duas provas de anatomia :),1
Fiz esse desenho basicão de todos os pk's e é isso :) @PkCanadianGuy https://t.co/HGPVZlRqdK,1
pq me fez chorar :((((* https://t.co/7CcLkbEDLj,0
Bateu uma saudade do doidão :(,0
"@Djeine7 Também queria, pena que nem vai ter nada :(",0
o sorrisinho :( https://t.co/q5bLlez0hh,0
@Adrieli_S Boa sorte pra nós :(,0
@Prefeitura_Rio @BRTRio @GMRio Estarei lá para conferir :),1
"@giovannkfkd queria, mas falta $ :(",0
aquela vontade de raspar minha cara no asfalto :-),1
Como foi o melhor sonho que você já teve? — Sonhei q o Ciro virava presidente Infelizmente n foi dessa vez :( https://t.co/BUYo72V2Vn,0
Queria eu estar esperando minha camisa do Senna chegar :( https://t.co/c6fKsdgIby,0
Da até pena de comer bacon :( https://t.co/MrJty97mS2,0
"Muito bom dia, uma maravilhosa quarta-feira a todos! :) Boker Tov chevre!",1
@ikzoldyck ai ent vou da meus 2reais em forma de moeda :D,1
e eu só percebi o quanto eu dou valor pra essa menina quando eu quase perdi ela :) obrigada mae e pai,1
@dieviviarruda Um horror. :-(,0
que pasa bebe? :( https://t.co/11yMJy6N1D,0
@darkseokz ah essa todo mundo vai fazer já :(,0
@durvalribeiro3 @LannesDelRey A democracia te permite ter achismo tbm. :),1
Conseguiste concretizar alguns objetivos este ano? — N kkkkkk :( https://t.co/gMj6QXsfeg,0
Meu quarto tá cheirando o perfume do Mateus. vou dormir triste e feliz hoje :(,0
Sdds meu puto jax teller :(,0
"@PedroLobato Técnica tradicional, vale doodle, tem que seguir o tema. Vamo? Postamos no fim do dia. :D",1
queria usar rosa e eu só tenho roupa preta :),1
juh me deixou sozinho :((((,0
@iara_enana Que lindo momento :),1
@EUSOUOSOBRERA eu tbm :(,0
@0bliviatte Bah como pode manda ela votar no cirooooo :((((( mas meu pqp como pode bicho ela tava sofrendo com a falta de inclusão e agora vai piorar a situação,0
A solução é simples pra você que não aguenta mais a corrupção e os problemas do Brasil: saia do Brasil! :),1
@NCTsmtown_127 @amoebamusic os amores da minha vida :(,0
"@dwohtiedx ""eu quero correr esse risco"" vc: fanfic vc eh burra demais :)",1
Originalmente o fascismo foi um movimento político fundado por B. Mussolini em 23 de Março de 1919 e no seu início era composto por unidades de combate (fasci di combattimento). O fascismo foi apresentado como partido político :( IS 58: 1-2.6-12 ) https://t.co/4ln9uA1E2b,0
@Ruuivin Vou te indicar 23.123! :),1
tenho até medo de perguntar pro meu tio preferido em quem ele vai votar :(,0
@oceansgyu entro em todos que vejo pra descontrair meu temor interno desse COISO ganhar e ameaçar minha existencia com poder de fato :),1
agora ela ganhou o meu voto :-) https://t.co/QKzp58Omtr,1
@MarcelloDhyan05 O lado certo :),1
@cleaman22 @JenSoares73 @jppaullim @gduvivier Não kkkkkkkkk mas o motivo não é da sua conta :),1
@jikooktaking @thecoffeeaunt Manda pra mim tbm :(,0
ngm conversa cmg :(,0
Eu emagreci 4kg de quinta feira pra cá KKKKKKKKKKKKKKKKKKKKLLLKKKKKJKKKKKJKKNNJKKIKKKKKKKKHKBMLKKKKK :((,0
Queria :( https://t.co/CWNXBLZSDb,0
@605BN !!!! eu achei que era o único :(,0
Bom dia pra quem? Eu realmente não sei porque o meu começou olha... parabéns aos envolvidos :),1
ele ta tao magrinho mds :((( pelo menos ele ta se alimentando bastante https://t.co/dTh5YY4RVo,0
"@17Robusto @muitoalemck Sou estúpido mesmo, amigo. E consigo ser estúpido com mais educação que você. :) Pode ficar com isso que chama de inteligência, eu até hoje não precisei dela pra saber falar cm as pessoas.",1
@crdsru mudança do fofura acabando até cm nosso meme oq vem pela frente :((,0
"Mano to mt fudido da cara, dois candidatos péssimos pra segundo turno :(",0
eu só queria uma semana de férias :(,0
@Joana_Pinto2003 🌻: Um arraso 💛: 2/10 🍯: És mesmo querida por aquilo que conheço e muito gira ! Tudo de bom :),1
@frontinfloripa Agora é a vez de vocês virem pra Floripa @igorhalfeld @ThaissaCandella hahaha :D,1
@eclipsemountain Nunca es tarde :),1
minha vida :( https://t.co/MoL8w6H049,0
@selfharmedbody @thaimoon_ vc podia ajudar por favor??? :((( algo q ele possa fazer sei lá,0
"ja decidi meus votos p deputado federal e estadual de sp, agora so falta os senadores e governador :)",1
acho que sim :) https://t.co/Q4YuuWuQAq,1
"só queria dar um abraço nele e demonstrar todo meu apoio, meu coração esta partido com isso :(",0
"@desculpaeudormi Comprou errado amiga, essa é Júnior :( tem que ser ração pra adulto kkkkkk",0
"@tetyfernands @LordeVoIdemort em onda ao #metoo se o depp fosse culpado a carreira dele já teria acabado, como a de kevin spacey, mês que vem o advogado do depp irá liberar algumas coisas do julgamento :)",1
"aa to faltando mt, decido q vou fazer algo.. FALTAR AMANHA, boa :)",1
eu quero muito alguém manda pra mim :( https://t.co/4TUolEDc7H,0
@Yezji_ ah bom :( agr vou ficar pensando no que era,0
@ceedric10 foda viu :(,0
querendo muito saber quem tentou entrar no meu twitter me obrigando a trocar a senha :),1
@ManoelRocha4 Tá tudo ok sim :),1
"@zehuntemann tomara que dê tempo dessa reflexão acontecer!! eu tô bem assustada, imagino a tua decepção :(",0
@hyukajae toma cuidado bebê :((((,0
hoje confundi as horas da aula de condução e cheguei na hora em que a aula acabava :),1
"eu queria poder falar que nao quero mais ver política e ficar longe mesmo, pena que nao dá :(",0
@leoprivtt agr já bazei :(,0
@pocrlhmalucs tu adoras tanto albufeira como me adoras a mim :),1
acordei com muito sono hoje :( af,0
@tempnameSiera @Mack__san Achsu :),1
Tava quase dormindo e lembrei qual era o tema de Química :(,0
"minha caixa de som foi pro pau, 8 anos comigo :(",0
"@crf_letp E que surpresa mara, hein? :D &lt;3",1
"@moonicacruz_ @marxcelly @Camilamog https://t.co/tLXnZxHtrb nós todos denunciamos como conteúdo de ódio, se quiserem colaborar. Um povo já ajudou :) já que não se pode mais ter opção agora na política.",1
@bbbrrrii Huhu nooo :(,0
"@isaabella_ss Aquele troço que eu dou no dedão da mão. Tá dando outra vez, aí tá doendo :(",0
"sdds de conversar com a leticia, mas ela trabalha o dia todo e chega cansada em casa, tadinha :(",0
"Ainda nao tinha visto esse video,mas arrependi me de ver :(( https://t.co/0kA3YLe0is",0
Inscreva-se no canal :D Se ja é inscrito ajuda agente divulgando \o/ https://t.co/PZzacLTSt5 #RT,1
Porém to acabada pq não dormi nem 2h essa noite :(,0
Ja foi a buee :(( https://t.co/I1Iasxk80l,0
Eu preciso de um celular novo aaaa as coisas acontecem e eu fico sabendo só dps :(,0
"@JackandShadows @AnaPaulaPhoenix @radcula eu shippo, me adotem :D",1
alguém pela glória do senhor jesus me paga alguma bebida alcoolica :( de preferencia 1 litrão,0
chuva maravilhosa pra eu ficar em casa dormindo :(,0
"@_renangiordano Fica bem, toma cuidado :(",0
acordei com uma sensação ruim espero que não seja nada :(,0
meu tudo :( https://t.co/1SGFGAquCs,0
Ai mac miller eu te amava tanto :((((,0
@PabloElver21 Háblame por privvvv :)),1
"Ceará, será que você poderia me adotar? :D",1
@shaneiika k na me :),1
mas não tem problema porque não foi a primeira vez que precisou de mim e nem vai ser a última :),1
"@CatarinaSuicide Mandaria até mais pra vc curtir um dia de princesa, mas eu tô no Brasil e o preço do dólar tá osso. Mas estarei sempre aqui pra reforçar que vc é princesa :)",1
"[OFICIAL] 03.10.18 | Às 9PM KST, Yong Junhyung se juntará a nós na MBC FM4U Yang Yoseob Dreaming Radio! Um momento divertido para terminar a noite de quarta-feira para ter um sonho feliz! Você pode ouvir ou assistir via 91,9 MHz. Por favor, olhe para a frente e apóie muito :) https://t.co/K5v8qyVVhm",1
eu tive uma ideia super genial pra uma música nova com conceito e beat super bem pensados aí quando eu fui anotar esqueci :D,1
"sdd, coisas q não volta mais :(( https://t.co/fASGauE6ow",0
@Cristiano eu espero :),1
obg por me deixar pior :) serei eternamente grata :)))////,1
"@92minutooficial Oh meu caro... se não forem as redes sociais vou “discutir” com quem? Isto é a minha única terapia neste momento :) e sem dramas atenção! Ontem o mais novo quase que gatinhava durante o jogo. Fosse qual fosse o resultado, isso seria sempre o momento mais alto da partida 😊",1
"@h1bertus ai, nem fala :( ja tive amigo agredido ontem, to com medo real disso so piorar",0
"@augustodefranco Quem diz que houve fraude, os ganhadores ou os perdedores? Afinal, hoje tudo no Brasil acaba em fraude ou em golpe. :-) #Eleicoes2018 #Eleicao2018",1
A Obra é um lugar que posso ir prum canto e curtir uma dançadinha numa boa de vez em quando é bão tem que ter a manha de ir em dia de programação bacana tb :P,1
"@gabtoschi cara, sim!! nossa que daora, fiquei até com vontade hauhauha tem essa pessoa que é uma super referência também :) https://t.co/qU9A0BfEuN",1
mima eu de pergunta :) https://t.co/DwKHejPRZk,1
"@marcilioag @soysilva @samutaaa @AdemirNegao @kenio_gomes @andrizek Não precisamos discutir todos pontos da reforma trabalhista nem nada desse tipo, mas tirar um mês de trabalho das pessoas de graça e largar na mão do empresário não faz sentido. Tá ali no texto explicado e exemplificado, ou seja Mourão falou merda simples :p",1
MANO muito bom falar com o Mamede e lembrar do passado :),1
E hoje é dia do nordestino. Vocês estão de parabéns mais do que nunca :),1
A menina mais linda :) — Ooobg ♥️ https://t.co/JV4iMBwsKA,1
Tou doente :)),1
Se em plena terça eu bebi.. Imagina na sexta e no sabado. :),1
@gaybiella muita viagem vou de bus mesmo :(,0
@Munqueisa :)))))) fico feliz ent,1
"Não bastava ser segunda feira, não tenho dados e só chego acasa quase às 18h :)",1
só hoje eu comi tudo oq eu queria pq essa semana começo na academia e vou ter que deixar minhas comidinhas de lado :(((,0
@Guibelineli_ Vc nem liga p mim :(,0
oi eu te amo muito minha jóia :(( — juliane vc n tem noção de como eu sou apaixonada por voceeeeeeee https://t.co/oalVj3cGID,0
@7galeoes caralho :(,0
@askmenfess Sabrina :(,0
"experimentei a senzala ontem lá no cravinho e simplesmente AMEI! tomei uma garrafa e meia HAHAHAHAHA e fiquei ótima, viu? já vi que dá pra beber várias e ficar de boas! :P",1
lendo sobre putrefaçao e morrendo de sdd do curso de necropsia :(,0
@xamaoficial prefiro a natasha :(,0
@Carina23066 OK... :( nesse caso vou agora para o banho :(,0
bar :( : 5e896b50-54c3-4993-bb40-407cd2e7eee3,0
@_HelloMarceline faz tempo que não te vejo :(,0
"Olá Olá! Bom dia, Boa noite ou Boa tarde :)! Já esta sexta-feira, 5 de Outubro, tenho o prazer de regressar aos concertos a sul do País desta vez para tocar em Faro no CAPa, Centro de Artes Performativas do Algarve. Duas semanas depois, irei... https://t.co/11QB8AdXG8",1
"a cena que a hanna descobre quem é o pai do caleb, incentiva em marcar um encontro com o pai e ainda vai junto pra dar o total apoio p ele é uma das cenas mais lindas que eu já vi... eu amo um casal :(",0
Só queria dizer que gosto mt de ti boa noite — Eu tbm gosto muito de ti :) https://t.co/llzGZ7LG9o,1
espero dar-lhe boas notícias ainda este ano. :-) https://t.co/4ZPeHhBltL,1
"@SamaraMelo33 Menos de mim, blz :(",0
@meluie Hahahahah vai não. .. :),1
"@leodebiase @ericat_lol @maisesportsbr Definitivamente. eu não estou no posto que define princípios editoriais da empresa, amigo :)",1
billie e ariana são as únicas que me faz sentir em paz e nem sabem. :(,0
"@jairbolsonaro boa noite meu anjo em forma de presidente, durma bem e descanse. :)",1
"@maximwoff miga eu ñ tiro tua rAzão de nada pq se tornou um inferno mesmo, mas se eu falar que ñ fico triste de ver td mundo falando que n aguenta mais ver ele é mentira!! ele é um ator muito foda pelo qual sou muito apaixonada sabe :(( uma pena que não sabem aproveitar sem encher o saco",0
"@nrql__ Aaaa és tão linda e fofinha porquê? pareces ser muito querida, alguma coisa, sabes :)",1
@jejezoca_ Achei que ia conseguir me livrar e vc por 4 dias :(,0
@zecaneto_ Ahaam!!! E é importante pro meu irmão irmos tbm :) Ele vai se sentir bem com a família dele lá ^^,1
Estou esperando viu :) @LaurenJauregui https://t.co/IZQ6Ckmgmq,1
@vcdaraujo quanta tristeza :(,0
"Vamos ver como ficam os resultados agr do 2º turno, tô muito triste por não ter sido o Ciro :(",0
Eu so queria ficar dormindo com essa chuvinha :(,0
Já encontrei um canal :),1
@mcsz1n olha quem apareceu :D,1
"@mariebessa Sim. :) Os primeiros dias foram difíceis para ela por causa das dores, mas vai ficar tudo bem. :)",1
"@SmileyesJimin @millajovovicz ela não tá conseguindo entrar nessa conta :( ela fez outra, é @natrez3",0
@ZabellePorto ooooo bebe :((( tiamuuuu!! mas tá longe ainda e nem sei se vai ter kkkk é que seria mt mais fácil p mim apesar de amar nosso país mooca,0
tao lindo de terninho :) https://t.co/3uvDKfyV9y,1
"@sebssttan @gallifreyniana desculpa me meter, mas eu tbm acho que é a kate, o toby tá sem aliança na cena e fica relutante em ir pq eles estão divorciados ou pelo menos não estão mais juntos :(",0
@sebrae @sebraenodf Podiam voltar com os projetos? Com os Polos no RJ por exemplo? :) vai melhorar!!!,1
@wemeons eu queria muito com certeza eu seria stan :),1
@bukabukalemun Ooo chesterfield severiz :),1
tenho que ir mas nunca se esqueçam de se cuidar beber água e comer direitinho tá bom stray kids e que eu amo vocês infinito mais do que tudinho no mundo :((,0
É isso. É exatamente isso. Socorro! . . . . Mas eu vou de #viraviraciro msm :) https://t.co/FMrazpoGkG,1
@BeCosta03 @Insectossauro @tematteix @sthezaoffc @NXCIF_ @blowmyself @laura_dskober @bottivinicius Nunca vi nenhum malandro deixar de roubar ou matar pq vai preso :),1
ai nao consigo ver knk ot4 mas eu no lugar do youjin faria a mesma coisa pq saude eh sempre prioridade :((,0
"@ErikBofinger Dkdkdkdd num da :( muito cedo, eu trampo sábado",0
eu com meus amigos :(((( https://t.co/VYdzLO4lGL,0
"Dói a cabeça, dói os olhos, ânsia de vômito toda hora pq dói o estômago. Vontade de chorar :(",0
Isto de ver naruto quando tenho tempo é incrível :),1
@drazzull Para quem comprou o ultimate edition liberaram dia 02 :),1
"eu defendo até atacar minha filha gabrielle prado, se atacar ela EU VOU ESCULACHAR, avisado :) https://t.co/XbVYZTQxY7",1
"acordar com mainha cantarolando ""eu tenho pressa eu quero ir pra rua""...o choro que tava preso saiu de um jeito. bora lá, é um dia novo e é tempo de ir resolver o mundo :)",1
Quem sao seus melhores amigos? — Quem é sb :) https://t.co/kuRx4ubO33,1
"Mano, é realmente muito triste ver todos os meus amigos LGBT ficarem com um puta medo do Bolsonaro, sério me parte o coração isso… Tento ajudar o maximo q dá mas o medo é tão forte q nem adianta. :(",0
Tenho pena das pessoas que têm aulas á tarde na sexta .. :)),1
"Pra eu trabalhar até às 19:00, chegar em casa e estudar :)",1
@qlaudjenha valeu pela info :),1
Quero meu cabelo verde d volta :( https://t.co/Gs5DsHCisd,0
"MAS SERIO AGORA EM quando eu casar (nunca, mas vamos supor), eu vou entrar na igreja ao som de national anthem :( essa musica é insuportável de linda!!!!!!!!!!!",0
"@LucasMaransaldi Oi, @LucasMaransaldi ! Você pode consultar a rede de atendimento por meio do Guia Médico: https://t.co/hnNZ44I1ul, ou entrar em contato diretamente com a Unimed responsável pelo seu plano. Obrigada. :)",1
Violência doméstica é algo muito sério e não podemos deixar se torne uma atitude normal. Qualquer sinal de agressão já deve ser denunciado. Baixe nossa cartilha e fique por dentro do assunto :) Acesse neste link: https://t.co/ljF6ck5Sja https://t.co/VGvXYrb9Se,1
"@loreneias e não tem uma parte específica, sabe? esse é o problema :( são várias partes. fui em um reumatologista semana passada, ele passou um remédio e não deu jeito. acho que é alguma doença e to tentando descobrir :~",0
@Steff_rox Se vc quiser a gente pode ir entregar currículos juntas :) ❤❤,1
@pryscilaCardoso @YouTube Pri tenho uma amiga que acompanha suas live e joga Creative Destruction de PC ela queria saber se podia entra no time :),1
@Jlia29177719 jamais bloquearia vc 💌😭💕 o twitter filho da mãe fez isso acredita? &gt;:(,0
@felbinha não posso mais xingar :)(,1
"a vontade de falar ""volta nirvana"" é grande, mas nirvana sem o kurt não faz sentido :( https://t.co/CEWkvbReHa",0
@ManuelaDavila Euu tou com à senhoritaa nessaa e #13haddad !! :-),1
@yourpolaroid nois enverga mas nao quebra :),1
"@BrunoDSCruz não culpo quem votou, até porque muitos dos que votam no PT não tão aqui na internet, tão no interior com uma história de prato na mesa possibilitado por tal. culpo é o próprio PT, por ter lançado essa candidatura arriscada demais pra nossa democracia :(",0
Hj eu acordei c aquela vontade de escutar samba/pagode e a play ja começou tocando saudosa maloca :))))))),1
"Hoje é aniversario do @yurifly! Parabéns, felicidades e muito sucesso no profissional e pessoal :)",1
@jua1freitass Enquanto isso eu tô na faculdade fazendo aulas de mat do ano passado :D,1
Bom dia!!! Vamos lá :),1
@mousinhocoms MAs tb queri corte :(,0
Se vocês queimarem o meu cachecol vou queimarvos a seguir : ) https://t.co/vmcWmGB6QK,1
@jaimagalhaesss saudades :(,0
@shaymvittar Caraca cin :( forças,0
"Olhem a minha mãe não me deixou ir sair, como má filha que sou vou levar bebida pra casa da bia e fazemos alta drena as duas :)",1
"@vitorsilvalacer aí, eu vou :)",1
"@gabuoso @jjuliarocha Sem querer se entrometer, se entrometendo, eu gosto de sesh e churrasco :)",1
Ontem as minhas amigas foram embora e hoje foi a minha família :(,0
eu nao comi nada hoje :((,0
Tinha dois ursos o beijaeu e o mebeija o beijaeu morreu quem restou ? ;) — ele morreu de que? Tadinho :(((((( https://t.co/dL6C0sRIwC,0
"Oi gente, tem uma série na Netflix muito legal, se chama ""explicando"" e fala de absolutamente tudo: corpo humano, ciência, atualidades... E os episódios tem em média 20 minutos de duração! Assistam pois vale muito a pena :)",1
"@tacimmoreira Espero que de certo, mas eu vou morrer de sdd :(",0
"@rivotrilgaucha Despedindo uma pinóia, tá doida? :(",0
@_mrosag :((((((((( desculpa amor,0
"Meninas, crianças de hoje, vamos saber um pouco comigo sobre linhas para costuras ? Corre que estou mostrar as que mais uso aqui no ateliê para costurar. Quem puder compartilha :) https://t.co/juMF3DovNM",1
@OCaoDanado isso é como um sorriso...serve para tudo :),1
"@maisasilva Esses nenéns deveriam ser eternos :( fica bem Maisa, que Deus conforte seu coração ♥️",0
@imnotacompany Vou ouvir mais tarde :),1
@k0gaxd porrrrrrrrra agora que eu vi que tem que ser gente que estuda pq tem que mandar foto da carteirinha :(,0
@Beatriz74839770 @YouTube Vamos sim! Vamos estar lá todos os dias :),1
saudades cantar nem a nem b é c de ciro :(,0
Me indique um filme :) — 1 mile to you https://t.co/YSr9IBNbry,1
@cookiestome Ele deve ter a mesma opinião :( dói muito isso :((,0
"Bom dia e boa semana! :D Não querendo arruinar a vossa carteira logo no início da semana, queria só dizer-vos que ontem publiquei um video com openbox da Maquibeauty Portugal. ;) Contem-me por lá se têm algum destes produtos e o que acham sobre eles. :* https://t.co/zxtxmfblV1",1
@elementlolz te dei um host com meus humildes 4 viewers nem viu :(,0
@tbyutera sinceramente acho que vou cagar e comprar um vestido curto assim passo menos calor e tal seja o que deus quiser :),1
@Salim20601633 haha coucou a lui :),1
"@IsabelaBlount oie, tudo bem? pra estadual tu ja tem candidato? :)",1
Set também disponível no Padrim! :D https://t.co/QIJ7WdsSZc,1
Quantos filhos queres ter? Eu pelo menos 2 teus quero :D — E vais ter https://t.co/qZK7cScPm4,1
Terminei de ver mastercheff e agora quero muito comer comida japonesa :(,0
oq vc faz pro seu cabelo crescer ? — hoje em dia n faço mais nada :) https://t.co/COvSPEGsI9,1
DG- a gente era o puro grudeee e agora nem nos falamos mais quando nos vemos :( mas vc é um menino incrível,0
@RamlalRajbamsi ummm ho :),1
quero morrer :):,1
ja pedi à minha mãe para ir a piscina bue vezes e nunca me deixa :(( tou bue aziada pt fogooo,0
assisti toooodos os episódios de elite e gostei :),1
"💃🏾- ah vc é incrível né, super inteligente, muito linda, bem humorada e tem um sorriso maravilhoso. Sua vibe é muito boa e te quero sempre por perto :) -nao",1
https://t.co/cX0SfVTNLZ PUTA QUE PARIU CARA :((,0
@kaylaneq02 eu n consigo mais ver pelo drama fever pq agora pede o premium :(,0
@InvictosSomos @EASPORTSFutbol #LlegoLaChampions Namas porque me acabo de graduar :p,1
@yeahbiel @pemveiga De nada! :),1
e a dó de tirar essa tela de bloqueio :( https://t.co/p80cjASNAw,0
@anrodriiguez Que bonita historia de amor :),1
"Ficamos à espera da corrida, @ManCityPT :) https://t.co/sdm2C3lpc1",1
Pelo menos a @tabataamaralsp foi eleita :D,1
Minha familia toda sorrindo e rindo sobre o bozolixo estar na frente e rindo por eu estar chorando :) https://t.co/nWqVgjoFKK,1
eu só queria esse fds de volta :(,0
@miktae_ De nada :),1
@luismnml Acabaram com o Vasco :(,0
@VAV_official MEU NENÉM COMO VOCÊ CONSEGUE :(((((,0
"@FarBRS KKKKKKKKKKKKKK, poxa :((( https://t.co/588RdJGrZV",0
um bebezinho :(( https://t.co/NfRKEC9Ycu,0
@reallylikedidi @foll0wtrickarmy é um pouquinho longe :(,0
"07 da manhã e eu decidi ir chatear a Nicole, saudades dela :(",0
"A caminho da escola, o lugar onde vai acontecer um protesto contra o ASSÉDIO fui ASSEDIADA.... mais um dia normal na vida de uma mulher :)",1
"Vou contar-vos um segredo, é possível namorar e continuar a sair com os amigos. Experimentem :))",1
sempre disse que eu queria a blusa do Pelé mas minha mãe faz minha vó pedir uma do neymar &gt;:(,0
@jaddevianafb esqueci o meu celular com a gy :((,0
@omilesmorales eu estou tentando manter minhas esperanças de que ele não morreu :(,0
hj faz 8 meses q tô c hormônio e to tipo veiiiii caralho quero morrer nem assim eu fico melhorzinho meu organismo é uma merda porra q genética horrível :(,0
eu amo um príncipe :((( https://t.co/SJm20F0htg,0
@ferpaulla @thepurpleana obrigada ♡ vc tambem nao ta sozinha :),1
"@Yuribnunes @lolaescreva Não precisa apagar. O importante agora é ser democrata e estar do lado do partido e do candidato que vai lutar contra o fascista. PS: Se os posts forem antipetistas, e não somente contra o PT, então é melhor apagá-los. :-)",1
@marcelo_telless Eu ia convidar vcs p ir la em casa dnv mas dps dessa .... :(((((,0
@gugachacra Muita admiração pela sua pessoa @gugachacra :),1
@fercb_ aí fer eu fico muito triste com isso :( vamo fazer um natal coletivo na ccxp,0
"fiz vários testes pra ver qual raça de cachorro combinaria comigo (só raça grande, n queria cachorro pequeno) e nenhuma delas apareceu pitbull :( porém esses foram os resultados q eu gostei https://t.co/zZPjrG6CHd",0
"Sonhei com os ratinhos do meu amigo, mas no fim do sonho eu perdia um deles que tinha chamado de pink :(",0
"Queria aqui deixar o registro da minha pequena vitória diária. Cheguei no final do dia sem arrancar pelinha da minha boca até machucar (tirei umazinhas, mas não sangrou nem nada) :)))))",1
@noodleez ai queria que o dan afogasse eles Tadinha da brooke ela tá só a peyton :(,0
@camilancob cpa fomos a única semana q n foi :(,0
@prncfs de guérir :),1
