clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
claro sim so vc nao babaca nerds valentao rede mulher imbecil hipster freak viciado celebridades,clar sim so vc nao babac nerds valenta red mulh imbecil hipst freak vic celebr,claro sim so vc nao babaco nerds valentao rede mulher imbecil hipster freak viciar celebridade,1
proposito nao vai campus party lugar baitolinhas sem amigos reais muito virgem tambem,proposit nao vai campus party lug baitolinh sem amig rea muit virg tamb,proposito nao ir campus party lugar baitolinha sem amigo real muito virgem tambem,1
nao homem metade,nao hom metad,nao homem metade,0
nao precisa lingerieday puta parada barangasnerds atras rolas virgens pra isso tem sites pornos bem melhores,nao precis lingerieday put par barangasnerds atras rol virgens pra isso tem sit porn bem melhor,nao precisar lingerieday putar parar barangasnerds atra rolas virgem pra isso ter site porno bem bom,1
campusparty esse lugar deve feder espinha azeda passou validade tem menos mulher vale tudo juazeiro,campusparty esse lug dev fed espinh azed pass validad tem men mulh val tud juazeir,campuspartyr esse lugar dever feder espinha azeda passar validade ter pouco mulher valer tudo Juazeiro,1
quando viu ipad gritou steve mesa cervejas copos americanos porcao fritas outrade calabresa,quand viu ipad grit stev mes cervej cop american porca frit outrad calabres,quando ver ipad gritar Steve mesa cervejas copo americano porcao frito outrade calabrês,0
homem homem so conhece dois cheiros mulher bom ruim,hom hom so conhec dois cheir mulh bom ruim,homem homem so conhecer dois cheiro mulher bom ruim,1
nao usa camiseta sem manga menos va malhar praticar algum esporte,nao usa camiset sem mang men va malh pratic algum esport,nao usar camiseta sem manga menos va malhar praticar algum esporte,0
deus justo mas calca carol mamaeeee,deus just mas calc carol mamaeee,Deus justo mas calca carol mamaeeee,0
faz campeonato peido amigos,faz campeonat peid amig,fazer campeonato peir amigo,0
bebe cana pura nao faz careta,beb can pur nao faz caret,beber cano puro nao fazer careta,0
homem homem arrota suco laranja,hom hom arrot suc laranj,homem homem arrotar suco laranja,1
palavra dia homem homem nao diz fragrancia,palavr dia hom hom nao diz fragranc,palavra dia homem homem nao dizer fragrancia,1
homem homem arrota suco laranja ouvido namorada,hom hom arrot suc laranj ouv namor,homem homem arrotar suco laranja ouvir namorar,1
homem homem so come carne peixe coisa bixa,hom hom so com carn peix cois bix,homem homem so comer carne peixe coisa bixo,1
faz pontaria qlq coisa q der telha jato mijo,faz pont qlq cois q der telh jat mij,fazer pontar qlq coisa q dar telha jato mijo,0
nao lava cueca q acabou comprar antes usar,nao lav cuec q acab compr antes usar,nao lavar cuecar q acabar comprar antes usar,0
homem homem brinca girocoptero banheiro casa sogra,hom hom brinc girocopter banheir cas sogr,homem homem brinca girocoptero banheiro casa sogro,1
conhece tres cores azul vermelho amarelo,conhec tres cor azul vermelh amarel,conhecer tr cor azul vermelho amarelo,0
homem homem come doritos pimenta geleia extraforte pimenta guarana ice,hom hom com dorit piment gel extrafort piment guaran ice,homem homem comer doritos pimentar geleia extraforte pimentar guarano ice,1
porteiro rt massagear ego mulher nao elogiar bunda peitos isso porteiro faz,porteir rt massag ego mulh nao elogi bund peit isso porteir faz,porteiro rt massagear ego mulher nao elogiar bunda peito isso porteiro fazer,0
tem mao homem seja calos,tem mao hom sej cal,ter mao homem ser calo,1
homem homem nao assiste fazenda,hom hom nao assist fazend,homem homem nao assistir fazendar,1
musical kiporressa homem homem,musical kiporress hom hom,musical kiporressa homem homem,1
sexochurrascocervejadormir carnavalempalavras,sexochurrascocervejadorm carnavalempalavr,sexochurrascocervejadormir carnavalempalavra,0
homem homem nao nota esmalte mulheres,hom hom nao not esmalt mulh,homem homem naoer nota esmalte mulher,1
homem homem nao come bebe,hom hom nao com beb,homem homem naoer comer beber,1
homem homem troca penis figado mais,hom hom troc pen fig mais,homem homem troca Penis figar mais,1
nao brocha calcinha bege,nao broch calcinh beg,nao brocho calcinha bege,0
nao sabe cor bege,nao sab cor beg,nao saber cor bege,0
nao sabe nadar amputa pernas melhor invalido incompetente,nao sab nad amput pern melhor inval incompetent,nao saber nadar amputar perna bom invalir incompetente,1
sim eu tenho mais fazer ficar twittando entretenimento,sim eu tenh mais faz fic twitt entreten,sim eu ter mais fazer ficar twittar entretenimento,0
manda pro amigo franguinha,mand pro amig franguinh,mandar pro amigo franguinhr,0
feliz homens gostam mulheres,feliz homens gost mulh,feliz homem gostar mulher,1
operarias foram queimadas dentro fabrica sao mais muito bundao covarde sem carater,oper for queim dentr fabric sao mais muit bunda covard sem carat,operaria ser queimar dentro fabrico sao mais muito bundao covarde sem carater,0
quando vacila assume rapidamente responsabilidade paga erro humor,quand vacil assum rapid respons pag erro humor,quando vacila assumir rapidamente responsabilidade pagar erro humor,1
dar risada si mesmo rir cagadas alheias melhor ainda,dar ris si mesm rir cag alhe melhor aind,dar risar si mesmo rir cagar alheio bom ainda,0
essa hora sexta feira nao vai pra baladinha vagabundoessa hora ja demos duas agora so relax,essa hor sext feir nao vai pra baladinh vagabundoess hor ja dem duas agor so relax,esse hora sexto feira nao ir pra baladinha vagabundoessar hora ja dar dois agora so relax,1
cedemos ao encanto caimos boca caro,ced ao encant caim boc car,ceder a o encanto caimos boca caro,0
fala ai mariquinhas afins vai falta culhao resolver qualquer coisinha,fal ai mariquinh afins vai falt culha resolv qualqu coisinh,falar ai mariquinha afim ir faltar culhao resolver qualquer coisinha,1
agora sim pode usar perfume,agor sim pod usar perfum,agora sim poder usar perfume,1
perfume pra mao jovem amantepra mao cappice,perfum pra mao jov amantepr mao cappic,perfumir pra mao jovem amantepra mao cappice,0
mesmo pedidos me recuso falar bbb nao entra programinha pra ganhar milhao gente ganha batalha dia dia,mesm ped me recus fal bbb nao entra programinh pra ganh milha gent ganh batalh dia dia,mesmo pedido eu recuso falar bbb nao entrar programinho pra ganhar milhao gente ganhar batalha dia dia,1
fora so tem frangas ali bombadinhos chiliquentos gays exploram suas condicoes pedacos carne massa carceraria,for so tem frang ali bombadinh chiliquent gays explor suas condico pedac carn mass carcer,fora so ter franga ali bombadinho chiliquento gay explor seu condicoe pedaco carner masso carcerario,0
ricky martin demorou tanto tempo assim pra assumir pq tava dando bunda nao reprima caralho literalmente pra vc,ricky martin demor tant temp assim pra assum pq tav dand bund nao reprim caralh literal pra vc,ricky martin demorar tanto tempo assim pra assumir pq tar dar bunda nao reprimo caralho literalmente pra vc,0
futebol hqeh atacante acha meiodecampo coisa veado,futebol hqeh atac acha meiodecamp cois vead,futebol hqeh atacante achar meiodecampo coisa vear,1
hqeh nao sai mostrando bunda epoca carnaval,hqeh nao sai mostr bund epoc carnaval,hqeh nao sair mostrar bunda epocar Carnaval,1
hqeh nao pergunta esposanamorada ela quer ir fala pra eles vao pronto,hqeh nao pergunt esposanamor ela quer ir fal pra eles vao pront,hqeh nao perguntar esposanamorado ela querer ir falar pra eles vao pronto,1
hqeh acorda cedo pra assistir jogos copa worldcup,hqeh acord ced pra assist jog cop worldcup,hqeh acordar cedo pra assistir jogo copa Worldcup,1
esse espirito true man,esse espirit tru man,esse espirito truer man,0
pra voce nao gosta futebol fodase mane sem alma,pra voc nao gost futebol fodas man sem alma,pra voce nao gostar futebol fodase mane sem alma,0
alias pra ver futebol copa voce nao vai acompanhar nada proximos anos novo deixe quem gosta ver paz,ali pra ver futebol cop voc nao vai acompanh nad prox anos nov deix quem gost ver paz,alia pra ver futebol Copa voce nao ir acompanhar nada proximo ano novo deixar quem gostar ver paz,0
frangas plantao eu voltei chhuuuuupaaaaaa,frang planta eu volt chhuuuuupaaaaa,franga plantao eu voltar chhuuuuupaaaaaa,0
vc chique benhe live on,vc chiqu benh liv on,vc chique benhe live on,0
nossa nao gosto cameras rs live on,noss nao gost cam rs liv on,nosso nao gosto camera rs live on,0
tadinho goby rsrsrs live on,tadinh goby rsrsrs liv on,tadinho goby rsrsrs live on,0
bom gente boa twitcam pra todosssss cheirossss live on,bom gent boa twitc pra todosssss cheirossss liv on,bom gente bom twitcar pra todosssss cheirossss live on,0
ouvindo musica preciso vc excelente linda foda pq to separando pqp,ouv music precis vc excelent lind fod pq to separ pqp,ouvir musica preciso vc excelente linda foda pq to separar pqp,0
excelente post historia tb,excelent post histor tb,excelente post historio tb,0
rt obrigado pelo apoio contamos vc divulgacao campanha salvealagoas salvepernambuco,rt obrig pel apoi cont vc divulgaca campanh salvealago salvepernambuc,rt obrigar por o apoio contamos vc divulgacao campanha salvealagoa salvepernambuco,0
kkkkkk massa ne pode passar pra frente claro cheiros,kkkkkk mass ne pod pass pra frent clar cheir,kkkkkk massar ne poder passar pra frente claro cheiro,0
ja sentiram q ta tudo errado q pessoas mais importantes acabam s perdendo errosinsegurancas tuas foda hora mudar boas noites,ja sent q ta tud errad q pesso mais import acab s perd errosinseguranc tuas fod hor mud boas noit,ja sentir q ta tudo errar q pessoa mais importante acabar s perder errosinseguranco tuo foda hora mudar boa noite,0
ta msn,ta msn,ta msn,0
nossa ta chiques rs mtos contatos hahaah ta boa,noss ta chiqu rs mtos contat hahaah ta boa,nosso ta chique rs mto contato hahaah ta bom,0
nusssss magavilha heinnn massa esse promo,nusssss magavilh heinnn mass esse prom,nusssss magavilha heinnn massa esse promo,0
h maiusculo nao tem twitter entao voce ja sabe quem deve criado esse perfil,h maiuscul nao tem twitt enta voc ja sab quem dev cri esse perfil,h maiusculo nao ter twitter entao voce ja saber quem dever criar esse perfil,0
nao gosta bater papo msn ele responde outros falam nem tem tempo pra frescura,nao gost bat pap msn ele respond outr fal nem tem temp pra frescur,nao gostar bater papo msn ele responder outro falar nem ter tempo pra frescura,1
nao faz unhas nem corta tesoura corta trinco mesmo,nao faz unhas nem cort tesour cort trinc mesm,nao fazer unha nem cortar tesoura cortar trinco mesmo,0
nao usa roupa corderosa nem roxo,nao usa roup corder nem rox,nao usar roupa corderoso nem roxo,0
nao faz barba todo dia,nao faz barb tod dia,nao fazer barba todo dia,0
nao gosta fazer compras faz mulher forca,nao gost faz compr faz mulh forc,nao gostar fazer compra fazer mulher forca,1
olha primeiro pros peitos mulheres,olha primeir pros peit mulh,olhar primeiro pro peito mulher,1
gosta futebol cerveja mulheres,gost futebol cervej mulh,gostar futebol cervejo mulher,0
tem amiga mas morre vontade comelas,tem amig mas morr vontad comel,ter amiga mas morrer vontade comela,1
eu volteiiii agora pra ficarrrr,eu volteiii agor pra ficarrrr,eu volteiiii agora pra ficarrrr,0
convida nui sampa rt vamos p baladinha sampa lucas,conv nui samp rt vam p baladinh samp luc,convidar nui sampa rt ir p baladinha sampa luco,0
ninguem chega casa falando mae sou hetero entao tem chegar dizer mae sou gay by epronto,ningu cheg cas fal mae sou heter enta tem cheg diz mae sou gay by epront,ninguem chegar casa falar mae ser hetero entao ter chegar dizer mae ser gay by epronto,0
tai qria picole carambola jambo recifefeelings mas dia hj mto trab noite solidao fera,tai qri picol carambol jamb recifefeelings mas dia hj mto trab noit solida fer,tai qria picole carambola Jambo recifefeelings mas dia hj mto trab noite solidao ferao,0
oxente pq sou tao santa rsrt oooooooooo maluca,oxent pq sou tao sant rsrt oooooooooo maluc,oxente pq ser tao santar rsrt oooooooooo maluco,0
nao coisa n elimina outra rt ain menina tenho entrevista d emprego semana vem vou sair prostituicao rs,nao cois n elimin outr rt ain menin tenh entrev d empreg seman vem vou sair prostituica rs,nao coisa n elimina outro rt ain menina ter entrevista d emprego semana vir ir sair prostituicao rs,0
pimenta comentada estrevista,piment coment estrev,pimentar comentado estrevista,0
ainda nao acredito nao estarei recife dia oquartosecreto serio saco boloderolofeelings,aind nao acredit nao estar recif dia oquartosecret seri sac boloderolofeelings,ainda nao acreditar nao estar recifer dia oquartosecreto serio saco boloderolofeelings,0
hj tdo mundo preoc c colega escrit eu sabia q tinha ido fazer entrevista eu disfarcando fazendo preocupada,hj tdo mund preoc c coleg escrit eu sab q tinh ido faz entrev eu disfarc faz preocup,hj tdo mundo preoc c colega escrit eu saber q ter ir fazer entrevista eu disfarcar fazer preocupar,0
nao nasceu acredite apelido infancia maria desastre rt ta pra nascer pessoa mais desastrada eu,nao nasc acredit apel infanc mar desastr rt ta pra nasc pesso mais desastr eu,nao nascer acredite apeler infancia Maria desastre rt ta pra nascer pessoa mais desastrado eu,0
hj eu vi perguntando p tt funciona promocao dona morangorespondendo funciona odiadehoje,hj eu vi pergunt p tt funcion promoca don morangorespond funcion odiadehoj,hj eu ver perguntar p tt funcionar promocao donar morangoresponder funcionar odiadehoje,0
serio qq dia te relato boas sou especialista posgraduada auto flagelacao me formei desligamento exemplo,seri qq dia te relat boas sou especial posgradu aut flagelaca me form deslig exempl,serio qq dia te relato bom ser especialista posgraduar auto flagelacao eu formei desligamento exemplo,0
ex so hj percebi vc promoter comunidade morango ainda to tentando descobrir quem tua socia tofalando,ex so hj perceb vc promot comun morang aind to tent descobr quem tua soc tofal,ex so hj percebi vc promoter comunidade morango ainda to tentar descobrir quem tuar sociar tofalar,0
aff tutorial nao tedio ve edicao video vc entra numa facul maquiagem,aff tutorial nao tedi ve edica vid vc entra num facul maquiag,aff tutorial nao tedio ve edicao video vc entrar em um facul maquiagem,0
q fodas hein amigo,q fod hein amig,q foda hein amigo,0
q vc nunca falou comigo madry entao fiquei triste quase ligando pro falaqueeuteescuto pra pedir oracao agoraestoufeliz,q vc nunc fal comig madry enta fiqu trist quas lig pro falaqueeuteescut pra ped oraca agoraestoufeliz,q vc nunca falar comigo madry entao fiquei tristar quase ligar pro falaqueeuteescuto pra pedir oracao agoraestoufeliz,0
adoro essa energia daqui nao gosto lembrar vou trabalhar feriado mas gosto emprego entao ta otimo rs,ador essa energ daqu nao gost lembr vou trabalh feri mas gost empreg enta ta otim rs,adorar esse energia de aqui nao gostar lembrar ir trabalhar feriado mas gostir emprego entao ta otimo rs,0
ta doendo simmm ta doendo mimmmmm namorada felipe melo,ta doend simmm ta doend mimmmmm namor felip mel,ta doer simmm ta doer mimmmmm namorar felipe Melo,1
jeito sou desastrada coloco copo agua cima tv fico sem melhornao oremospranaoorar,jeit sou desastr coloc cop agu cim tv fic sem melhorna oremospranaoor,jeito ser desastrado coloco copo aguo cimo tv fico sem melhornao oremospranaoorar,0
comecou fala eu te escuto assistir dr house nisso hahahaha,comec fal eu te escut assist dr hous niss hahahah,comecar falar eu te escuto assistir dr house em isso hahahaha,0
qq dia te relato sou posgraduada autoflagelacao m formei desligamento apelido d infancia maria desastre,qq dia te relat sou posgradu autoflagelaca m form deslig apel d infanc mar desastr,qq dia te relato ser posgraduar autoflagelacao m formei desligamento apelido d infancia Maria desastre,0
rt vc me deixou pq,rt vc me deix pq,rt vc eu deixar pq,0
bora fazer campeonato madry hahaha vc podia minha mae embora ache nao tem idade snifff saudadedemainha,bor faz campeonat madry hahah vc pod minh mae embor ache nao tem idad snifff saudadedemainh,bor fazer campeonato madry Hahaha vc poder meu mae embora achar nao ter idade snifff saudadedemainho,0
ia dar boa noite mas vc ja entao boa sexta hahaha,ia dar boa noit mas vc ja enta boa sext hahah,ir dar bom noite mas vc ja entao bom sexta hahaho,0
boa noite lindinhas noite rs,boa noit lindinh noit rs,bom noite lindinho noite rs,0
indo dormir ao som linda musica crenca sim verdadeiro sempre,indo dorm ao som lind music crenc sim verdadeir sempr,ir dormir a o som linda musico crenca sim verdadeiro sempre,0
olha video postei agora durma bem cheiros,olha vid post agor durm bem cheir,olhar video postar agora durma bem cheiro,0
canhao retorno nao fale isso pro felipe melo vai ele anima boa noite medofeelings,canha retorn nao fal isso pro felip mel vai ele anim boa noit medofeelings,canhao retorno nao falar isso pro felipe melo ir ele animar boa noite medofeelingsr,0
hello pois mas estava interagindo thudhu bom,hell pois mas estav interag thudhu bom,hello pois mas estar interagir thudhu bom,0
nossa nem me fale saudade esquisita,noss nem me fal saudad esquisit,nosso nem eu falar saudade esquisito,0
tb soninho eis trabalho amanha hj feriado sampa tb trabalho rs affff rs,tb soninh eis trabalh amanh hj feri samp tb trabalh rs affff rs,tb soninho eis trabalho amar hj feriado sampa tb trabalho rs affff rs,0
oi pssoa ta morando aqui sampa quenaosejanazlmodeon,oi psso ta mor aqu samp quenaosejanazlmodeon,oi pssoa ta morar aqui sampa quenaosejanazlmodeon,0
moita nuncafui hehehe,moit nuncafu heheh,moito nuncafui hehehe,0
eu tb aclimacao bemnofocodacomidajaponesa adoro,eu tb aclimaca bemnofocodacomidajapones ador,eu tb aclimacao bemnofocodacomidajaponesa adorar,0
constituicao porra nem minha bisavo era nascida quequeeutenhoavercomisso,constituica porr nem minh bisav era nasc quequeeutenhoavercomiss,constituicao porrar nem meu bisavo ser nascido quequeeutenhoavercomisso,0
parar contalogotudoquetenhosanguejornalista,par contalogotudoquetenhosanguejornal,parar contalogotudoquetenhosanguejornalista,0
pssoa fina rsrs rt jardins,psso fin rsrs rt jardins,pssoa fino rsrs rt jardim,0
galera reuniu contra governo intransigente vargas oficialmente pssoas morreram cidades bombardeadas,gal reun contr govern intransigent varg oficial psso morr cidad bombard,galerar reunir contra governo intransigente varga oficialmente pssoa morrer cidade bombardear,0
ate enfim alguem me entende nessa life rt ah gente tem complicar sim vida totalmente previsivel n tem graca,ate enfim algu me entend ness lif rt ah gent tem complic sim vid total previsivel n tem grac,ate enfim alguir eu entender em esse life rt ah gente ter complicar sim vida totalmente previsivel n ter graca,0
vc conhece banda thecorrs fikdik runaway frontiers at your side ai vai amomuito,vc conhec band thecorrs fikdik runaway frontiers at your sid ai vai amomuit,vc conhecer banda thecorrs fikdik runaway frontier at Your side ai ir amomuito,0
vale muito pena tenho dvds incriveis morasse sp fariate copia thecorrs,val muit pen tenh dvds incriv mor sp fariat cop thecorrs,valer muito pena ter dvds incrivel morar sp fariate copia thecorrs,0
gente li piadinhas fodas agora vou trazer perai,gent li piadinh fod agor vou traz pera,gente li piadinho fodas agora ir trazer perai,0
quer dica meio trash pra aumentar galera show trashquefunciona bate papo uol salas minas divulgada,quer dic mei trash pra aument gal show trashquefuncion bat pap uol sal min divulg,querer dica meio trash pra aumentar galera show trashquefuncionar bate papo uol sala mina divulgar,0
nao deixe lembrancas saudades te minarem enfrente ouca musicas essa linda msm conhece the corrs,nao deix lembranc saudad te min enfrent ouc music essa lind msm conhec the corrs,nao deixar lembranco saudade te minar enfrente ouca musico esse linda msm conhecer the corrs,0
sei la inventei agora catita hahaha,sei la invent agor catit hahah,saber la inventei agora catito hahaho,0
oi carametade desastre mor dei fucadas hj blog,oi carametad desastr mor dei fuc hj blog,oi carametade desastre mor dar fucar hj blog,0
ixi amiga marron marromenos termino namoro foda ne,ixi amig marron marromen termin namor fod ne,ixi amigo marron marromeno termino namorar foda ne,0
nem eu amiga nem eu ela diz eavidasegue,nem eu amig nem eu ela diz eavidaseg,nem eu amigar nem eu ela dizer eavidasegue,0
blog dilicinha ja conhecia sim vou comentar amanha hj to bode sozinha abandonada sampa rs,blog dilicinh ja conhec sim vou coment amanh hj to bod sozinh abandon samp rs,blog de ilicinhe ja conhecer sim ir comentar amanho hj to bode sozinho abandonado sampa rs,0
