clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
homem verdade nao desenhar pinto nao conhece pau honre pinto,hom verdad nao desenh pint nao conhec pau honr pint,homem verdade nao desenhar pinto nao conhecer pau honre pinto,1
viver dignidade conceito extincao plena foco resistencia,viv dignidad conceit extinca plen foc resistenc,viver dignidade conceito extincao pleno foco resistencer,0
gostar mulher vergonha twittealgomuitoantigo,gost mulh vergonh twittealgomuitoantig,gostar mulher vergonha twittealgomuitoantigo,0
heterosexual homem verdade twittealgomuitoantigo,heterosexual hom verdad twittealgomuitoantig,heterosexual homem verdade twittealgomuitoantigo,1
mulher parecer babaca twittealgomuitoantigo,mulh parec babac twittealgomuitoantig,mulher parecer babaco twittealgomuitoantigo,1
geisy fantastico deu nota noticias geisy ilegal gente nota vc ruim,geisy fantast deu not notic geisy ilegal gent not vc ruim,geisy fantastico dar nota noticio geisy ilegal gente notar vc ruim,0
parametros notas sao complexos resumo marlene mattos monica bellucci vc so pegaria,parametr not sao complex resum marlen matt monic bellucc vc so peg,parametro nota sao complexo resumo marlener matto monico bellucci vc so pegaria,1
nao fala boquete recebe rt liberdade significa falar boquete fala clima,nao fal boquet receb rt liberdad signif fal boquet fal clim,nao falar boquete receber rt liberdade significar falar boquete falar clima,0
vao comer arroz feijao fdp frescos caralho,vao com arroz feija fdp fresc caralh,vao comer arroz Feijao fdp fresco Caralho,0
rt rt pra vc desmaia qdo tira sangue chegou plano odontomacho via,rt rt pra vc desma qdo tir sang cheg plan odontomach via,rt rt pra vc desmaia qdo tira sangue chegar plano odontomacho ver,0
kassabe diria culpa nao fiz projeto algum chuvas vcs povao porco nao cobra,kassab dir culp nao fiz projet algum chuv vcs pova porc nao cobr,kassabe dir culpa nao fiz projeto algum chuva vcs Povao porco nao cobra,0
sobreviver haiti missao,sobreviv hait missa,sobreviver haiti Missao,0
vc twitter,vc twitt,vc twitter,1
video clipe semana,vid clip seman,video clipe semano,0
twitter pergunta,twitt pergunt,twitter perguntar,0
claro so vc nao babaca nerds valentao rede mulher imbecil hipster freak viciado celebridades,clar so vc nao babac nerds valenta red mulh imbecil hipst freak vic celebr,claro so vc nao babaco nerds valentao rede mulher imbecil hipster freak viciar celebridade,1
proposito nao campus party baitolinhas amigos reais virgem tambem,proposit nao campus party baitolinh amig rea virg tamb,proposito nao campus party baitolinha amigo real virgem tamber,1
nao homem metade,nao hom metad,nao homem metade,0
nao precisa lingerieday puta parada barangasnerds atras rolas virgens pra sites pornos melhores,nao precis lingerieday put par barangasnerds atras rol virgens pra sit porn melhor,nao precisar lingerieday putar parar barangasnerds atra rolas virgem pra site porno bom,1
campusparty feder espinha azeda passou validade mulher vale juazeiro,campusparty fed espinh azed pass validad mulh val juazeir,campusparty feder espinha azeda passar validade mulher valer Juazeiro,1
viu ipad gritou steve mesa cervejas copos americanos porcao fritas outrade calabresa,viu ipad grit stev mes cervej cop american porca frit outrad calabres,ver ipad gritar Steve mesa cervejas copo americano porcao frito outrade calabrês,0
homem homem so conhece cheiros mulher ruim,hom hom so conhec cheir mulh ruim,homem homem so conhecer cheiro mulher ruim,1
nao camiseta manga va malhar praticar algum esporte,nao camiset mang va malh pratic algum esport,nao camiseta manga va malhar praticar algum esporte,0
deus justo calca carol mamaeeee,deus just calc carol mamaeee,Deus justo calcar carol mamaeeee,0
campeonato peido amigos,campeonat peid amig,campeonato peir amigo,0
bebe cana pura nao careta,beb can pur nao caret,beber cano puro nao careta,0
homem homem arrota suco laranja,hom hom arrot suc laranj,homem homem arrotar suco laranja,1
palavra dia homem homem nao fragrancia,palavr dia hom hom nao fragranc,palavra dia homem homem naoer fragrancia,1
homem homem arrota suco laranja ouvido namorada,hom hom arrot suc laranj ouv namor,homem homem arrotar suco laranja ouvir namorar,1
homem homem so come carne peixe bixa,hom hom so com carn peix bix,homem homem so comer carne peixe bixa,1
pontaria qlq q der telha jato mijo,pont qlq q der telh jat mij,pontar qlq q dar telha jato mijo,0
nao lava cueca q acabou comprar,nao lav cuec q acab compr,nao lavar cuecar q acabar comprar,0
homem homem brinca girocoptero banheiro casa sogra,hom hom brinc girocopter banheir cas sogr,homem homem brinca girocoptero banheiro casa sogro,1
conhece tres cores azul vermelho amarelo,conhec tres cor azul vermelh amarel,conhecer tr cor azul vermelho amarelo,0
homem homem come doritos pimenta geleia extraforte pimenta guarana ice,hom hom com dorit piment gel extrafort piment guaran ice,homem homem comer doritos pimentar geleia extraforte pimentar guarano ice,1
porteiro rt massagear ego mulher nao elogiar bunda peitos porteiro,porteir rt massag ego mulh nao elogi bund peit porteir,porteiro rt massagear ego mulher nao elogiar bunda peito porteiro,0
mao homem calos,mao hom cal,mao homem calo,1
homem homem nao assiste fazenda,hom hom nao assist fazend,homem homem nao assistir fazendar,1
musical kiporressa homem homem,musical kiporress hom hom,musical kiporressa homem homem,1
sexochurrascocervejadormir carnavalempalavras,sexochurrascocervejadorm carnavalempalavr,sexochurrascocervejadormir carnavalempalavra,0
homem homem nao nota esmalte mulheres,hom hom nao not esmalt mulh,homem homem naoer nota esmalte mulher,1
homem homem nao come bebe,hom hom nao com beb,homem homem naoer comer beber,1
homem homem troca penis figado,hom hom troc pen fig,homem homem troca penis figar,1
nao brocha calcinha bege,nao broch calcinh beg,nao brocho calcinha bege,0
nao cor bege,nao cor beg,nao cor bege,0
nao nadar amputa pernas melhor invalido incompetente,nao nad amput pern melhor inval incompetent,nao nadar amputar perna bom invalir incompetente,1
ficar twittando entretenimento,fic twitt entreten,ficar twittar entretenimento,0
manda pro amigo franguinha,mand pro amig franguinh,mandar pro amigo franguinhr,0
feliz homens gostam mulheres,feliz homens gost mulh,feliz homem gostar mulher,1
operarias queimadas fabrica sao bundao covarde carater,oper queim fabric sao bunda covard carat,operaria queimar fabricar sao bundao covarde carater,0
vacila assume rapidamente responsabilidade paga erro humor,vacil assum rapid respons pag erro humor,vacila assumir rapidamente responsabilidade pagar erro humor,1
risada si rir cagadas alheias melhor,ris si rir cag alhe melhor,risar si rir cagar alheia bom,0
hora feira nao pra baladinha vagabundoessa hora ja demos so relax,hor feir nao pra baladinh vagabundoess hor ja dem so relax,hora feira nao pra baladinha vagabundoessar hora ja dar so relax,1
cedemos encanto caimos boca caro,ced encant caim boc car,ceder encanto caimos boca caro,0
fala ai mariquinhas afins culhao resolver coisinha,fal ai mariquinh afins culha resolv coisinh,falar ai mariquinha afim culhao resolver coisinha,1
perfume,perfum,perfume,1
perfume pra mao jovem amantepra mao cappice,perfum pra mao jov amantepr mao cappic,perfumir pra mao jovem amantepra mao cappice,0
pedidos recuso falar bbb nao entra programinha pra ganhar milhao gente ganha batalha dia dia,ped recus fal bbb nao entra programinh pra ganh milha gent ganh batalh dia dia,pedido recuso falar bbb nao entrar programinho pra ganhar milhao gente ganhar batalha dia dia,1
so frangas bombadinhos chiliquentos gays exploram condicoes pedacos carne massa carceraria,so frang bombadinh chiliquent gays explor condico pedac carn mass carcer,so franga bombadinho chiliquento gay explor condicoe pedaco carner masso carcerario,0
ricky martin demorou pra assumir pq tava dando bunda nao reprima caralho literalmente pra vc,ricky martin demor pra assum pq tav dand bund nao reprim caralh literal pra vc,ricky Martin demorar pra assumir pq tar dar bunda nao reprimo caralho literalmente pra vc,0
futebol hqeh atacante acha meiodecampo veado,futebol hqeh atac acha meiodecamp vead,futebol hqeh atacante achar meiodecampo vear,1
hqeh nao sai mostrando bunda epoca carnaval,hqeh nao sai mostr bund epoc carnaval,hqeh nao sair mostrar bunda epocar Carnaval,1
hqeh nao pergunta esposanamorada fala pra vao pronto,hqeh nao pergunt esposanamor fal pra vao pront,hqeh nao perguntar esposanamorar falar pra vao pronto,1
hqeh acorda pra assistir jogos copa worldcup,hqeh acord pra assist jog cop worldcup,hqeh acordar pra assistir jogo copa Worldcup,1
espirito true man,espirit tru man,espirever truer man,0
pra voce nao gosta futebol fodase mane alma,pra voc nao gost futebol fodas man alma,pra voce nao gostar futebol fodase Mane alma,0
alias pra futebol copa voce nao acompanhar proximos anos deixe gosta paz,ali pra futebol cop voc nao acompanh prox anos deix gost paz,alia pra futebol Copa voce nao acompanhar proximo ano deixar gostar paz,0
frangas plantao voltei chhuuuuupaaaaaa,frang planta volt chhuuuuupaaaaa,franga plantao voltar chhuuuuupaaaaaa,0
vc chique benhe live on,vc chiqu benh liv on,vc chique benhe live on,0
nao gosto cameras rs live on,nao gost cam rs liv on,nao gostar camera rs live on,0
tadinho goby rsrsrs live on,tadinh goby rsrsrs liv on,tadinho goby rsrsrs live on,0
gente twitcam pra todosssss cheirossss live on,gent twitc pra todosssss cheirossss liv on,gente twitcar pra todosssss cheirossss live on,0
ouvindo musica preciso vc excelente linda foda pq to separando pqp,ouv music precis vc excelent lind fod pq to separ pqp,ouvir musica preciso vc excelente linda foda pq to separar pqp,0
excelente post historia tb,excelent post histor tb,excelente post historio tb,0
rt contamos vc divulgacao campanha salvealagoas salvepernambuco,rt cont vc divulgaca campanh salvealago salvepernambuc,rt contamos vc divulgacao campanha salvealagoa salvepernambuco,0
kkkkkk massa ne passar pra frente claro cheiros,kkkkkk mass ne pass pra frent clar cheir,kkkkkk massar ne passar pra frente claro cheiro,0
ja sentiram q ta errado q pessoas importantes acabam s perdendo errosinsegurancas foda hora mudar boas noites,ja sent q ta errad q pesso import acab s perd errosinseguranc fod hor mud boas noit,ja sentir q ta errar q pessoa importante acabar s perder errosinseguranco foda hora mudar boa noite,0
ta msn,ta msn,ta msn,0
ta chiques rs mtos contatos hahaah ta,ta chiqu rs mtos contat hahaah ta,ta Chiques rs mto contato hahaah ta,0
nusssss magavilha heinnn massa promo,nusssss magavilh heinnn mass prom,nusssss magavilha heinnn massa promo,0
h maiusculo nao twitter entao voce ja criado perfil,h maiuscul nao twitt enta voc ja cri perfil,h maiusculo nao twitter entao voce ja criar perfil,0
nao gosta bater papo msn responde falam pra frescura,nao gost bat pap msn respond fal pra frescur,nao gostar bater papo msn responde falar pra frescura,1
nao unhas corta tesoura corta trinco,nao unhas cort tesour cort trinc,nao unha cortar tesoura cortar trinco,0
nao roupa corderosa roxo,nao roup corder rox,nao roupa corderoso roxo,0
nao barba dia,nao barb dia,nao barba dia,0
nao gosta compras mulher forca,nao gost compr mulh forc,nao gostar compra mulher forca,1
olha pros peitos mulheres,olha pros peit mulh,olhar pro peito mulher,1
gosta futebol cerveja mulheres,gost futebol cervej mulh,gostar futebol cervejo mulher,0
amiga morre vontade comelas,amig morr vontad comel,amigo morrer vontade comela,1
volteiiii pra ficarrrr,volteiii pra ficarrrr,volteiiii pra ficarrrr,0
convida nui sampa rt vamos p baladinha sampa lucas,conv nui samp rt vam p baladinh samp luc,convidar nui sampa rt ir p baladinha sampa luco,0
ninguem chega casa falando mae hetero entao chegar mae gay by epronto,ningu cheg cas fal mae heter enta cheg mae gay by epront,ninguem chegar casa falar mae hetero entao chegar mae gay by epronto,0
tai qria picole carambola jambo recifefeelings dia hj mto trab noite solidao fera,tai qri picol carambol jamb recifefeelings dia hj mto trab noit solida fer,tai qria picole carambola Jambo recifefeelingsr dia hj mto trab noite solidao ferao,0
oxente pq tao santa rsrt oooooooooo maluca,oxent pq tao sant rsrt oooooooooo maluc,oxente pq tao santar rsrt oooooooooo maluco,0
nao n elimina rt ain menina entrevista d emprego semana vou sair prostituicao rs,nao n elimin rt ain menin entrev d empreg seman vou sair prostituica rs,nao n elimina rt ain menina entrevista d emprego semana ir sair prostituicao rs,0
pimenta comentada estrevista,piment coment estrev,pimentar comentado estrevista,0
nao acredito nao estarei recife dia oquartosecreto serio saco boloderolofeelings,nao acredit nao estar recif dia oquartosecret seri sac boloderolofeelings,nao acreditar nao estar recifer dia oquartosecreto serio saco boloderolofeelings,0
hj tdo mundo preoc c colega escrit sabia q ido entrevista disfarcando fazendo preocupada,hj tdo mund preoc c coleg escrit sab q ido entrev disfarc faz preocup,hj tdo mundo preoc c colega escrit saber q ir entrevista disfarcar fazer preocupar,0
nao nasceu acredite apelido infancia maria desastre rt ta pra nascer pessoa desastrada,nao nasc acredit apel infanc mar desastr rt ta pra nasc pesso desastr,nao nascer acredite apeler infancia Maria desastre rt ta pra nascer pessoa desastrado,0
hj vi perguntando p tt funciona promocao dona morangorespondendo funciona odiadehoje,hj vi pergunt p tt funcion promoca don morangorespond funcion odiadehoj,elhj ver perguntar p tt funcionar promocao donar morangoresponder funcionar odiadehoje,0
serio qq dia relato boas especialista posgraduada auto flagelacao formei desligamento,seri qq dia relat boas especial posgradu aut flagelaca form deslig,serio qq dia relato bom especialista posgraduar auto flagelacao formei desligamento,0
ex so hj percebi vc promoter comunidade morango to tentando descobrir socia tofalando,ex so hj perceb vc promot comun morang to tent descobr soc tofal,ex so hj percebi vc promoter comunidade morango to tentar descobrir socio tofalar,0
aff tutorial nao tedio ve edicao video vc entra facul maquiagem,aff tutorial nao tedi ve edica vid vc entra facul maquiag,aff tutorial nao tedio ve edicao video vc entrar facul maquiagem,0
q fodas hein amigo,q fod hein amig,q foda hein amigo,0
q vc falou comigo madry entao fiquei triste quase ligando pro falaqueeuteescuto pra pedir oracao agoraestoufeliz,q vc fal comig madry enta fiqu trist quas lig pro falaqueeuteescut pra ped oraca agoraestoufeliz,q vc falar comigo madry entao fiquei tristar quase ligar pro falaqueeuteescuto pra pedir oracao agoraestoufeliz,0
adoro energia daqui nao gosto lembrar vou trabalhar feriado gosto emprego entao ta otimo rs,ador energ daqu nao gost lembr vou trabalh feri gost empreg enta ta otim rs,adorar energia de aqui nao gostar lembrar ir trabalhar feriado gosto emprego entao ta otimo rs,0
ta doendo simmm ta doendo mimmmmm namorada felipe melo,ta doend simmm ta doend mimmmmm namor felip mel,ta doer simmm ta doer mimmmmm namorar felipe Melo,1
jeito desastrada coloco copo agua tv fico melhornao oremospranaoorar,jeit desastr coloc cop agu tv fic melhorna oremospranaoor,jeito desastrado coloco copo aguo tv fico melhornao oremospranaoorar,0
comecou fala escuto assistir dr house nisso hahahaha,comec fal escut assist dr hous niss hahahah,comecar falar escuto assistir dr house em isso hahahaha,0
qq dia relato posgraduada autoflagelacao m formei desligamento apelido d infancia maria desastre,qq dia relat posgradu autoflagelaca m form deslig apel d infanc mar desastr,qq dia relato posgraduar autoflagelacao m formei desligamento apelido d infancia Maria desastre,0
rt vc deixou pq,rt vc deix pq,rt vc deixar pq,0
bora campeonato madry hahaha vc mae ache nao idade snifff saudadedemainha,bor campeonat madry hahah vc mae ache nao idad snifff saudadedemainh,bor campeonato madry hahaho vc mae achar nao idade snifff saudadedemainho,0
ia noite vc ja entao hahaha,ia noit vc ja enta hahah,ir noite vc ja entao hahaha,0
noite lindinhas noite rs,noit lindinh noit rs,noite lindeu noite rs,0
indo dormir som linda musica crenca verdadeiro,indo dorm som lind music crenc verdadeir,ir dormir som lindar musica crenca verdadeiro,0
olha video postei durma cheiros,olha vid post durm cheir,olhar video postar durma cheiro,0
canhao retorno nao fale pro felipe melo anima noite medofeelings,canha retorn nao fal pro felip mel anim noit medofeelings,canhao retorno nao falar pro felipe melo animar noite medofeelingsr,0
hello interagindo thudhu,hell interag thudhu,hello interagir thudhu,0
fale saudade esquisita,fal saudad esquisit,falar saudade esquisito,0
tb soninho eis trabalho amanha hj feriado sampa tb trabalho rs affff rs,tb soninh eis trabalh amanh hj feri samp tb trabalh rs affff rs,tb soninho eis trabalho amar hj feriado sampa tb trabalho rs affff rs,0
oi pssoa ta morando sampa quenaosejanazlmodeon,oi psso ta mor samp quenaosejanazlmodeon,oi pssoa ta morar sampa quenaosejanazlmodeon,0
moita nuncafui hehehe,moit nuncafu heheh,moito nuncafui hehehe,0
tb aclimacao bemnofocodacomidajaponesa adoro,tb aclimaca bemnofocodacomidajapones ador,tb aclimacao bemnofocodacomidajaponesa adorar,0
constituicao porra bisavo nascida quequeeutenhoavercomisso,constituica porr bisav nasc quequeeutenhoavercomiss,constituicao porra Bisavo nascido quequeeutenhoavercomisso,0
parar contalogotudoquetenhosanguejornalista,par contalogotudoquetenhosanguejornal,parar contalogotudoquetenhosanguejornalista,0
pssoa fina rsrs rt jardins,psso fin rsrs rt jardins,pssoa fino rsrs rt jardim,0
galera reuniu governo intransigente vargas oficialmente min pssoas morreram cidades bombardeadas,gal reun govern intransigent varg oficial min psso morr cidad bombard,galerar reunir governo intransigente varga oficialmente min pssoa morrer cidade bombardear,0
ate enfim alguem entende life rt ah gente complicar vida totalmente previsivel n graca,ate enfim algu entend lif rt ah gent complic vid total previsivel n grac,ate enfim alguem entender Life rt ah gente complicar vida totalmente previsivel n graca,0
vc conhece banda thecorrs fikdik runaway frontiers at your side ai amomuito,vc conhec band thecorrs fikdik runaway frontiers at your sid ai amomuit,vc conhecer banda thecorrs fikdik runaway frontier at Your sidir ai amomuito,0
vale pena dvds incriveis morasse sp fariate copia thecorrs,val pen dvds incriv mor sp fariat cop thecorrs,valer pena dvds incrivel morar sp fariate copia thecorrs,0
gente li piadinhas fodas vou trazer perai,gent li piadinh fod vou traz pera,gente li piadinho for ir trazer perai,0
dica trash pra aumentar galera show trashquefunciona bate papo uol salas minas divulgada,dic trash pra aument gal show trashquefuncion bat pap uol sal min divulg,dica trash pra aumentar galera show trashquefuncionar bate papo uol sala mina divulgar,0
nao deixe lembrancas saudades minarem enfrente ouca musicas linda msm conhece the corrs,nao deix lembranc saudad min enfrent ouc music lind msm conhec the corrs,nao deixar lembranco saudade minar enfrente ouca musico lindar msm conhecer the corrs,0
la inventei catita hahaha,la invent catit hahah,la inventei catita hahaho,0
oi carametade desastre mor dei fucadas hj blog,oi carametad desastr mor dei fuc hj blog,oi carametade desastre mor dar fucar hj blog,0
ixi amiga marron marromenos termino namoro foda ne,ixi amig marron marromen termin namor fod ne,ixi amigo marron marromeno termino namorar foda ne,0
amiga eavidasegue,amig eavidaseg,amiga eavidasegar,0
blog dilicinha ja conhecia vou comentar amanha hj to bode sozinha abandonada sampa rs,blog dilicinh ja conhec vou coment amanh hj to bod sozinh abandon samp rs,blog de ilicinhe ja conhecer ir comentar amanho hj to bode sozinho abandonado sampa rs,0
vcs moram moro aclimacao liberdade vergueiro paraiso,vcs mor mor aclimaca liberdad vergueir parais,vcs morar moro aclimacao liberdade vergueiro paraiso,0
morava jabaquara comprava acougue massa av sta catarina so la seleta legumes amava sniff,mor jabaqu compr acoug mass av sta catarin so la selet legum amav sniff,morar jabaquara comprar acougar massar av sta catarina so la seleta legume amar sniff,0
galera fotos pra mostrar terca sra deu entrevista pra revista vestido micro,gal fot pra mostr terc sra deu entrev pra revist vest micr,galerar foto pra mostrar terca Sra dar entrevista pra revista vestir micro,0
amo bairro adivinha abriu temakeria casa hahaha falenciafeelings,amo bairr adivinh abriu temak cas hahah falenciafeelings,amo bairro adivinhar abrir temakerio casa hahaho falenciafeelings,0
mosqueteiras nao livraram perguntinhas basicas vermelhidaonorosto,mosqueteir nao livr perguntinh basic vermelhidaonorost,mosqueteira nao livrar perguntinha basico vermelhidaonorosto,0
faltam min rs,falt min rs,faltar min rs,0
pssoas incriveis so comem spoletto rs,psso incriv so com spolett rs,pssoa incrivel so comer spoletto rs,0
chamado caomor junto reporter cara sono rs mto legal,cham caomor junt report car son rs mto legal,chamar caomor junto reporter cara sono rs mto legal,0
viu fotos postei,viu fot post,ver foto postar,0
vou comidinha pernambucana,vou comidinh pernambucan,ir comidinha pernambucano,0
chega som imagem nao ne xerus live on,cheg som imag nao ne xerus liv on,chegar som imagem nao ne xerus live on,0
faco basico hahaha,fac basic hahah,faco basico Hahaha,0
tai otima sobremesas doces bolos,tai otim sobremes doc bol,tai otimo sobremeso doce bolo,0
medo pra sppp rs,med pra sppp rs,medo pra sppp rs,0
gente ta pique jv leve nao rsrsrs,gent ta piqu jv lev nao rsrsrs,gente ta pique jv levar nao rsrsrs,0
rilitros rt liquid love iria participar promocao infarta morango kkkkkkk passomal,rilitr rt liquid lov iri particip promoca infart morang kkkkkkk passomal,rilitro rt Liquid Love ir participar promocao infarta morango kkkkkkk passomal,0
oi sugeri jv ninguem deu bola ta afim vc moral gente rsrsrs,oi suger jv ningu deu bol ta afim vc moral gent rsrsrs,oi sugeri jv ninguem dar bola ta afim vc moral gente rsrsrsr,0
gosto nao acho bonita nao nao huahahaauahauhau,gost nao acho bonit nao nao huahahaauahauhau,gostar nao achar bonito nao nao huahahaauahauhau,0
hahahaha brincadeirinhaboba rs tb acho,hahahah brincadeirinhabob rs tb acho,hahahaher brincadeirinhaboba rs tb acho,0
tb futurarecemsolteiraaindaapaixonada foda rs,tb futurarecemsolteiraaindaapaixon fod rs,tb futurarecemsolteiraaindaapaixonado foda rs,0
own gata depende so mim nao vamos futuro reserva es solteira,own gat depend so mim nao vam futur reserv es solteir,own gatar depender so eu nao ir futuro reserva es solteira,0
puts complicado respeita sensacoes otimo entao encara seicomoe,puts complic respeit sensaco otim enta encar seicomo,puts complicado respeitar sensacoes otimo entao encarar seicomoe,0
normalll imagina situacao pssoa tb ne fodas,normalll imagin situaca psso tb ne fod,normalll imaginar situacao pssoo tb ne foda,0
uia rt fia conto to fazendorsss,uia rt fia cont to fazendorsss,uia rt fia conto to Fazendorsss,0
cara querido amigoo expatrao rt melhores escritores pais fabricio jo,car quer amigo expatra rt melhor escritor pais fabrici jo,cara querido amigoo expatrao rt bom escritor pal fabricio jo,0
problemas serios pq cabelo crespo diziam piolho causou traumas acredita,problem seri pq cabel cresp diz piolh caus traum acredit,problema serio pq cabelo Crespo dizer piolho causar trauma acreditar,0
exagerado vaarias pra secretaria comecei alisar cabelo adolescencia hj queria telos cacheados nao,exager vaar pra secret comec alis cabel adolescenc hj quer tel cach nao,exagerar vaarias pra secretaria começar alisar cabelo adolescenciar hj querer telo cachear nao,0
vinganca branca hj to melhor aparencia magoaram rs,vinganc branc hj to melhor aparenc mago rs,vingancar branco hj to bom aparencia magoar rs,0
problema tempos acho reflexo longa historia pra contar complicado,problem temp acho reflex long histor pra cont complic,problema tempo achar reflexo longo historia pra contar complicado,0
