id,title,fake_news,clean_title,stemmed_title,lemmatized_title
36,ONU prevê que toda a humanidade seja chipada até 2030 e quem recusar será excluído da sociedade,1,onu prev toda humanidade chipada at recusar excludo sociedade,onu prev toda humanidad chipada at recusar excludo sociedad,onu prev toda humanidade chipada at recusar excludo sociedade
37,"Comitê de Direitos Humanos manda soltar lésbicas que esquartejaram o menino Rhuan, de nove anos",1,comit direitos humanos manda soltar lsbicas esquartejaram menino rhuan nove anos,comit direito humano manda soltar lsbica esquartejaram menino rhuan nove ano,comit direitos humanos manda soltar lsbicas esquartejaram menino rhuan nove ano
38,Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados,1,bolsonaro autoriza execuo dvida globo r bilho impostos sonegados,bolsonaro autoriza execuo dvida globo r bilho imposto sonegado,bolsonaro autoriza execuo dvida globo r bilho impostos sonegados
42,Portal Transparência mostra que gestão Bolsonaro tem o maior orçamento para educação da história,1,portal transparncia mostra gesto bolsonaro maior oramento educao histria,portal transparncia mostra gesto bolsonaro maior oramento educao histria,portal transparncia mostra gesto bolsonaro maior oramento educao histria
44,Ele [Glenn Greenwald] e seu par sexual David Miranda - PSOL são acusados de atentar contra a segurança pública do Reino Unido.,1,glenn greenwald par sexual david miranda psol so acusados atentar contra segurana pblica reino unido,glenn greenwald par sexual david miranda psol so acusado atentar contra segurana pblica reino unido,glenn greenwald par sexual david miranda psol so acusados atentar contra segurana pblica reino unido
49,"Resumo das manifestações de hoje: 1% educação, 4% maconha, 5% Não sabem porque estão ali, 90% Lula livre.",1,resumo manifestaes hoje educao maconha sabem porque esto ali lula livre,resumo manifesta hoje educao maconha sabem porqu esto ali lula livr,resumo manifestaes hoje educao maconha sabem porque esto ali lula livre
60,Bolsonaro assina decreto que proíbe drogas em universidades e choca alunos.,1,bolsonaro assina decreto probe drogas universidades choca alunos,bolsonaro assina decreto probe droga universidad choca aluno,bolsonaro assina decreto probe drogas universidades choca alunos
63,Charge publicada na revista americana Time. E de longe a melhor expressão que já vi sobre a nossa situação atual. Parabéns ao criador.,1,charge publicada revista americana time longe melhor expresso j vi sobre situao atual parabns criador,charg publicada revista americana time long melhor expresso j vi sobr situao atual parabn criador,charge publicada revista americana time longe melhor expresso j vi sobre situao atual parabns criador
64,Policiais de 12 estados diz que vão parar em apoio à Bolsonaro.,1,policiais estados diz vo parar apoio bolsonaro,policiai estado diz vo parar apoio bolsonaro,policiais estados diz vo parar apoio bolsonaro
71,"O PT é tão sacana, que até o padre que foi visitar Lula era falso! Kkkk FALSO PADRE DETIDO DEPOIS DE VISITAR LULA. Ninguém ainda explicou quais as verdadeiras intenções do falso padre que entrou para visitar Lula; Rubens Miguel da Silva, de 27 anos, que já foi preso anteriormente por tráfico e por agredir dois Oficiais da Reserva em frente ao Clube Militar, tem registradas, apenas em 2018, vinte e quatro viagens internacionais para Cuba e Venezuela!",1,pt to sacana at padre visitar lula falso kkkk falso padre detido visitar lula ningum ainda explicou quais verdadeiras intenes falso padre entrou visitar lula rubens miguel silva anos j preso anteriormente trfico agredir dois oficiais reserva frente clube militar registradas apenas vinte quatro viagens internacionais cuba venezuela,pt to sacana at padr visitar lula falso kkkk falso padr detido visitar lula ningum ainda explic quai verdadeira inten falso padr entrou visitar lula ruben miguel silva ano j preso anteriorment trfico agredir doi oficiai reserva frent clube militar registrada apena vint quatro viagen internacionai cuba venezuela,pt to sacana at padre visitar lula falso kkkk falso padre detido visitar lula ningum ainda explicou quais verdadeiras intenes falso padre entrou visitar lula rubens miguel silva ano j preso anteriormente trfico agredir doi oficiais reserva frente clube militar registradas apenas vinte quatro viagens internacionais cuba venezuela
74,"Aos mal informados, isto é uma mostra de uma pequena quantidade de pinos de crack e cocaína recolhidos na área da Universidade Federal do Espírito Santo. Será que alguém ainda acha que as atitudes do governo são um &#39;equívoco&#39;",1,mal informados mostra pequena quantidade pinos crack cocana recolhidos rea universidade federal esprito santo algum ainda acha atitudes governo so equvoco,mal informado mostra pequena quantidad pino crack cocana recolhido rea universidad feder esprito santo algum ainda acha atitud governo so equvoco,mal informados mostra pequena quantidade pinos crack cocana recolhidos rea universidade federal esprito santo algum ainda acha atitudes governo so equvoco
77,"Pessoal, leia isso: conheço uma pessoa na Secretaria de Educação do DF. Esses dias teve um curso obrigatório para todos os professores. Não tiveram aulas para as crianças, porque os professores estariam em Curso de Formação. Chegando lá, não foi permitida a entrada com celular. Passaram o dia inteirinho, do curso, ensinando como atrapalhar ao máximo o Governo Bolsonaro ....",1,pessoal leia conheo pessoa secretaria educao df dias curso obrigatrio todos professores aulas crianas porque professores estariam curso formao chegando l permitida entrada celular passaram dia inteirinho curso ensinando atrapalhar mximo governo bolsonaro,pessoal leia conheo pessoa secretaria educao df dia curso obrigatrio todo professor aula criana porqu professor estariam curso formao chegando l permitida entrada celular passaram dia inteirinho curso ensinando atrapalhar mximo governo bolsonaro,pessoal leia conheo pessoa secretaria educao df dia curso obrigatrio todos professores aulas crianas porque professores estariam curso formao chegando l permitida entrada celular passaram dia inteirinho curso ensinando atrapalhar mximo governo bolsonaro
80,"Na Alemanha o governo subiu preço de combustível. Em apenas uma hora de tempo as pessoas abandonaram seus carros nas ruas e avenidas e foram a pé para casa. Mais de um milhão de carros abandonados. Tiveram que baixar o preço. Quando o povo é inteligente, os corruptos não conseguem concretizar seus objetivos.",1,alemanha governo subiu preo combustvel apenas hora tempo pessoas abandonaram carros ruas avenidas p casa milho carros abandonados baixar preo povo inteligente corruptos conseguem concretizar objetivos,alemanha governo subiu preo combustvel apena hora tempo pessoa abandonaram carro rua avenida p casa milho carro abandonado baixar preo povo inteligent corrupto conseguem concretizar objetivo,alemanha governo subiu preo combustvel apenas hora tempo pessoas abandonaram carros ruas avenidas p casa milho carros abandonados baixar preo povo inteligente corruptos conseguem concretizar objetivos
83,Papa Francisco cancela a Bíblia e propõe criar um novo livro.,1,papa francisco cancela bblia prope criar novo livro,papa francisco cancela bblia prope criar novo livro,papa francisco cancela bblia prope criar novo livro
85,"A justiça brasileira não é lenta.  você que é pobre. O Lula, que é RICO, teve 145 habeas corpus analisados, mobilizando 175 juízes em 44 instâncias [e] pulando na frente de 3.730.138 processos. Enquanto isso você espera 8 anos para a Justiça decidir que o SUS deve lhe dar o remédio que salvará sua vida.",1,justia brasileira lenta voc pobre lula rico habeas corpus analisados mobilizando juzes instncias pulando frente processos enquanto voc espera anos justia decidir sus deve dar remdio salvar vida,justia brasileira lenta voc pobr lula rico habea corpu analisado mobilizando juze instncia pulando frent processo enquanto voc espera ano justia decidir su deve dar remdio salvar vida,justia brasileira lenta voc pobre lula rico habeas corpus analisados mobilizando juzes instncias pulando frente processos enquanto voc espera ano justia decidir sus deve dar remdio salvar vida
86,"Deu no Charlie Hebdo: Um mar de corrupção! Não adianta mais processar ninguém, o fuxico já se espalhou pelo mundo! A não ser que o STF queira bloquear o mundo inteiro!",1,deu charlie hebdo mar corrupo adianta processar ningum fuxico j espalhou mundo stf queira bloquear mundo inteiro,deu charli hebdo mar corrupo adianta processar ningum fuxico j espalh mundo stf queira bloquear mundo inteiro,deu charlie hebdo mar corrupo adianta processar ningum fuxico j espalhou mundo stf queira bloquear mundo inteiro
87,"Marcelo Odebrecht afirma em depoimento à justiça que governo PT mandou dinheiro para o narcotráfico do Rio, as Farc, sequestradores e traficantes internacionais.",1,marcelo odebrecht afirma depoimento justia governo pt mandou dinheiro narcotrfico rio farc sequestradores traficantes internacionais,marcelo odebrecht afirma depoimento justia governo pt mandou dinheiro narcotrfico rio farc sequestrador traficant internacionai,marcelo odebrecht afirma depoimento justia governo pt mandou dinheiro narcotrfico rio farc sequestradores traficantes internacionais
90,Maria do Rosário diz que Rota errou em matar 11 bandidos em tentativa de assalto a banco....ela diz que bandidos nem tiveram a chance de revidar......tá louca,1,maria rosrio diz rota errou matar bandidos tentativa assalto bancoela diz bandidos chance revidart louca,maria rosrio diz rota errou matar bandido tentativa assalto bancoela diz bandido chanc revidart louca,maria rosrio diz rota errou matar bandidos tentativa assalto bancoela diz bandidos chance revidart louca
94,Idade mínima para aposentadoria no Brasil. Homens: 65 anos. Mulheres: 62 anos. Políticos: 8 anos.,1,idade mnima aposentadoria brasil homens anos mulheres anos polticos anos,idad mnima aposentadoria brasil homen ano mulher ano poltico ano,idade mnima aposentadoria brasil homens ano mulheres ano polticos ano
97,"Sergio Moro: O crime é impossível acabar totalmente porque a mente humana veio do macaco, um animal assassino.",1,sergio moro crime impossvel acabar totalmente porque mente humana veio macaco animal assassino,sergio moro crime impossvel acabar totalment porqu ment humana veio macaco anim assassino,sergio moro crime impossvel acabar totalmente porque mente humana veio macaco animal assassino
99,"MONTANHAS DE EUROS E REAIS NA CASA DE CRISTINA KIRCHNER. A OPERAO VAZOU, MAS A POLCIA CHEGOU ANTES QUE QUEIMASSEM TUDO.",1,montanhas euros reais casa cristina kirchner operao vazou polcia chegou antes queimassem tudo,montanha euro reai casa cristina kirchner operao vazou polcia chegou ant queimassem tudo,montanhas euro reais casa cristina kirchner operao vazou polcia chegou ante queimassem tudo
103,"Engraçado, depois que foi descoberto que o assassino de Marielle era do PT, finalmente ela morreu Ninguém fala mais nada",1,engraado descoberto assassino marielle pt finalmente morreu ningum fala nada,engraado descoberto assassino mariel pt finalment morreu ningum fala nada,engraado descoberto assassino marielle pt finalmente morreu ningum fala nada
106,"O Exército Brasileiro conseguiu, ontem, encontrar água ao perfurar um poço em Caicó, no nordeste. A água jorrou com força e foi encontrada em um terreno onde atualmente funciona um complexo de creches cujo abastecimento hídrico é feito por caminhão pipa.",1,exrcito brasileiro conseguiu ontem encontrar gua perfurar poo caic nordeste gua jorrou encontrada terreno onde atualmente funciona complexo creches cujo abastecimento hdrico feito caminho pipa,exrcito brasileiro conseguiu ontem encontrar gua perfurar poo caic nordest gua jorrou encontrada terreno ond atualment funciona complexo crech cujo abastecimento hdrico feito caminho pipa,exrcito brasileiro conseguiu ontem encontrar gua perfurar poo caic nordeste gua jorrou encontrada terreno onde atualmente funciona complexo creche cujo abastecimento hdrico feito caminho pipa
107,Querem conhecer uma das adegas do nosso ex presidente Lula que tirou milhões da pobreza,1,querem conhecer adegas ex presidente lula tirou milhes pobreza,querem conhec adega ex president lula tirou milh pobreza,querem conhecer adegas ex presidente lula tirou milhes pobreza
112,"Vai vendo!!! Times Square agora há pouco!!! A esquerda toda se coçando de raiva!!! Hehehe!!! Vai nessa, Capitão!!!",1,vai vendo times square agora h pouco esquerda toda coando raiva hehehe vai nessa capito,vai vendo time squar agora h pouco esquerda toda coando raiva heheh vai nessa capito,vai vendo time square agora h pouco esquerda toda coando raiva hehehe vai nessa capito
113,"Dilma Rousseff: A lua é muito mais importante do que o sol, porque ela aparece à noite, quando está tudo escuro. Já o sol, aparece de dia quando já está tudo claro, ou seja, não tem utilidade nenhuma.Famosa Micheque me larga essa pérola: A lua é muito mais importante do que o sol, porque ela vem à noite, quando está escuro. Já o sol aparece de dia, quando já está tudo claro, ou seja, não tem utilidade nenhuma.",1,dilma rousseff lua importante sol porque aparece noite est tudo escuro j sol aparece dia j est tudo claro utilidade nenhumafamosa micheque larga prola lua importante sol porque vem noite est escuro j sol aparece dia j est tudo claro utilidade nenhuma,dilma rousseff lua important sol porqu aparec noit est tudo escuro j sol aparec dia j est tudo claro utilidad nenhumafamosa michequ larga prola lua important sol porqu vem noit est escuro j sol aparec dia j est tudo claro utilidad nenhuma,dilma rousseff lua importante sol porque aparece noite est tudo escuro j sol aparece dia j est tudo claro utilidade nenhumafamosa micheque larga prola lua importante sol porque vem noite est escuro j sol aparece dia j est tudo claro utilidade nenhuma
116,Padre Fábio de Melo: Melhor texto que já li sobre o acontecimento de ontem. Cansado e perplexo com tantas baboseiras e falsas justificativas pras atrocidades que ainda nos surpreendem todos os dias ...,1,padre fbio melo melhor texto j li sobre acontecimento ontem cansado perplexo tantas baboseiras falsas justificativas pras atrocidades ainda surpreendem todos dias,padr fbio melo melhor texto j li sobr acontecimento ontem cansado perplexo tanta baboseira falsa justificativa pra atrocidad ainda surpreendem todo dia,padre fbio melo melhor texto j li sobre acontecimento ontem cansado perplexo tantas baboseiras falsas justificativas pras atrocidades ainda surpreendem todos dia
120,"Discurso de Barack Obama:  graças aos soldados, e não aos sacerdotes, que podemos ter a religião que desejamos ....",1,discurso barack obama graas soldados sacerdotes podemos ter religio desejamos,discurso barack obama graa soldado sacerdot podemo ter religio desejamo,discurso barack obama graas soldados sacerdotes podemos ter religio desejamos
127,"Você sabia que vereadores, deputados, governadores, senadores não pagam imposto de renda! Nem contribuem com a previdência!",1,voc sabia vereadores deputados governadores senadores pagam imposto renda contribuem previdncia,voc sabia vereador deputado governador senador pagam imposto renda contribuem previdncia,voc sabia vereadores deputados governadores senadores pagam imposto renda contribuem previdncia
129,"Acabou de ser anunciado no programa a voz do Brasil que, quem trabalhou entre 1995 a 2018 com carteira assinada tem direito a um abono de 1.023.00 reais, quem não sacar até 12032019 perde este abono com a nova reforma da previdência, confira se você tem direito ao saque",1,acabou anunciado programa voz brasil trabalhou carteira assinada direito abono reais sacar at perde abono nova reforma previdncia confira voc direito saque,acab anunciado programa voz brasil trabalh carteira assinada direito abono reai sacar at perd abono nova reforma previdncia confira voc direito saqu,acabou anunciado programa voz brasil trabalhou carteira assinada direito abono reais sacar at perde abono nova reforma previdncia confira voc direito saque
130,"Ministra Damares cancela pagamento de 2.000 anistiados, entre eles FHC, Lula, Chico Buarque, Gilberto Gil. A farra acabou!",1,ministra damares cancela pagamento anistiados fhc lula chico buarque gilberto gil farra acabou,ministra damar cancela pagamento anistiado fhc lula chico buarqu gilberto gil farra acab,ministra damares cancela pagamento anistiados fhc lula chico buarque gilberto gil farra acabou
131,"Adivinha quem é a mãe dessa pobre moça drogada e perdida Pasmem, mas essa moça é filha da deputada Maria do Rosário, a defensora de bandidos que, segundo ela, são pobres vítimas da sociedade. Pois foram essas pobres vítimas da sociedade que transformaram a filha dela nesse zumbi, vendendo para a guria muitas drogas e bebidas.",1,adivinha dessa pobre moa drogada perdida pasmem moa filha deputada maria rosrio defensora bandidos segundo so pobres vtimas sociedade pois pobres vtimas sociedade transformaram filha nesse zumbi vendendo guria muitas drogas bebidas,adivinha dessa pobr moa drogada perdida pasmem moa filha deputada maria rosrio defensora bandido segundo so pobr vtima sociedad poi pobr vtima sociedad transformaram filha ness zumbi vendendo guria muita droga bebida,adivinha dessa pobre moa drogada perdida pasmem moa filha deputada maria rosrio defensora bandidos segundo so pobres vtimas sociedade poi pobres vtimas sociedade transformaram filha nesse zumbi vendendo guria muitas drogas bebidas
133,"Person of the Year Time: Jair Bolsonaro, president of the Federative Republic of Brazil",1,person of the year time jair bolsonaro president of the federative republic of brazil,person of the year time jair bolsonaro presid of the feder republ of brazil,person of the year time jair bolsonaro president of the federative republic of brazil
138,"Antes de sua morte, o jornalista Ricardo Boechat zombou e brincou com Deus e desqualificou o livro do Apocalipse sobre a segunda vinda de Jesus, acompanhe o vídeo. Com Deus não se brinca.",1,antes morte jornalista ricardo boechat zombou brincou deus desqualificou livro apocalipse sobre segunda vinda jesus acompanhe vdeo deus brinca,ant mort jornalista ricardo boechat zombou brincou deu desqualific livro apocalips sobr segunda vinda jesu acompanh vdeo deu brinca,ante morte jornalista ricardo boechat zombou brincou deus desqualificou livro apocalipse sobre segunda vinda jesus acompanhe vdeo deus brinca
155,Porque as mídias de esquerda não comentam que a mãe e a irmã de Adélio trabalhavam no gabinete de Maria do Rosário,1,porque mdias esquerda comentam irm adlio trabalhavam gabinete maria rosrio,porqu mdia esquerda comentam irm adlio trabalhavam gabinet maria rosrio,porque mdias esquerda comentam irm adlio trabalhavam gabinete maria rosrio
157,"Não serão punidos, infelizmente, graças ao decreto assinado em 2015 por Dilma Rousseff que considera rompimento de barragens, desastres NATURAIS.",1,sero punidos infelizmente graas decreto assinado dilma rousseff considera rompimento barragens desastres naturais,sero punido infelizment graa decreto assinado dilma rousseff considera rompimento barragen desastr naturai,sero punidos infelizmente graas decreto assinado dilma rousseff considera rompimento barragens desastres naturais
158,"Pedi com os olhos cheios de lágrimas para o Ministro da Agricultura o envio de veterinários para cuidar dos animais que estavam sendo esquecidos, ele disponibilizou cerca de 100 médicos veterinários que já estão em Brumadinho dando auxílio ...",1,pedi olhos cheios lgrimas ministro agricultura envio veterinrios cuidar animais sendo esquecidos disponibilizou cerca mdicos veterinrios j esto brumadinho dando auxlio,pedi olho cheio lgrima ministro agricultura envio veterinrio cuidar animai sendo esquecido disponibiliz cerca mdico veterinrio j esto brumadinho dando auxlio,pedi olhos cheios lgrimas ministro agricultura envio veterinrios cuidar animais sendo esquecidos disponibilizou cerca mdicos veterinrios j esto brumadinho dando auxlio
159,"Uma fonte ligada a ABIN confirmaram nessa tarde que a Polícia Rodoviária Federal deteve nessa tarde, próxima a cidade de Itaguará, cerca de 68 km de Brumadinho, um venezuelano e um cubano. ...",1,fonte ligada abin confirmaram nessa tarde polcia rodoviria federal deteve nessa tarde prxima cidade itaguar cerca km brumadinho venezuelano cubano,font ligada abin confirmaram nessa tard polcia rodoviria feder detev nessa tard prxima cidad itaguar cerca km brumadinho venezuelano cubano,fonte ligada abin confirmaram nessa tarde polcia rodoviria federal deteve nessa tarde prxima cidade itaguar cerca km brumadinho venezuelano cubano
162,"Existem rumores de que a renúncia ao mandato do deputado federal Jean wyllys nada tem a ver com as falsas ameaças de morte que o deputado anunciou em entrevista. A verdade é que: as investigações da PF encontraram provas robustas de desvios que ultrapassam mais de 100 milhões em projetos sociais, entre outras irregularidades onde o deputado está envolvido ativamente, algo que poderá incriminá-lo. São desvios de verbas públicas destinadas à movimentos sociais e recebimentos irregulares nos quais envolveu, MST, CUT, UNE, estes movimentos estão no esquema que é um escândalo desde 2006!!!",1,existem rumores renncia mandato deputado federal jean wyllys nada ver falsas ameaas morte deputado anunciou entrevista verdade investigaes pf encontraram provas robustas desvios ultrapassam milhes projetos sociais outras irregularidades onde deputado est envolvido ativamente algo poder incriminlo so desvios verbas pblicas destinadas movimentos sociais recebimentos irregulares quais envolveu mst cut une movimentos esto esquema escndalo desde,existem rumor renncia mandato deputado feder jean wylli nada ver falsa ameaa mort deputado anunci entrevista verdad investiga pf encontraram prova robusta desvio ultrapassam milh projeto sociai outra irregularidad ond deputado est envolvido ativament algo poder incriminlo so desvio verba pblica destinada movimento sociai recebimento irregular quai envolveu mst cut une movimento esto esquema escndalo desd,existem rumores renncia mandato deputado federal jean wyllys nada ver falsas ameaas morte deputado anunciou entrevista verdade investigaes pf encontraram provas robustas desvios ultrapassam milhes projetos sociais outras irregularidades onde deputado est envolvido ativamente algo poder incriminlo so desvios verbas pblicas destinadas movimentos sociais recebimentos irregulares quais envolveu mst cut une movimentos esto esquema escndalo desde
171,"O Dr. Gupta diz que ninguém deve morrer de câncer, exceto sem atenção.",1,dr gupta diz ningum deve morrer cncer exceto ateno,dr gupta diz ningum deve morrer cncer exceto ateno,dr gupta diz ningum deve morrer cncer exceto ateno
174,Governo Bolsonaro em 7 dias de governo tira meio milhão de pessoas da pobreza: medo da auditoria causa debandada de beneficiários do Bolsa Família,1,governo bolsonaro dias governo tira meio milho pessoas pobreza medo auditoria causa debandada beneficirios bolsa famlia,governo bolsonaro dia governo tira meio milho pessoa pobreza medo auditoria causa debandada beneficirio bolsa famlia,governo bolsonaro dia governo tira meio milho pessoas pobreza medo auditorium causa debandada beneficirios bolsa famlia
176,"60 chefes do crime organizado do Ceará, levados para a Prisão Federal. Aos poucos o Super Ministro da Justiça mostra sua força.",1,chefes crime organizado cear levados priso federal poucos super ministro justia mostra,chefe crime organizado cear levado priso feder pouco super ministro justia mostra,chefes crime organizado cear levados priso federal poucos super ministro justia mostra
177,Promotor manda prender lutadora de UFC que reagiu a assalto e espancou criminoso no Rio de Janeiro,1,promotor manda prender lutadora ufc reagiu assalto espancou criminoso rio janeiro,promotor manda prender lutadora ufc reagiu assalto espanc criminoso rio janeiro,promotor manda prender lutadora ufc reagiu assalto espancou criminoso rio janeiro
178,"URGENTE! Ministro Paulo Guedes acaba de anunciar o fim do BOLSA-BANDIDO, o auxílio reclusão!!",1,urgente ministro paulo guedes acaba anunciar fim bolsabandido auxlio recluso,urgent ministro paulo gued acaba anunciar fim bolsabandido auxlio recluso,urgente ministro paulo guedes acaba anunciar fim bolsabandido auxlio recluso
180,"Nem Olinda, nem Salvador, nem Rio de Janeiro Presidente Jair Bolsonaro assina decreto cortando verba do carnaval e parada gay em todo o Brasil. O decreto já cancela o carnaval de 2019.",1,olinda salvador rio janeiro presidente jair bolsonaro assina decreto cortando verba carnaval parada gay todo brasil decreto j cancela carnaval,olinda salvador rio janeiro president jair bolsonaro assina decreto cortando verba carnav parada gay todo brasil decreto j cancela carnav,olinda salvador rio janeiro presidente jair bolsonaro assina decreto cortando verba carnaval parada gay todo brasil decreto j cancela carnaval
181,A esposa do Mourão foi muito criticada pelo vestido dela! Segue o currículo dela!,1,esposa mouro criticada vestido segue currculo,esposa mouro criticada vestido segu currculo,esposa mouro criticada vestido segue currculo
182,"Por falta de público, Posse simbólica de Lula é cancelada em Curitiba",1,falta pblico posse simblica lula cancelada curitiba,falta pblico poss simblica lula cancelada curitiba,falta pblico posse simblica lula cancelada curitiba
184,"O PT entrou com uma liminar, pedindo a anulação do Projeto do Bolsonaro com Israel para acabar com a seca do Nordeste, a seca no Nordeste é cultural, quase um patrimônio, e não deve ser destruída, disse Gleisi Hoffmann.",1,pt entrou liminar pedindo anulao projeto bolsonaro israel acabar seca nordeste seca nordeste cultural quase patrimnio deve destruda disse gleisi hoffmann,pt entrou liminar pedindo anulao projeto bolsonaro israel acabar seca nordest seca nordest cultur quas patrimnio deve destruda diss gleisi hoffmann,pt entrou liminar pedindo anulao projeto bolsonaro israel acabar seca nordeste seca nordeste cultural quase patrimnio deve destruda disse gleisi hoffmann
185,"Numa rara fotografia, a imagem do herói de guerra cubano Che Guevara em batalha, lutando ferozmente contra um inimnigo muito superior e armado até os dentes. Ele saiu vitorioso. Só para lembrar que foi na revolução comunista que implantou a democracia em CUBA, que se tornou um dos países mais prósperos e adiantados do mundo.",1,rara fotografia imagem heri guerra cubano che guevara batalha lutando ferozmente contra inimnigo superior armado at dentes saiu vitorioso s lembrar revoluo comunista implantou democracia cuba tornou pases prsperos adiantados mundo,rara fotografia imagem heri guerra cubano che guevara batalha lutando ferozment contra inimnigo superior armado at dent saiu vitorioso s lembrar revoluo comunista implant democracia cuba tornou pase prspero adiantado mundo,rara fotografia imagem heri guerra cubano che guevara batalha lutando ferozmente contra inimnigo superior armado at dentes saiu vitorioso s lembrar revoluo comunista implantou democracia cuba tornou pas prsperos adiantados mundo
