,sentence_pair_id,premise,hypothesis,relatedness_score,entailment_judgment,premise_processed,hypothesis_processed
10,11,O caminho de ajuste via aumento de carga tributária é muito mal visto pela sociedade e pelo Congresso.,O aumento da carga tributária também não é visto com bons olhos pelo congresso.,4.0,1,"['caminho', 'ajustir', 'via', 'aumento', 'carga', 'tributário', 'mal', 'ver', 'sociedade', 'congresso']","['aumento', 'carga', 'tributário', 'ver', 'bom', 'olho', 'congresso']"
11,12,O técnico René Simões deixou o comando técnico do Figueirense após a derrota na noite desta última quarta-feira.,A derrota para o Avaí no clássico do Estádio Orlando Scarpelli derrubou René Simões no comando técnico do Figueirense.,3.75,0,"['técnico', 'rené', 'simão', 'deixar', 'comando', 'técnico', 'figueirense', 'após', 'derrota', 'noite', 'de este', 'último', 'quartafeira']","['derrota', 'avaí', 'clássico', 'estádio', 'orlando', 'scarpelli', 'derrubar', 'rené', 'simão', 'comando', 'técnico', 'figueirense']"
12,13,"Randolfe tem uma reunião com Marina Silva na tarde desta segunda (28), em Brasília.","Nesta segunda-feira, 28, Randolfe Rodrigues se reúne com Marina Silva.",4.0,1,"['randolfe', 'reunião', 'marina', 'Silva', 'tarde', 'de este', 'segunda', '28', 'brasílir']","['em este', 'segundafeira', '28', 'randolfe', 'Rodrigues', 'reunir', 'Marina', 'Silva']"
13,14,"Em abril, a Lenovo já tinha encerrado a fabricação de TVs da marca CCE.",A fabricante chinesa Lenovo não é mais dona da brasileira CCE.,2.5,0,"['abril', 'lenovo', 'encerrar', 'fabricação', 'tvs', 'marca', 'cce']","['fabricante', 'chinês', 'lenovo', 'donar', 'brasileiro', 'cce']"
14,15,A jurisdição especial contará com salas de justiça e um tribunal para a paz.,Acertamos uma jurisdição especial para a paz.,3.0,0,"['jurisdição', 'especial', 'contar', 'sala', 'Justiça', 'tribunal', 'paz']","['acertar', 'jurisdição', 'especial', 'paz']"
15,16,O filme chega aos cinemas brasileiros no dia 17 de março de 2016.,"Filme está marcado para 2016, com a segunda parte no ano seguinte.",2.5,0,"['filme', 'chegar', 'cinema', 'brasileiro', 'dia', '17', 'março', '2016']","['filme', 'marcar', '2016', 'segundo', 'parte', 'ano', 'seguinte']"
16,17,Nós representamos mais de 100 mil servidores.,As duas fundações empregam pouco mais de 330 servidores.,2.25,0,"['representar', '100', 'mil', 'servidor']","['dois', 'fundação', 'empregar', 'pouco', '330', 'servidor']"
17,18,"Os profissionais selecionados preencherão vagas ociosas, principalmente por desistência.","Neste novo edital de reposição, 323 municípios poderão preencher 410 vagas ociosas.",2.0,0,"['profissional', 'selecionar', 'preencherão', 'vaga', 'ocioso', 'principalmente', 'desistêncer']","['em este', 'novo', 'edital', 'reposição', '323', 'município', 'poder', 'preencher', '410', 'vaga', 'ocioso']"
18,19,"Após rápido contra-ataque, Anderson Lopes recebeu e bateu para fora.","O segundo gol quase veio aos 36 minutos, mas Anderson Lopes por cima do gol.",3.5,0,"['após', 'rápido', 'Contraataque', 'Anderson', 'lopes', 'receber', 'bater']","['segundo', 'gol', 'quase', 'vir', '36', 'minuto', 'anderson', 'Lopes', 'cima', 'gol']"
19,20,"A principal novidade são os retornos do volante Thiago Maia e do lateral-direito Victor Ferraz, na equipe titular.","Além disso, o time terá os retornos de Victor Ferraz e Thiago Maia.",4.0,1,"['principal', 'novidade', 'retorno', 'volante', 'thiago', 'Maia', 'lateraldireito', 'Victor', 'Ferraz', 'equipe', 'titular']","['além', 'de isso', 'time', 'retorno', 'Victor', 'Ferraz', 'thiago', 'maia']"
20,21,Rebeldes das Farc libertam 359 policiais e soldados em troca de 14 rebeldes capturados.,Governo liberta dezenas de guerrilheiros das Farc na esperança de que os rebeldes libertem reféns.,2.75,0,"['rebelde', 'farc', 'libertar', '359', 'policial', 'soldado', 'trocar', '14', 'rebelde', 'capturar']","['governo', 'libertar', 'dezena', 'guerrilheiro', 'farc', 'Esperança', 'rebelde', 'libertir', 'refém']"
21,22,Esta barreira terá quatro metros de altura e protegerá 175 quilómetros da fronteira entre a Hungria e a Sérvia.,Este ano já entraram na Hungria vindos da Sérvia 140 mil migrantes.,2.5,0,"['barreira', 'quatro', 'metro', 'altura', 'proteger', '175', 'quilómetro', 'fronteira', 'Hungria', 'sérvio']","['ano', 'entrar', 'Hungria', 'vinr', 'sérvio', '140', 'mil', 'migrante']"
22,23,Eduardo Cunha processou Gomes sob a justificativa de que as acusações mancharam sua honra e reputação.,"O presidente da Câmara alegou na Justiça que as declarações ""mancharam sua honra e reputação"".",4.0,0,"['eduardo', 'cunha', 'processar', 'gome', 'sob', 'justificativa', 'acusação', 'manchar', 'honra', 'reputação']","['presidente', 'câmara', 'alegar', 'justiça', 'declaração', 'manchar', 'honra', 'reputação']"
23,24,A noite tinha tudo para ser de festa para o Botafogo no Estádio Nilton Santos.,O Botafogo precisa saber jogar dentro do Nilton Santos.,2.0,0,"['noite', 'tudo', 'festa', 'botafogo', 'estádio', 'em ilton', 'santo']","['botafogo', 'precisar', 'saber', 'jogar', 'dentro', 'nilton', 'santo']"
24,25,"Depois de um período difícil, a Ponte Preta ganhou certa tranquilidade no Campeonato Brasileiro.",Ponte Preta e Flamengo jogaram pela 17ª rodada do Campeonato Brasileiro 2015.,2.0,0,"['período', 'difícil', 'ponte', 'preto', 'ganhar', 'certo', 'tranquilidade', 'campeonato', 'brasileiro']","['ponte', 'preto', 'flamengo', 'jogar', '17', 'rodada', 'campeonato', 'brasileiro', '2015']"
25,26,Fábio estaria envolvido com um esquema de crimes financeiros envolvendo quatro organizações criminosas integradas por doleiros.,A ação visa desarticular um esquema de crimes financeiros que envolvem quatro grupos criminosos compostos por doleiros.,2.75,0,"['fábio', 'estar', 'envolver', 'esquema', 'crime', 'financeiro', 'envolver', 'quatro', 'organização', 'criminoso', 'integrar', 'doleiro']","['ação', 'visar', 'desarticular', 'esquema', 'crime', 'financeiro', 'envolver', 'quatro', 'grupo', 'criminoso', 'composto', 'doleiro']"
26,27,"Obama estabeleceu um limite, denunciando nações que apoiam ""tiranos"" como o líder sírio Bashar al-Assad.","Para Obama, o “tirano” Bashar Assad deve sair do poder.",3.0,0,"['obama', 'estabelecer', 'limite', 'denunciar', 'nação', 'apoiar', 'tirano', 'líder', 'sírio', 'bashar', 'alassad']","['obamar', 'tirano', 'bashar', 'assad', 'dever', 'sair', 'poder']"
27,28,"Camila Queiroz terá muito trabalho até o fim das gravações de ""Verdades Secretas"".","""Verdades Secretas"" chegará ao fim no dia 25 de setembro.",2.25,0,"['camila', 'queiroz', 'trabalho', 'fim', 'gravação', 'verdade', 'secreto']","['verdade', 'secreto', 'chegar', 'fim', 'dia', '25', 'setembro']"
28,29,"Luana, e seu marido Pedro Scooby, ainda são papais de Dom, hoje com 3 aninhos.","Luana é casada com Pedro Scooby e o casal ainda é pai de Dom, de três anos.",4.75,2,"['luano', 'marido', 'Pedro', 'scooby', 'ainda', 'papal', 'dom', 'hoje', '3', 'aninho']","['luano', 'casado', 'Pedro', 'scooby', 'Casal', 'ainda', 'pai', 'dom', 'três', 'ano']"
29,30,"Até então, França e Reino Unido limitavam-se a atacar alvos do 'Estado Islâmico' no Iraque.","A França já havia realizado ataques contra alvos do 'Estado Islâmico', mas apenas no Iraque.",3.5,1,"['então', 'França', 'reino', 'unir', 'limitavamse', 'atacar', 'alvo', 'estado', 'islâmico', 'iraque']","['França', 'haver', 'realizar', 'ataque', 'contra', 'alvo', 'estar', 'islâmico', 'apenas', 'iraque']"
30,31,"Carolina é tão importante para Verdades Secretas, que Drica Moraes volta às gravações.",A atriz Drica Moraes voltou às gravações de Verdades Secretas.,4.0,1,"['carolinar', 'tão', 'importante', 'verdade', 'secreto', 'drico', 'moraes', 'voltar', 'gravação']","['atriz', 'drico', 'moraes', 'voltar', 'gravação', 'verdade', 'secreto']"
31,32,"A nova legislação é defendida pelo governador do Paraná, Beto Richa.",A aprovação da lei deflagrou uma série de manifestações contra o governador Beto Richa.,3.0,0,"['novo', 'legislação', 'defender', 'governador', 'paraná', 'beto', 'richar']","['aprovação', 'lei', 'deflagrar', 'série', 'manifestação', 'contra', 'governador', 'beto', 'richar']"
32,33,"Para delegado, petista pode ter se beneficiado de esquema na Petrobras.",Investigadores querem que ex-presidente seja interrogado sobre esquema de corrupção na Petrobras.,2.25,0,"['delegar', 'petista', 'poder', 'ter', 'beneficiar', 'esquema', 'petrobra']","['investigador', 'querer', 'expresidente', 'interrogar', 'sobre', 'esquema', 'corrupção', 'petrobra']"
33,34,"Além dos riscos da cirurgia em si, a cabeça do paciente poderá rejeitar o novo corpo.","Ele sobreviveu à cirurgia, mas viveu apenas oito dias depois, pois o corpo rejeitou a cabeça.",2.75,0,"['além', 'risco', 'cirurgia', 'se', 'cabeça', 'paciente', 'poder', 'rejeitar', 'novo', 'corpo']","['sobreviver', 'cirurgia', 'viver', 'apenas', 'oito', 'dia', 'pois', 'corpo', 'rejeitar', 'cabeça']"
34,35,Fontes hospitalares palestinas registraram que ao menos 15 palestinos ficaram feridos.,"Ao menos 15 palestinos ficaram feridos, segundo fontes palestinas.",4.0,1,"['fonte', 'hospitalar', 'palestina', 'registrar', 'menos', '15', 'palestino', 'ficar', 'ferir']","['pouco', '15', 'palestino', 'ficar', 'ferir', 'segundo', 'fonte', 'palestino']"
35,36,Luana ainda aproveitou a oportunidade para defender o direito das mulheres em amamentarem em qualquer lugar.,"Ninguém deve ter vergonha de amamentar, inclusive já tem lei garantindo o direito de amamentar em qualquer lugar.",3.25,0,"['luano', 'ainda', 'aproveitar', 'oportunidade', 'defender', 'direito', 'mulher', 'amamentar', 'qualquer', 'lugar']","['ninguém', 'dever', 'ter', 'vergonha', 'amamentar', 'inclusive', 'lei', 'garantir', 'direito', 'amamentar', 'qualquer', 'lugar']"
36,37,"Segundo a PM, o bloqueio entre os quilometros 7 e 16 do Rodoanel deve ocorrer até as 9h.","O bloqueio deve ocorrer até as 9h, segundo a Polícia Militar.",3.75,1,"['segundo', 'pm', 'bloqueio', 'quilometro', '7', '16', 'rodoanel', 'dever', 'ocorrer', '9h']","['bloqueio', 'dever', 'ocorrer', '9h', 'segundo', 'polícia', 'militar']"
37,38,Esta é primeira eleição com data unificada em todo território nacional.,Estamos realizando esta eleição unificada tão especial.,2.75,0,"['primeiro', 'eleição', 'datar', 'unificar', 'todo', 'território', 'nacional']","['realizar', 'eleição', 'unificar', 'tão', 'especial']"
38,39,"Nesse xadrez, Dilma ainda avalia se a SRI será extinta ou se ficará sob o guarda-chuva da Secretaria-Geral.","Nesse caso, a Secretaria de Relações Institucionais seria extinta ou ficaria sob o guarda-chuva da Secretarial Geral.",4.25,1,"['em esse', 'xadrez', 'dilmar', 'ainda', 'avaliar', 'sri', 'extinta', 'ficar', 'sob', 'guardachuva', 'secretariageral']","['em esse', 'caso', 'secretazer', 'relação', 'institucional', 'extinta', 'ficar', 'sob', 'guardachuva', 'secretarial', 'geral']"
39,40,"Além dos recém-nascidos, Luana Piovani e o surfista Pedro Scooby são pais de Dom, de três anos.",Liz e Bem são frutos do relacionamento de Luana Piovani com Pedro Scooby.,3.0,0,"['além', 'recémnascir', 'luano', 'piovani', 'surfista', 'Pedro', 'scooby', 'pai', 'dom', 'três', 'ano']","['liz', 'bem', 'fruto', 'relacionamento', 'luano', 'piovani', 'Pedro', 'scooby']"
40,41,Muito se fala sobre senhas longas e complexas serem mais seguras.,Senhas longas e complexas podem mais atrapalhar do que ajudar.,2.75,0,"['falar', 'sobre', 'senha', 'longo', 'complexa', 'ser', 'seguro']","['senha', 'longo', 'complexa', 'poder', 'atrapalhar', 'ajudar']"
41,42,Sofia e seus pais deixam para todos nós uma linda história de vida de luta e de conquista.,"Aprendemos muito com Sofia e ela deixa uma linda história, ainda que curta, em nossos corações.",3.75,0,"['sofia', 'pai', 'deixar', 'todo', 'linda', 'histório', 'vida', 'lutar', 'conquisto']","['aprendemos', 'sofia', 'deixar', 'lindo', 'histório', 'ainda', 'curto', 'coração']"
42,43,"Ainda segundo Tombini, as políticas monetária e fiscal têm que ser manejadas de forma independente.",Tombini ainda considerou que o efeito do câmbio sobre o resultado fiscal é positivo.,2.25,0,"['ainda', 'segundo', 'tombini', 'político', 'monetário', 'fiscal', 'ter', 'manejar', 'forma', 'independente']","['tombini', 'ainda', 'considerar', 'efeito', 'câmbio', 'sobre', 'resultado', 'fiscal', 'positivo']"
43,44,Serão eleitos 30 mil novos conselheiros no Brasil – 2.085 deles no Paraná.,"Em todo o Brasil, serão eleitos 30 mil conselheiros.",4.0,1,"['eleitos', '30', 'mil', 'novo', 'conselheiro', 'Brasil', '2085', 'paraná']","['todo', 'brasil', 'eliir', '30', 'mil', 'conselheiro']"
44,45,Não faz sentido um país como o Brasil gastar uma fortuna que foi em Londres ou Pequim.,Não dá para gastar a fortuna que foi gasta em Pequim ou Londres.,4.0,1,"['fazer', 'sentido', 'país', 'Brasil', 'gastar', 'fortuna', 'londr', 'pequim']","['dar', 'gastar', 'fortuna', 'gastar', 'pequim', 'londr']"
45,46,"Ticiane Pinheiro está curtindo férias em Barra de São Miguel, Alagoas.",Ticiane Pinheiro ainda está no clima de feriado.,3.25,0,"['ticiane', 'Pinheiro', 'curtir', 'férias', 'barra', 'Miguel', 'alagoa']","['ticiane', 'pinheiro', 'ainda', 'clima', 'feriado']"
46,47,Foi uma daquelas corridas onde as coisas não dão certo.,Foi uma daquelas corridas em que as coisas não estavam acontecendo direito.,5.0,2,"['de aquele', 'corrida', 'onde', 'coisa', 'dar', 'certo']","['de aquele', 'corrida', 'coisa', 'acontecer', 'direito']"
47,48,Ela informou que o encontro foi fechado por decisão do colégio de líderes.,"Por decisão do Colégio de Líderes, a reunião foi realizada em caráter reservado.",4.5,1,"['informar', 'encontro', 'fechar', 'decisão', 'colégio', 'líder']","['decisão', 'colégio', 'líder', 'reunião', 'realizar', 'caráter', 'reservar']"
48,49,A cantora Miley Cyrus não para de praticar arte experimental.,"O álbum gratuito da Miley Cyrus, todo experimental, tem essa pegada conceitual-libertária.",3.25,0,"['cantor', 'miley', 'cyrus', 'praticar', 'arte', 'experimental']","['álbum', 'gratuito', 'miley', 'cyrus', 'todo', 'experimental', 'pegar', 'conceituallibertário']"
49,50,Podem votar todos os cidadãos com mais de 16 anos que possuem título de eleitor.,"Para votar, basta levar documento com foto e título de eleitor.",2.75,0,"['poder', 'votar', 'todo', 'cidadão', '16', 'ano', 'possuir', 'título', 'eleitor']","['votar', 'bastar', 'levar', 'documento', 'foto', 'título', 'eleitor']"
50,51,"O líder do governo na comissão, deputado Paulo Pimenta (PT-RS), concordou com os demais parlamentares.",O deputado federal Paulo Pimenta (PT-RS) confirma que os ministros só repetiram o que já foi anunciado.,2.25,0,"['líder', 'governo', 'comissão', 'deputado', 'Paulo', 'pimentar', 'Ptrs', 'concordar', 'demais', 'parlamentar']","['deputado', 'federal', 'Paulo', 'pimentar', 'ptrs', 'confirmar', 'ministro', 'repetir', 'anunciar']"
51,52,"Em maio, a balança comercial teve superávit de US$ 2,76 bilhões.","No ano passado, a balança comercial brasileira registrou déficit de US$ 3,959 bilhões.",2.5,0,"['maio', 'balança', 'comercial', 'superávit', 'us', '276', 'bilhão']","['ano', 'passado', 'balança', 'comercial', 'brasileira', 'registrar', 'déficit', 'us', '3959', 'bilhão']"
52,53,Relatório do BTG Pactual trouxe previsões mais pessimistas para a Qualicorp neste fim de ano.,O BTG Pactual espera uma perda líquida de 12 mil clientes no ano.,3.25,0,"['relatório', 'btg', 'pactual', 'trazer', 'previsão', 'pessimisto', 'qualicorp', 'em este', 'fim', 'ano']","['btg', 'pactual', 'esperar', 'perda', 'líquido', '12', 'mil', 'cliente', 'ano']"
53,54,"A 1ª Primavera dos Museus ocorreu em 2007, com 300 museus inscritos e 874 eventos.","No país, 809 instituições participarão da Primavera dos Museus em 2015.",2.75,0,"['1', 'primavera', 'Museus', 'ocorrer', '2007', '300', 'museu', 'inscrito', '874', 'evento']","['país', '809', 'instituição', 'participar', 'primavera', 'museu', '2015']"
54,55,"De volta à zona de rebaixamento, o Coritiba sustenta sete jogos de invencibilidade.",Já o Coritiba segue estacionado com 27 pontos na zona de rebaixamento.,3.5,0,"['voltar', 'zono', 'rebaixamento', 'coritiba', 'sustentar', 'sete', 'jogo', 'invencibilidader']","['coritiba', 'seguir', 'estacionar', '27', 'ponto', 'zona', 'rebaixamento']"
55,56,"Até agora, o planejado acordo prevê penas de prisão entre cinco e oito anos para os delitos graves.","Depois disso, os responsáveis por delitos graves foram punidos com penas de cinco a oito anos.",3.25,0,"['agora', 'planejar', 'acordo', 'prever', 'pena', 'prisão', 'cinco', 'oito', 'ano', 'delito', 'grave']","['de isso', 'responsável', 'delito', 'grave', 'punido', 'pena', 'cinco', 'oito', 'ano']"
56,57,Wolf Maya passou por um susto e tanto na terça-feira (22).,Wolf Maya não estava em casa na tarde de terça-feira (22) e escapou de ser assaltado.,3.5,0,"['wolf', 'maya', 'passar', 'susto', 'tanto', 'terçafeira', '22']","['wolf', 'maya', 'casa', 'tarde', 'terçafeira', '22', 'escapar', 'assaltar']"
57,58,Derrota em casa elimina holandeses do maior torneio de seleções da Europa.,A seleção holandesa está fora do maior torneio de seleções da Europa.,4.0,1,"['derrota', 'casa', 'elimino', 'holandese', 'grande', 'torneio', 'seleção', 'Europa']","['seleção', 'holandês', 'grande', 'torneio', 'seleção', 'Europa']"
58,59,"Apesar do empenho dos governadores, a CPMF deve enfrentar resistência tanto na Câmara quanto no Senado.","No caso da proposta de recriar a CPMF, o governo enfrenta grande resistência no Congresso.",4.0,1,"['apesar', 'empenho', 'governador', 'cpmf', 'dever', 'enfrentar', 'resistência', 'tanto', 'câmar', 'quanto', 'senar']","['caso', 'propor', 'recriar', 'cpmf', 'governo', 'enfrentar', 'grande', 'resistência', 'congresso']"
59,60,A apreciação dos vetos é uma pauta importante para o governo.,Ele lembrou que os vetos estão mantidos enquanto não forem apreciados.,2.75,0,"['apreciação', 'veto', 'pautar', 'importante', 'governo']","['lembrar', 'veto', 'manter', 'enquanto', 'apreciado']"
60,61,"Neste ano, 809 instituições participarão do evento, que será realizado em 393 cidades brasileiras.",O evento vai acontecer em 393 cidades brasileiras.,4.0,1,"['em este', 'ano', '809', 'instituição', 'participar', 'evento', 'realizar', '393', 'cidade', 'brasileiro']","['evento', 'ir', 'acontecer', '393', 'cidade', 'brasileiro']"
61,62,"Ao mesmo tempo, terá Ronaldinho Gaúcho e Cícero, que estavam fora nas últimas partidas, disponíveis.",Quem volta são Cícero e Ronaldinho Gaúcho.,4.0,1,"['tempo', 'ronaldinho', 'gaúcho', 'cícero', 'último', 'partida', 'disponível']","['volta', 'cícero', 'ronaldinho', 'gaúcho']"
62,63,Todos ficam assustados com as fortes trovoadas.,Nefertari fica apavorada com o barulho dos trovões.,3.25,0,"['todo', 'ficar', 'assustado', 'forte', 'trovoar']","['nefertari', 'ficar', 'apavorar', 'barulho', 'trovão']"
63,64,Renan decidiu que a sessão do Congresso para votar os vetos presidenciais acontecerá somente em novembro.,Renan sinalizou que só pretende marcar nova sessão para apreciar os vetos para novembro.,4.0,1,"['renanr', 'decidir', 'sessão', 'congresso', 'votar', 'veto', 'presidencial', 'acontecer', 'somente', 'novembro']","['renan', 'sinalizar', 'pretender', 'marcar', 'novo', 'sessão', 'apreciar', 'veto', 'novembro']"
64,65,O início de Alexander Rossi na Fórmula 1 foi com o pé esquerdo.,"Estreante como titular da Manor, Alexander Rossi mostrou que a falta de experiência ainda pesa na Fórmula 1.",3.75,0,"['início', 'alexander', 'rossi', 'fórmula', '1', 'pé', 'esquerdo']","['estreante', 'titular', 'manor', 'alexander', 'rossi', 'mostrar', 'falta', 'experiência', 'ainda', 'pês', 'fórmula', '1']"
65,66,No momento do encerramento 165 deputados e 57 senadores haviam registrado presença.,"Maior partido da oposição, com 53 deputados na Câmara, o PSDB não teve registro de presença.",1.5,0,"['momento', 'encerramento', '165', 'deputado', '57', 'senador', 'haver', 'registrar', 'presença']","['grande', 'partido', 'oposição', '53', 'deputado', 'Câmara', 'psdb', 'registro', 'presençar']"
66,67,Prometi ao estúdio que entregaria uma última trilogia para terminar a saga.,Prometi ao estudo que faria uma última trilogia para finalizar a saga.,5.0,2,"['prometi', 'estúdio', 'entregar', 'último', 'trilogia', 'terminar', 'saga']","['prometi', 'estudo', 'fazer', 'último', 'trilogia', 'finalizar', 'saga']"
67,68,"Segundo Tainá, antes do incêndio os moradores da localidade sentiram um forte cheiro de gás.",Uns três ou quatro dias atrás já estávamos sentido um cheiro muito forte de gás e todo mundo reclamando.,4.0,0,"['segundo', 'tainá', 'antes', 'incêndio', 'morador', 'localidade', 'sentir', 'forte', 'cheiro', 'gás']","['um', 'três', 'quatro', 'dia', 'atrás', 'sentido', 'cheiro', 'forte', 'gás', 'todo', 'mundo', 'reclamar']"
68,69,"A interminável (e lucrativa) saga ""Velozes e Furiosos"" está perto de chegar ao fim.",Os fãs da saga Velozes & Furiosos são os melhores do mundo.,1.75,0,"['interminável', 'lucrativa', 'sagar', 'veloz', 'furioso', 'perto', 'chegar', 'fim']","['fã', 'sagar', 'veloz', 'furioso', 'bom', 'mundo']"
69,70,"Além do atacante Léo Jabá, o Corinthians também acertou a renovação do contrato por mais um ano do zagueiro Gil nesta terça-feira.",O Corinthians anunciou a extensão de contrato por mais um ano do zagueiro Gil.,3.75,1,"['além', 'atacante', 'léo', 'Jabá', 'corinthians', 'acertar', 'renovação', 'contrato', 'ano', 'zagueiro', 'gil', 'em este', 'terçafeira']","['corinthian', 'anunciar', 'extensão', 'contrato', 'ano', 'zagueiro', 'gil']"
70,71,"No ano, a alta de preços de energia chega a 44,75%.","No ano, o IPCA-15 acumula alta de 6,9%.",1.5,0,"['ano', 'alto', 'preço', 'energia', 'chegar', '4475']","['ano', 'ipca15', 'acumular', 'alta', '69']"
71,72,"Ter a habilidade e a ambição de construir algo legal deveria trazer aplausos, não prisão.","Ter a habilidade e ambição de construir algo bacana deveria atrair apalusos, e não levar alguém à prisão.",5.0,2,"['ter', 'habilidade', 'ambição', 'construir', 'algo', 'legal', 'dever', 'trazer', 'aplauso', 'prisão']","['ter', 'habilidade', 'ambição', 'construir', 'algo', 'bacana', 'dever', 'atrair', 'apaluso', 'levar', 'alguém', 'prisão']"
72,73,"Segundo a empresa de segurança afegã que os empregava, todos eram afegãos.",Este é o segundo atentado em menos de 24 horas na capital afegã.,2.5,0,"['segundo', 'empresa', 'segurança', 'afegã', 'empregar', 'todo', 'afegão']","['segundo', 'atentado', 'menos', '24', 'hora', 'capital', 'afegão']"
73,74,"Em agosto, a chamada emissão líquida (acima dos vencimentos) do Tesouro somou R$ 45,44 bilhões.","Em agosto, o Tesouro registrou emissão líquida (acima dos vencimentos) de R$ 45,44 bilhões.",5.0,2,"['agosto', 'chamar', 'emissão', 'líquido', 'acima', 'vencimento', 'tesouro', 'somar', 'r', '4544', 'bilhão']","['agosto', 'tesouro', 'registrar', 'emissão', 'líquido', 'acima', 'vencimento', 'r', '4544', 'bilhão']"
74,75,A sexta temporada de Game of Thrones está prevista para março de 2016.,Vamos dizer que Game of Thrones continua fazendo parte de minha vida por enquanto.,2.5,0,"['sexto', 'temporada', 'game', 'of', 'throne', 'prever', 'março', '2016']","['ir', 'dizer', 'game', 'of', 'thrones', 'continuar', 'fazer', 'parte', 'vido', 'enquanto']"
75,76,Esta proposta lida com o persistente aumento nos gastos ao longo dos anos.,Esta proposta enfrenta o persistente aumento de despesas por anos.,5.0,2,"['propor', 'ler', 'persistente', 'aumento', 'gasto', 'longo', 'ano']","['proposta', 'enfrentar', 'persistente', 'aumento', 'despesa', 'ano']"
76,77,Outro problema é do próprio banco.,"Na verdade, espera-se que o banco faça uma ""volta às origens"".",2.25,0,"['outro', 'problema', 'próprio', 'banco']","['verdade', 'esperaser', 'Banco', 'fazer', 'volta', 'origem']"
77,78,"Ao todo, 30 mil médicos residentes em todo o País estão paralisados.",Médicos residentes de Pernambuco realizam uma paralisação nesta quinta-feira.,3.25,0,"['todo', '30', 'mil', 'médico', 'residente', 'todo', 'país', 'paralisar']","['médico', 'residente', 'pernambuco', 'realizar', 'paralisação', 'em este', 'quintafeira']"
