Unnamed: 0,website,keywords,headlinePortuguese,headlineEnglish,sentimentScorePortuguese,sentimentScoreEnglish,sentimentMagnitudePortuguese,sentimentMagnitudeEnglish,isOnline,onlineStartDate,onlineEndDate,onlineTotalTimeMS
34,G1,"['Bolsonaro', 'Moro']",mor depõ sobr supost interferent jair bolsonar investig pf,Moro testifies on the alleged interference of Jair Bolsonaro in pf investigations,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-03 05:02:34.649000+00:00,2020-05-03 06:02:14.774000+00:00,3580125.0
35,Folha de SP,['Bolsonaro'],país continu divid sobr renúnc impeachment bolsonar indic datafolh,"Country remains divided over resignation and impeachment of Bolsonaro, indicates Datafolha",0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-05-30 06:32:21.545000+00:00,2020-05-30 16:01:39.953000+00:00,34158408.0
36,G1,['Moro'],indíci grav prov contundent mei juríd polít repercut mensagens revel mor,"'Serious evidence', 'hard evidence': legal and political media echo messages revealed by Moro",-0.1000000014901161,-0.4000000059604645,0.1000000014901161,0.4000000059604645,False,2020-04-26 01:02:35.823000+00:00,2020-04-26 15:31:02.763000+00:00,52106940.0
37,Folha de SP,['Bolsonaro'],plan econôm bolsonar depend joelh pescoc,Bolsonaro's economic plan depends on knee in neck,0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-06-14 07:32:00.877000+00:00,2020-06-14 17:31:13.222000+00:00,35952345.0
38,UOL,['Bolsonaro'],bolsonar diz exali prov acus vazament oper pf,Bolsonaro says former ally will have to prove charge of leak pf operation,-0.1000000014901161,-0.5,0.1000000014901161,0.5,False,2020-05-20 02:03:28.502000+00:00,2020-05-20 09:04:14.643000+00:00,25246141.0
39,UOL,['Weintraub'],alcolumbr retard fal weintraub sen expect demissã,Alcolumbre delays weintraub's speech to the Senate in anticipation of resignation,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-28 11:32:11.735000+00:00,2020-05-28 12:31:30.242000+00:00,3558507.0
40,G1,['Bolsonaro'],polít critic declar bolsonar sobr númer mort covid19 país,Politicians criticize Bolsonaro's statement on the number of deaths by covid-19 in the country,0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-04-29 11:31:03.232000+00:00,2020-04-29 17:02:31.818000+00:00,19888586.0
41,Folha de SP,['Weintraub'],cart contr weintraub banc mundial reún chic buarqu rubens ricuper,Letter against Weintraub at the World Bank meets from Chico Buarque to Rubens Ricupero,0.3000000119209289,-0.1000000014901161,0.3000000119209289,0.1000000014901161,False,2020-06-19 22:31:29.486000+00:00,2020-06-20 07:02:27.244000+00:00,30657758.0
42,Folha de SP,['Covas'],expect bar restaur retom ativ 2ª diz cov,"Expectation is that bars and restaurants resume activity in the 2nd, says Covas",0.1000000014901161,-0.1000000014901161,0.1000000014901161,0.1000000014901161,False,2020-06-24 22:01:15.627000+00:00,2020-06-24 23:03:49.156000+00:00,3753529.0
43,O Antagonista,"['Bolsonaro', 'Moro']",bolsonar refer mor reuniã “ inclusiv direcion olhar ” diz defes,"Bolsonaro referred to Moro at the meeting, ""including the direction of looks"", says defense",0.2000000029802322,0.0,0.2000000029802322,0.0,False,2020-05-24 01:32:11.200000+00:00,2020-05-24 13:31:40.470000+00:00,43169270.0
44,O Antagonista,['Bolsonaro'],oposiçã vai pression mai paut impeachment bolsonar,Opposition will press for Maia paute impeachment bolsonaro,-0.1000000014901161,-0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-06-17 12:32:19.934000+00:00,2020-06-17 13:32:34.079000+00:00,3614145.0
45,UOL,['Bolsonaro'],bolsonar aprov ajud r 60 bi estad vet aument servidor,Bolsonaro approves help of R $ 60 bi to states and vetoes increase for servers,0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-05-28 09:03:22.455000+00:00,2020-05-28 10:32:12.257000+00:00,5329802.0
46,O Antagonista,['Bolsonaro'],eduard bolsonar ped explic sobr desmont acamp sar wint,Eduardo Bolsonaro asks for explanations about dismantling sara winter's camp,0.1000000014901161,-0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-06-15 21:02:03.766000+00:00,2020-06-15 23:32:17.273000+00:00,9013507.0
47,Folha de SP,['Guedes'],manicur ouv plan gued,When the manicure hears the guedes plan,-0.2000000029802322,-0.1000000014901161,0.2000000029802322,0.1000000014901161,False,2020-05-31 11:31:34.893000+00:00,2020-05-31 14:32:09.190000+00:00,10834297.0
48,O Antagonista,['Moro'],mor “ cels mell louvad garant public inquérit ”,"Moro: ""Celso de Mello has, praisefully, guaranteed the publicity of the survey""",0.2000000029802322,0.0,0.2000000029802322,0.0,False,2020-05-14 18:03:09.300000+00:00,2020-05-14 19:32:35.371000+00:00,5366071.0
49,O Antagonista,['Bolsonaro'],bah vai ‘ ignor ’ decret bolsonar diz rui cost,"Bahia will 'ignore' Bolsonaro decree, says Rui Costa",-0.2000000029802322,-0.5,0.2000000029802322,0.5,False,2020-05-12 00:02:37.108000+00:00,2020-05-12 10:02:03.331000+00:00,35966223.0
50,R7,['Covas'],brun cov volt trabalh após fic quarenten contági covid19,Bruno Covas returns to work after being quarantined for contagion of covid-19,0.1000000014901161,-0.1000000014901161,0.1000000014901161,0.1000000014901161,False,2020-06-25 11:32:32.200000+00:00,2020-06-25 13:32:50.674000+00:00,7218474.0
51,R7,['Moro'],depoiment mor pf rebeliã amazon destaqu dest sáb 2,Testimony moro to PF and rebellion in the Amazon are highlights this Saturday (2),0.0,0.2000000029802322,0.0,0.2000000029802322,False,2020-05-02 21:03:26.621000+00:00,2020-05-03 04:31:51.488000+00:00,26904867.0
52,UOL,['Bolsonaro'],manifest belém contr bolsonar racism 112 det aglomer,Demonstration in Belém against Bolsonaro and racism has 112 arrested by agglomeration,-0.3000000119209289,-0.6000000238418579,0.3000000119209289,0.6000000238418579,False,2020-06-07 20:31:44.107000+00:00,2020-06-08 09:04:35.151000+00:00,45171044.0
53,G1,['Mandetta'],mandett troc ministr ritm contági covid19 ajud aument cas doenc brasil,"For Mandetta, exchanges of ministers and rhythm of contagion of Covid-19 helped increase cases of the disease in Brazil",0.5,0.5,0.5,0.5,False,2020-05-25 19:03:31.877000+00:00,2020-05-25 22:32:49.733000+00:00,12557856.0
54,O Antagonista,['Bolsonaro'],govern bolsonar suspend mult milionár consórci ex wassef,Bolsonaro government suspended million-dollar fine to wassef's ex consortium,-0.1000000014901161,-0.4000000059604645,0.1000000014901161,0.4000000059604645,False,2020-06-24 13:31:52.094000+00:00,2020-06-24 14:04:40.133000+00:00,1968039.0
55,Folha de SP,['Weintraub'],após defend cad ministr stf weintraub diz fal alguns tod,"After defending jail to ministers of the Supreme Court, Weintraub says he spoke of 'some, not all'",-0.2000000029802322,-0.3000000119209289,0.2000000029802322,0.3000000119209289,False,2020-05-24 17:02:51.836000+00:00,2020-05-24 22:03:40.260000+00:00,18048424.0
56,Folha de SP,['Bolsonaro'],bolsonar cri disput sobr 5g leilã dev fic 2021,Bolsonaro creates dispute over 5G; auction should stay for 2021,0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-06-13 07:04:54.953000+00:00,2020-06-13 23:31:48.640000+00:00,59213687.0
57,O Antagonista,['Bolsonaro'],“ alguns ministéri gent aqu dentr né ” diss bolsonar sobr chin,"""In some ministries there are people of them in here, right?"" said Bolsonaro about China",0.0,0.0,0.0,0.0,False,2020-05-22 21:03:13.839000+00:00,2020-05-22 22:04:29.036000+00:00,3675197.0
58,UOL,"['Bolsonaro', 'Moro']",mor ignor bolsonar viraliz som alcion,I live ignoring Bolsonaro viralizes to the sound of Alcione,0.4000000059604645,-0.2000000029802322,0.4000000059604645,0.2000000029802322,False,2020-04-30 15:02:18.777000+00:00,2020-04-30 22:01:30.543000+00:00,25151766.0
59,UOL,"['Mandetta', 'Teich']",teich rebat mandett aument polariz,Teich slams Mandetta: 'Increases polarization',0.1000000014901161,-0.6000000238418579,0.1000000014901161,0.6000000238418579,False,2020-05-19 02:03:17.370000+00:00,2020-05-19 09:01:55.796000+00:00,25118426.0
60,O Antagonista,['Bolsonaro'],bolsonar mud regulament lei geral telecomunic,Bolsonaro changes regulation of the General Telecommunications Law,0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-06-17 19:03:09.126000+00:00,2020-06-17 20:02:01.370000+00:00,3532244.0
61,Folha de SP,['Bolsonaro'],flávi bolsonar critic folh diz rep advog feit psl,Flávio Bolsonaro criticizes Folha and says that transfers to lawyer were made by the PSL,-0.2000000029802322,0.0,0.2000000029802322,0.0,False,2020-05-20 11:31:45.011000+00:00,2020-05-20 13:31:31.656000+00:00,7186645.0
62,G1,['Bolsonaro'],bolsonar coloc ali centrã fund bilionári educ,Bolsonaro puts centrão ally in billionaire education fund,0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-06-01 16:32:35.395000+00:00,2020-06-01 17:02:54.483000+00:00,1819088.0
63,O Antagonista,['Bolsonaro'],líd psd cham bolsonar ‘ psicót ’ “ vai mud vai mud ”,"PSD leader calls Bolsonaro 'psychotic': ""He won't change, he won't change""",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-15 16:32:08.346000+00:00,2020-05-15 17:32:05.595000+00:00,3597249.0
64,UOL,['Bolsonaro'],agu vai recorr decisã dá estadã acess exam bolsonar,AGU will appeal decision that gives 'Estadão' access to bolsonaro exam,0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-04-28 15:02:54.230000+00:00,2020-04-28 22:01:19.299000+00:00,25105069.0
65,UOL,"['Bolsonaro', 'Moro']",após demissã mor bolsonar cit ministr diz govern continu,"After Moro's resignation, Bolsonaro quotes ministers and says: 'government continues'",-0.2000000029802322,-0.2000000029802322,0.2000000029802322,0.2000000029802322,False,2020-04-25 21:11:16.334000+00:00,2020-04-25 22:31:37.487000+00:00,4821153.0
66,UOL,['Bolsonaro'],pátr bolsonar própr famíl,Bolsonaro's homeland is his own family,0.800000011920929,0.0,0.800000011920929,0.0,False,2020-05-23 12:03:23.078000+00:00,2020-05-23 18:32:52.453000+00:00,23369375.0
67,UOL,['Weintraub'],econom chancel ida weintraub eua cart banc mundial,Economy chanced weintraub's trip to the U.S. with letter to the World Bank,0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-06-22 18:02:55.309000+00:00,2020-06-22 22:31:52.003000+00:00,16136694.0
68,UOL,"['Bolsonaro', 'Moro']",depoiment apont ilegal bolsonar mor diz especial,"Testimony points to illegalities of Bolsonaro and Moro, experts say",0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-05-06 23:31:37.979000+00:00,2020-05-07 09:03:32.858000+00:00,34314879.0
69,O Antagonista,['Bolsonaro'],bolsonar derret,Bolsonaro melts,0.3000000119209289,0.5,0.3000000119209289,0.5,False,2020-05-28 10:04:45.086000+00:00,2020-05-28 12:31:30.814000+00:00,8805728.0
70,Folha de SP,['Heleno'],respost ameac helen ger atrit part mai respond oposiçã reclam,"Response to the threat of Heleno generates friction between parties, Maia responds and opposition complains",-0.4000000059604645,-0.2000000029802322,0.4000000059604645,0.2000000029802322,False,2020-05-27 13:01:46.500000+00:00,2020-05-27 16:03:55.160000+00:00,10928660.0
71,R7,['Bolsonaro'],bolsonar inaugur hospital campanh goiás diz torc leit vazi,Bolsonaro inaugurates field hospital in Goiás and says cheer for empty beds,0.1000000014901161,-0.4000000059604645,0.1000000014901161,0.4000000059604645,False,2020-06-05 23:01:41.480000+00:00,2020-06-06 01:03:37.576000+00:00,7316096.0
72,O Antagonista,['Weintraub'],mand weintraub hungr,Send Weintraub to Hungary,0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-06-15 19:32:14.963000+00:00,2020-06-15 21:32:14.206000+00:00,7199243.0
73,G1,['Bolsonaro'],ministr exon 2 após bolsonar reclam not técnic cit abort,Minister exonerates 2 after Bolsonaro complain of technical note that cites abortion,-0.3000000119209289,-0.4000000059604645,0.3000000119209289,0.4000000059604645,False,2020-06-05 14:32:33.988000+00:00,2020-06-05 15:03:30.926000+00:00,1856938.0
74,R7,['Covas'],brun cov afirm bem dor apes covid19,"Bruno Covas says he is 'fine, no pain', despite covid-19",0.4000000059604645,-0.1000000014901161,0.4000000059604645,0.1000000014901161,False,2020-06-16 19:03:38.941000+00:00,2020-06-16 19:33:17.957000+00:00,1779016.0
75,Folha de SP,['Weintraub'],quant erros weintraub apoi radic,"The more mistakes, the more Weintraub has support from radicals",0.2000000029802322,-0.6000000238418579,0.2000000029802322,0.6000000238418579,False,2020-06-13 17:31:53.735000+00:00,2020-06-13 23:01:34.852000+00:00,19781117.0
76,Folha de SP,"['Bolsonaro', 'Heleno']",general helen fal consequent imprevisív celul bolsonar apreend,General Heleno speaks of 'unpredictable consequences' if Bolsonaro's cell phone is seized,0.0,-0.5,0.0,0.5,False,2020-05-22 19:32:27.930000+00:00,2020-05-22 20:32:30.866000+00:00,3602936.0
77,G1,['Bolsonaro'],decisã bolsonar sobr reajust servidor test gued,Bolsonaro decision on readjustment to servers will be test for Guedes,0.1000000014901161,-0.1000000014901161,0.1000000014901161,0.1000000014901161,False,2020-05-11 18:30:58.804000+00:00,2020-05-12 00:02:38.029000+00:00,19899225.0
78,R7,['Bolsonaro'],algo grav acontec democrac diz bolsonar,"'Something serious is happening to our democracy,' says Bolsonaro",-0.3000000119209289,-0.1000000014901161,0.3000000119209289,0.1000000014901161,False,2020-05-28 02:32:23.456000+00:00,2020-05-28 04:04:04.354000+00:00,5500898.0
79,UOL,['Bolsonaro'],apen comparec diz bolsonar sobr particip atos contr stf,"'I just attend', says Bolsonaro on participation in acts against the Supreme Court",-0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-06-01 13:03:27.435000+00:00,2020-06-01 14:01:54.973000+00:00,3507538.0
80,G1,['Bolsonaro'],advog famíl bolsonar don cas onde queiroz pres,Who is the lawyer of the Bolsonaro family and owner of the house where Queiroz was arrested,0.0,-0.3000000119209289,0.0,0.3000000119209289,False,2020-06-18 15:31:59.670000+00:00,2020-06-18 17:02:52.734000+00:00,5453064.0
81,O Antagonista,['Bolsonaro'],fal bolsonar helen sobr chin víd preocup planalt,Bolsonaro and Heleno talks about China in video worry Plateau,0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-05-13 23:33:15.911000+00:00,2020-05-14 01:32:16.854000+00:00,7140943.0
82,O Antagonista,['Bolsonaro'],entrev “ bolsonar famíl sofr síndrom conspir ” diz paul marinh,"INTERVIEW: ""Bolsonaro and his family suffer from conspiracy syndrome"", says Paulo Marinho",0.0,-0.3000000119209289,0.0,0.3000000119209289,False,2020-05-31 00:32:33.350000+00:00,2020-05-31 12:04:42.583000+00:00,41529233.0
83,UOL,['Moro'],cit eleiçõ vet víd complet aras mor alvo,"By citing elections to veto full video, Aras had Moro targeted",0.0,-0.5,0.0,0.5,False,2020-05-16 15:02:37.123000+00:00,2020-05-16 18:31:45.536000+00:00,12548413.0
84,UOL,['Bolsonaro'],secret sp rebat bolsonar vê fal irrespons sobr isol,Sp Secretariat rebate Bolsonaro and sees irresponsible talk about isolation,0.0,-0.8999999761581421,0.0,0.8999999761581421,False,2020-04-30 15:02:16.126000+00:00,2020-04-30 18:02:47.262000+00:00,10831136.0
85,R7,['Hasselmann'],stf autoriz nomeaçã hasselmann carg câm,Supreme Court authorizes hasselmann's appointment to office in the House,0.0,0.0,0.0,0.0,False,2020-06-27 00:31:42.301000+00:00,2020-06-27 01:05:26.794000+00:00,2024493.0
86,UOL,['Guedes'],edu gued lut recuper moviment mã,Edu Guedes struggles to regain hand movements,0.2000000029802322,-0.6000000238418579,0.2000000029802322,0.6000000238418579,False,2020-06-26 22:32:47.600000+00:00,2020-06-27 12:33:04.402000+00:00,50416802.0
87,G1,['Bolsonaro'],entend centrã bloc câm bolsonar tent atra,"Understand what is the Centrão, block of the Chamber that Bolsonaro tries to attract",0.0,0.0,0.0,0.0,False,2020-04-29 22:31:22.264000+00:00,2020-04-29 23:01:16.988000+00:00,1794724.0
88,UOL,['Weintraub'],deput convoc mendonc depor sobr hab corpus weintraub,Deputies will summon Mendonça to testify on habeas corpus to Weintraub,0.2000000029802322,-0.2000000029802322,0.2000000029802322,0.2000000029802322,False,2020-05-28 19:32:17.485000+00:00,2020-05-28 22:02:50.534000+00:00,9033049.0
89,UOL,['Bolsonaro'],vã cair caval diz bolsonar sobr víd reuniã ministerial,"'They will fall off the horse', bolsonaro says on video of ministerial meeting",0.1000000014901161,-0.4000000059604645,0.1000000014901161,0.4000000059604645,False,2020-05-13 15:01:59.167000+00:00,2020-05-13 16:04:07.571000+00:00,3728404.0
90,O Antagonista,['Bolsonaro'],manaus vai ignor decret bolsonar “ dev fal séri ”,"Manaus will also ignore Bolsonaro's decree: ""He should not be serious""",-0.3000000119209289,-0.8999999761581421,0.3000000119209289,0.8999999761581421,False,2020-05-12 21:04:08.863000+00:00,2020-05-12 22:01:43.452000+00:00,3454589.0
91,Folha de SP,['Moro'],advog quer barr inscriçã mor oab,Lawyers want to bar Moro's registration in OAB,0.0,-0.1000000014901161,0.0,0.1000000014901161,False,2020-06-07 14:03:05.825000+00:00,2020-06-07 19:32:08.572000+00:00,19742747.0
92,O Antagonista,['Bolsonaro'],coit bolsonar,Poor Bolsonaro,0.3000000119209289,-0.800000011920929,0.3000000119209289,0.800000011920929,False,2020-05-12 20:01:45.663000+00:00,2020-05-12 20:31:26.997000+00:00,1781334.0
93,UOL,['Moro'],ortell mor pod mud bolsonar,Ortellado: I live outside can change bolsonarismo,0.1000000014901161,0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-04-26 12:31:46.285000+00:00,2020-04-26 15:30:54.669000+00:00,10748384.0
94,R7,['Weintraub'],prisã queiroz saíd weintraub marc seman,Queiroz prison and Weintraub exit mark the week,0.1000000014901161,-0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-06-20 07:02:26.423000+00:00,2020-06-20 18:04:36.908000+00:00,39730485.0
