,website,keywords,headlinePortuguese,headlineEnglish,sentimentScorePortuguese,sentimentScoreEnglish,sentimentMagnitudePortuguese,sentimentMagnitudeEnglish,isOnline,onlineStartDate,onlineEndDate,onlineTotalTimeMS
10,UOL,['Moro'],"Aras é contra apreensão de celular de Carla Zambelli, que trocou mensagens com Moro","Aras is against seizure of carla zambelli's cell phone, who exchanged messages with Moro",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-01 13:01:07.350000+00:00,2020-05-01 18:01:25.021000+00:00,18017671.0
11,O Antagonista,['Bolsonaro'],Flávio Bolsonaro passou a ter “foro privilegiado retroativo”,"Flávio Bolsonaro began to have ""retroactive privileged forum""",0.0,-0.5,0.0,0.5,False,2020-06-25 20:03:26.176000+00:00,2020-06-25 21:31:05.976000+00:00,5259800.0
12,Folha de SP,['Bolsonaro'],"Frase de Bolsonaro sobre  armar população é rejeitada por 72%, aponta Datafolha","Bolsonaro's phrase about arming population is rejected by 72%, points Datafolha",-0.10000000149011612,-0.5,0.10000000149011612,0.5,False,2020-05-31 12:04:39.403000+00:00,2020-05-31 14:32:08.763000+00:00,8849360.0
13,UOL,['Bolsonaro'],Bolsonaro culpa governadores: 'Essa conta não é minha',Bolsonaro blames governors: 'This account is not mine',-0.6000000238418579,-0.8999999761581421,0.6000000238418579,0.8999999761581421,False,2020-04-29 20:31:47.669000+00:00,2020-04-30 00:30:55.540000+00:00,14347871.0
14,O Antagonista,['Bolsonaro'],Bolsonaro sem palavras,Bolsonaro without words,0.6000000238418579,0.4000000059604645,0.6000000238418579,0.4000000059604645,False,2020-06-18 12:32:24.521000+00:00,2020-06-18 13:04:14.204000+00:00,1909683.0
15,Folha de SP,['Lula'],"Após Lula e Queiroz, prefeitura promove 'encantos' de Atibaia","After Lula and Queiroz, city hall promotes 'charms' of Atibaia",0.20000000298023224,-0.10000000149011612,0.20000000298023224,0.10000000149011612,False,2020-06-20 07:02:25.520000+00:00,2020-06-20 11:31:13.161000+00:00,16127641.0
16,O Antagonista,['Bolsonaro'],Bolsonaro retoma viagens pelo Brasil em reduto petista,Bolsonaro resumes travels in Brazil in ptista stronghold,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-06-26 16:04:18.503000+00:00,2020-06-26 18:03:54.484000+00:00,7175981.0
17,UOL,"['Bolsonaro', 'Lula']",Eduardo Bolsonaro é intimado em processo de Lula e herdeiros de Marisa,Eduardo Bolsonaro is subpoenaed in lula's lawsuit and Marisa's heirs,0.0,-0.800000011920929,0.0,0.800000011920929,False,2020-04-28 17:02:40.784000+00:00,2020-04-29 01:31:35.293000+00:00,30534509.0
18,R7,['Moro'],Moro diz que ninguém sério nos EUA questiona o Supremo,Moro says no one serious in the U.S. questions the Supreme,-0.4000000059604645,-0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2020-06-02 20:05:10.978000+00:00,2020-06-02 21:01:59.779000+00:00,3408801.0
19,O Antagonista,['Moro'],A bomba atômica de Moro,Moro's atomic bomb,0.20000000298023224,0.5,0.20000000298023224,0.5,False,2020-05-13 11:02:01.028000+00:00,2020-05-13 14:01:51.596000+00:00,10790568.0
20,O Antagonista,['Guedes'],Maia avisa Planalto que coronavoucher decrescente não passa; Alcolumbre procura Guedes,Maia warns Planalto that decreasing coronavoucher does not pass; Alcolumbre procura Guedes,0.0,-0.5,0.0,0.5,False,2020-06-26 21:32:31.752000+00:00,2020-06-26 23:32:12.979000+00:00,7181227.0
21,R7,"['Bolsonaro', 'Moro']","Em resposta a Bolsonaro, Moro critica 'ofensas ou bravatas'","In response to Bolsonaro, Moro criticizes 'offenses or bravado'",-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-01 15:32:12.901000+00:00,2020-06-01 23:33:06.803000+00:00,28853902.0
22,G1,"['Bolsonaro', 'Heleno']",Heleno diz que não se referiu a intervenção militar em ameaça sobre apreensão do celular de Bolsonaro,Heleno says he did not refer to military intervention in threat over seizure of bolsonaro mobile phone,-0.30000001192092896,-0.699999988079071,0.30000001192092896,0.699999988079071,False,2020-05-28 13:32:21.295000+00:00,2020-05-28 16:31:48.309000+00:00,10767014.0
23,O Antagonista,['Bolsonaro'],Aras deve rejeitar pedido de apreensão do celular de Bolsonaro,Aras should reject request for seizure of bolsonaro mobile phone,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-26 21:31:39.184000+00:00,2020-05-27 00:05:57.190000+00:00,9258006.0
24,R7,['Bolsonaro'],Bolsonaro abre crédito de socorro de R$ 60 bilhões para Estados,Bolsonaro opens r$ 60 billion relief credit to states,0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-06-05 07:31:45.461000+00:00,2020-06-05 14:32:36.061000+00:00,25250600.0
25,R7,['Guedes'],"'O fiador do ajuste fiscal é Paulo Guedes', diz Mansueto Almeida","'The guarantor of the fiscal adjustment is Paulo Guedes', says Mansueto Almeida",0.0,0.0,0.0,0.0,False,2020-06-15 11:31:59.198000+00:00,2020-06-15 13:04:18.929000+00:00,5539731.0
26,G1,['Bolsonaro'],PM é afastado após publicar em rede social que agrediria manifestantes contrários a Bolsonaro em SP,PM is removed after publishing on social network that would assault protesters opposed to Bolsonaro in SP,-0.20000000298023224,-0.699999988079071,0.20000000298023224,0.699999988079071,False,2020-06-08 21:03:16.857000+00:00,2020-06-08 22:34:31.785000+00:00,5474928.0
27,R7,['Lula'],PF faz 6 prisões em operação que mira ex-ministro de Lula,PF makes 6 arrests in operation that targets lula's former minister,0.10000000149011612,-0.5,0.10000000149011612,0.5,False,2020-06-25 15:02:13.371000+00:00,2020-06-25 21:03:51.825000+00:00,21698454.0
28,R7,['Moro'],Defesa de Moro acompanha depoimentos na PF,Moro defense follows testimonials in PF,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-05-11 19:31:47.275000+00:00,2020-05-11 22:31:54.432000+00:00,10807157.0
29,Folha de SP,['Weintraub'],"De uma vez por todas, fora Weintraub","Once and for all, out Weintraub",0.10000000149011612,0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-01 07:04:06.705000+00:00,2020-06-01 16:32:37.544000+00:00,34110839.0
30,G1,['Bolsonaro'],"Bolsonaro, ministros e empresários vão a pé para reunião com Toffoli no STF","Bolsonaro, ministers and businessmen go on foot to meeting with Toffoli in the Supreme Court",0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,False,2020-05-07 15:02:33.009000+00:00,2020-05-07 15:31:20.673000+00:00,1727664.0
31,R7,['Salles'],"Live JR  entrevista Ricardo Salles nesta sexta, às 17h",Live JR interviews Ricardo Salles this Friday at 5 pm,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-06-05 15:03:29.642000+00:00,2020-06-05 20:02:48.061000+00:00,17958419.0
32,Folha de SP,['Bolsonaro'],Doria pede reunião de governadores com Bolsonaro em clima de paz,Doria calls for meeting of governors with Bolsonaro in a climate of peace,0.4000000059604645,0.10000000149011612,0.4000000059604645,0.10000000149011612,False,2020-05-20 17:03:56.404000+00:00,2020-05-20 19:01:37.355000+00:00,7060951.0
33,R7,['Moro'],"Para integrante do governo, Moro fez estardalhaço","For a member of the government, Moro made a fuss",0.10000000149011612,-0.699999988079071,0.10000000149011612,0.699999988079071,False,2020-05-22 22:32:17.655000+00:00,2020-05-22 23:02:45.168000+00:00,1827513.0
34,G1,"['Bolsonaro', 'Moro']",Moro depõe sobre a suposta interferência de Jair Bolsonaro nas investigações da PF,Moro testifies on the alleged interference of Jair Bolsonaro in pf investigations,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-03 05:02:34.649000+00:00,2020-05-03 06:02:14.774000+00:00,3580125.0
35,Folha de SP,['Bolsonaro'],"País continua dividido sobre renúncia e impeachment de Bolsonaro, indica Datafolha","Country remains divided over resignation and impeachment of Bolsonaro, indicates Datafolha",0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-05-30 06:32:21.545000+00:00,2020-05-30 16:01:39.953000+00:00,34158408.0
36,G1,['Moro'],"'Indícios graves', 'provas contundentes': meios jurídico e político repercutem mensagens reveladas por Moro","'Serious evidence', 'hard evidence': legal and political media echo messages revealed by Moro",-0.10000000149011612,-0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-04-26 01:02:35.823000+00:00,2020-04-26 15:31:02.763000+00:00,52106940.0
37,Folha de SP,['Bolsonaro'],Plano econômico de Bolsonaro depende de joelho no pescoço,Bolsonaro's economic plan depends on knee in neck,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-14 07:32:00.877000+00:00,2020-06-14 17:31:13.222000+00:00,35952345.0
38,UOL,['Bolsonaro'],Bolsonaro diz que ex-aliado terá que provar acusação de vazamento de operação da PF,Bolsonaro says former ally will have to prove charge of leak pf operation,-0.10000000149011612,-0.5,0.10000000149011612,0.5,False,2020-05-20 02:03:28.502000+00:00,2020-05-20 09:04:14.643000+00:00,25246141.0
39,UOL,['Weintraub'],Alcolumbre retarda fala de Weintraub ao Senado na expectativa de demissão,Alcolumbre delays weintraub's speech to the Senate in anticipation of resignation,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-28 11:32:11.735000+00:00,2020-05-28 12:31:30.242000+00:00,3558507.0
40,G1,['Bolsonaro'],Políticos criticam declaração de Bolsonaro sobre número de mortos por covid-19 no país,Politicians criticize Bolsonaro's statement on the number of deaths by covid-19 in the country,0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-04-29 11:31:03.232000+00:00,2020-04-29 17:02:31.818000+00:00,19888586.0
41,Folha de SP,['Weintraub'],Carta contra Weintraub no Banco Mundial reúne de Chico Buarque a Rubens Ricupero,Letter against Weintraub at the World Bank meets from Chico Buarque to Rubens Ricupero,0.30000001192092896,-0.10000000149011612,0.30000001192092896,0.10000000149011612,False,2020-06-19 22:31:29.486000+00:00,2020-06-20 07:02:27.244000+00:00,30657758.0
42,Folha de SP,['Covas'],"Expectativa é que bares e restaurantes retomem atividade na 2ª, diz Covas","Expectation is that bars and restaurants resume activity in the 2nd, says Covas",0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-06-24 22:01:15.627000+00:00,2020-06-24 23:03:49.156000+00:00,3753529.0
43,O Antagonista,"['Bolsonaro', 'Moro']","Bolsonaro se referiu a Moro na reunião, “inclusive com o direcionamento de olhares”, diz defesa","Bolsonaro referred to Moro at the meeting, ""including the direction of looks"", says defense",0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-05-24 01:32:11.200000+00:00,2020-05-24 13:31:40.470000+00:00,43169270.0
44,O Antagonista,['Bolsonaro'],Oposição vai pressionar para que Maia paute impeachment de Bolsonaro,Opposition will press for Maia paute impeachment bolsonaro,-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-17 12:32:19.934000+00:00,2020-06-17 13:32:34.079000+00:00,3614145.0
45,UOL,['Bolsonaro'],Bolsonaro aprova ajuda de R$ 60 bi a estados e veta aumento para servidores,Bolsonaro approves help of R $ 60 bi to states and vetoes increase for servers,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-05-28 09:03:22.455000+00:00,2020-05-28 10:32:12.257000+00:00,5329802.0
46,O Antagonista,['Bolsonaro'],Eduardo Bolsonaro pede explicações sobre desmonte de acampamento de Sara Winter,Eduardo Bolsonaro asks for explanations about dismantling sara winter's camp,0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-15 21:02:03.766000+00:00,2020-06-15 23:32:17.273000+00:00,9013507.0
47,Folha de SP,['Guedes'],Quando a manicure ouve o plano Guedes,When the manicure hears the guedes plan,-0.20000000298023224,-0.10000000149011612,0.20000000298023224,0.10000000149011612,False,2020-05-31 11:31:34.893000+00:00,2020-05-31 14:32:09.190000+00:00,10834297.0
48,O Antagonista,['Moro'],"Moro: “Celso de Mello tem, louvadamente, garantido a publicidade do inquérito”","Moro: ""Celso de Mello has, praisefully, guaranteed the publicity of the survey""",0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-05-14 18:03:09.300000+00:00,2020-05-14 19:32:35.371000+00:00,5366071.0
49,O Antagonista,['Bolsonaro'],"Bahia vai ‘ignorar’ decreto de Bolsonaro, diz Rui Costa","Bahia will 'ignore' Bolsonaro decree, says Rui Costa",-0.20000000298023224,-0.5,0.20000000298023224,0.5,False,2020-05-12 00:02:37.108000+00:00,2020-05-12 10:02:03.331000+00:00,35966223.0
50,R7,['Covas'],Bruno Covas volta ao trabalho após ficar em quarentena por contágio da covid-19,Bruno Covas returns to work after being quarantined for contagion of covid-19,0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-06-25 11:32:32.200000+00:00,2020-06-25 13:32:50.674000+00:00,7218474.0
51,R7,['Moro'],Depoimento de Moro à PF e rebelião no Amazonas são destaques deste sábado (2),Testimony moro to PF and rebellion in the Amazon are highlights this Saturday (2),0.0,0.20000000298023224,0.0,0.20000000298023224,False,2020-05-02 21:03:26.621000+00:00,2020-05-03 04:31:51.488000+00:00,26904867.0
52,UOL,['Bolsonaro'],Manifestação em Belém contra Bolsonaro e racismo tem 112 detidos por aglomeração,Demonstration in Belém against Bolsonaro and racism has 112 arrested by agglomeration,-0.30000001192092896,-0.6000000238418579,0.30000001192092896,0.6000000238418579,False,2020-06-07 20:31:44.107000+00:00,2020-06-08 09:04:35.151000+00:00,45171044.0
53,G1,['Mandetta'],"Para Mandetta, trocas de ministros e ritmo de contágio da Covid-19 ajudaram a aumentar casos da doença no Brasil","For Mandetta, exchanges of ministers and rhythm of contagion of Covid-19 helped increase cases of the disease in Brazil",0.5,0.5,0.5,0.5,False,2020-05-25 19:03:31.877000+00:00,2020-05-25 22:32:49.733000+00:00,12557856.0
54,O Antagonista,['Bolsonaro'],Governo Bolsonaro suspendeu multa milionária a consórcio de ex de Wassef,Bolsonaro government suspended million-dollar fine to wassef's ex consortium,-0.10000000149011612,-0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-06-24 13:31:52.094000+00:00,2020-06-24 14:04:40.133000+00:00,1968039.0
55,Folha de SP,['Weintraub'],"Após defender cadeia a ministros do STF, Weintraub diz que falava de 'alguns, não todos'","After defending jail to ministers of the Supreme Court, Weintraub says he spoke of 'some, not all'",-0.20000000298023224,-0.30000001192092896,0.20000000298023224,0.30000001192092896,False,2020-05-24 17:02:51.836000+00:00,2020-05-24 22:03:40.260000+00:00,18048424.0
56,Folha de SP,['Bolsonaro'],Bolsonaro cria disputa sobre 5G; leilão deve ficar para 2021,Bolsonaro creates dispute over 5G; auction should stay for 2021,0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-06-13 07:04:54.953000+00:00,2020-06-13 23:31:48.640000+00:00,59213687.0
57,O Antagonista,['Bolsonaro'],"“Em alguns ministérios tem gente deles aqui dentro, né?”, disse Bolsonaro sobre a China","""In some ministries there are people of them in here, right?"" said Bolsonaro about China",0.0,0.0,0.0,0.0,False,2020-05-22 21:03:13.839000+00:00,2020-05-22 22:04:29.036000+00:00,3675197.0
58,UOL,"['Bolsonaro', 'Moro']",Moro ignorando Bolsonaro viraliza ao som de Alcione,I live ignoring Bolsonaro viralizes to the sound of Alcione,0.4000000059604645,-0.20000000298023224,0.4000000059604645,0.20000000298023224,False,2020-04-30 15:02:18.777000+00:00,2020-04-30 22:01:30.543000+00:00,25151766.0
59,UOL,"['Mandetta', 'Teich']",Teich rebate Mandetta: 'Aumenta a polarização',Teich slams Mandetta: 'Increases polarization',0.10000000149011612,-0.6000000238418579,0.10000000149011612,0.6000000238418579,False,2020-05-19 02:03:17.370000+00:00,2020-05-19 09:01:55.796000+00:00,25118426.0
60,O Antagonista,['Bolsonaro'],Bolsonaro muda regulamentação da Lei Geral de Telecomunicações,Bolsonaro changes regulation of the General Telecommunications Law,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-17 19:03:09.126000+00:00,2020-06-17 20:02:01.370000+00:00,3532244.0
61,Folha de SP,['Bolsonaro'],Flávio Bolsonaro critica Folha e diz que repasses a advogado foram feitos pelo PSL,Flávio Bolsonaro criticizes Folha and says that transfers to lawyer were made by the PSL,-0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-05-20 11:31:45.011000+00:00,2020-05-20 13:31:31.656000+00:00,7186645.0
62,G1,['Bolsonaro'],Bolsonaro coloca aliado do Centrão em fundo bilionário da educação,Bolsonaro puts centrão ally in billionaire education fund,0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-06-01 16:32:35.395000+00:00,2020-06-01 17:02:54.483000+00:00,1819088.0
63,O Antagonista,['Bolsonaro'],"Líder do PSD chama Bolsonaro de ‘psicótico’: “Ele não vai mudar, não vai mudar”","PSD leader calls Bolsonaro 'psychotic': ""He won't change, he won't change""",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-15 16:32:08.346000+00:00,2020-05-15 17:32:05.595000+00:00,3597249.0
64,UOL,['Bolsonaro'],AGU vai recorrer de decisão que dá ao 'Estadão' acesso a exame de Bolsonaro,AGU will appeal decision that gives 'Estadão' access to bolsonaro exam,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-04-28 15:02:54.230000+00:00,2020-04-28 22:01:19.299000+00:00,25105069.0
65,UOL,"['Bolsonaro', 'Moro']","Após demissão de Moro, Bolsonaro cita ministros e diz: 'governo continua'","After Moro's resignation, Bolsonaro quotes ministers and says: 'government continues'",-0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-04-25 21:11:16.334000+00:00,2020-04-25 22:31:37.487000+00:00,4821153.0
66,UOL,['Bolsonaro'],Pátria de Bolsonaro é sua própria família,Bolsonaro's homeland is his own family,0.800000011920929,0.0,0.800000011920929,0.0,False,2020-05-23 12:03:23.078000+00:00,2020-05-23 18:32:52.453000+00:00,23369375.0
67,UOL,['Weintraub'],Economia chancelou ida de Weintraub aos EUA com carta ao Banco Mundial,Economy chanced weintraub's trip to the U.S. with letter to the World Bank,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-06-22 18:02:55.309000+00:00,2020-06-22 22:31:52.003000+00:00,16136694.0
68,UOL,"['Bolsonaro', 'Moro']","Depoimento aponta ilegalidades de Bolsonaro e Moro, dizem especialistas","Testimony points to illegalities of Bolsonaro and Moro, experts say",0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-05-06 23:31:37.979000+00:00,2020-05-07 09:03:32.858000+00:00,34314879.0
69,O Antagonista,['Bolsonaro'],Bolsonaro derrete,Bolsonaro melts,0.30000001192092896,0.5,0.30000001192092896,0.5,False,2020-05-28 10:04:45.086000+00:00,2020-05-28 12:31:30.814000+00:00,8805728.0
70,Folha de SP,['Heleno'],"Resposta à ameaça de Heleno gera atrito entre partidos, Maia responde e oposição reclama","Response to the threat of Heleno generates friction between parties, Maia responds and opposition complains",-0.4000000059604645,-0.20000000298023224,0.4000000059604645,0.20000000298023224,False,2020-05-27 13:01:46.500000+00:00,2020-05-27 16:03:55.160000+00:00,10928660.0
71,R7,['Bolsonaro'],Bolsonaro inaugura hospital de campanha em Goiás e diz torcer por leitos vazios,Bolsonaro inaugurates field hospital in Goiás and says cheer for empty beds,0.10000000149011612,-0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-06-05 23:01:41.480000+00:00,2020-06-06 01:03:37.576000+00:00,7316096.0
72,O Antagonista,['Weintraub'],Mandem Weintraub para a Hungria,Send Weintraub to Hungary,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-06-15 19:32:14.963000+00:00,2020-06-15 21:32:14.206000+00:00,7199243.0
73,G1,['Bolsonaro'],Ministro exonera 2 após Bolsonaro reclamar de nota técnica que cita aborto,Minister exonerates 2 after Bolsonaro complain of technical note that cites abortion,-0.30000001192092896,-0.4000000059604645,0.30000001192092896,0.4000000059604645,False,2020-06-05 14:32:33.988000+00:00,2020-06-05 15:03:30.926000+00:00,1856938.0
74,R7,['Covas'],"Bruno Covas afirma que está 'bem, sem dor', apesar da covid-19","Bruno Covas says he is 'fine, no pain', despite covid-19",0.4000000059604645,-0.10000000149011612,0.4000000059604645,0.10000000149011612,False,2020-06-16 19:03:38.941000+00:00,2020-06-16 19:33:17.957000+00:00,1779016.0
75,Folha de SP,['Weintraub'],"Quanto mais erros, mais Weintraub tem apoio de radicais","The more mistakes, the more Weintraub has support from radicals",0.20000000298023224,-0.6000000238418579,0.20000000298023224,0.6000000238418579,False,2020-06-13 17:31:53.735000+00:00,2020-06-13 23:01:34.852000+00:00,19781117.0
76,Folha de SP,"['Bolsonaro', 'Heleno']",General Heleno fala em 'consequências imprevisíveis' se celular de Bolsonaro for apreendido,General Heleno speaks of 'unpredictable consequences' if Bolsonaro's cell phone is seized,0.0,-0.5,0.0,0.5,False,2020-05-22 19:32:27.930000+00:00,2020-05-22 20:32:30.866000+00:00,3602936.0
77,G1,['Bolsonaro'],Decisão de Bolsonaro sobre reajuste a servidores será teste para Guedes,Bolsonaro decision on readjustment to servers will be test for Guedes,0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-05-11 18:30:58.804000+00:00,2020-05-12 00:02:38.029000+00:00,19899225.0
78,R7,['Bolsonaro'],"'Algo grave está acontecendo com nossa democracia', diz Bolsonaro","'Something serious is happening to our democracy,' says Bolsonaro",-0.30000001192092896,-0.10000000149011612,0.30000001192092896,0.10000000149011612,False,2020-05-28 02:32:23.456000+00:00,2020-05-28 04:04:04.354000+00:00,5500898.0
79,UOL,['Bolsonaro'],"'Eu apenas compareço', diz Bolsonaro sobre participação em atos contra o STF","'I just attend', says Bolsonaro on participation in acts against the Supreme Court",-0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-06-01 13:03:27.435000+00:00,2020-06-01 14:01:54.973000+00:00,3507538.0
80,G1,['Bolsonaro'],Quem é o advogado da família Bolsonaro e dono da casa onde Queiroz foi preso,Who is the lawyer of the Bolsonaro family and owner of the house where Queiroz was arrested,0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-06-18 15:31:59.670000+00:00,2020-06-18 17:02:52.734000+00:00,5453064.0
81,O Antagonista,['Bolsonaro'],Falas de Bolsonaro e Heleno sobre a China em vídeo preocupam Planalto,Bolsonaro and Heleno talks about China in video worry Plateau,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-13 23:33:15.911000+00:00,2020-05-14 01:32:16.854000+00:00,7140943.0
82,O Antagonista,['Bolsonaro'],"ENTREVISTA: “Bolsonaro e sua família sofrem de síndrome da conspiração”, diz Paulo Marinho","INTERVIEW: ""Bolsonaro and his family suffer from conspiracy syndrome"", says Paulo Marinho",0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-31 00:32:33.350000+00:00,2020-05-31 12:04:42.583000+00:00,41529233.0
83,UOL,['Moro'],"Ao citar eleições para vetar vídeo completo, Aras tinha Moro como alvo","By citing elections to veto full video, Aras had Moro targeted",0.0,-0.5,0.0,0.5,False,2020-05-16 15:02:37.123000+00:00,2020-05-16 18:31:45.536000+00:00,12548413.0
84,UOL,['Bolsonaro'],Secretaria de SP rebate Bolsonaro e vê fala irresponsável sobre isolamento,Sp Secretariat rebate Bolsonaro and sees irresponsible talk about isolation,0.0,-0.8999999761581421,0.0,0.8999999761581421,False,2020-04-30 15:02:16.126000+00:00,2020-04-30 18:02:47.262000+00:00,10831136.0
85,R7,['Hasselmann'],STF autoriza nomeação de Hasselmann para cargo na Câmara,Supreme Court authorizes hasselmann's appointment to office in the House,0.0,0.0,0.0,0.0,False,2020-06-27 00:31:42.301000+00:00,2020-06-27 01:05:26.794000+00:00,2024493.0
86,UOL,['Guedes'],Edu Guedes luta  para recuperar movimentos da mão,Edu Guedes struggles to regain hand movements,0.20000000298023224,-0.6000000238418579,0.20000000298023224,0.6000000238418579,False,2020-06-26 22:32:47.600000+00:00,2020-06-27 12:33:04.402000+00:00,50416802.0
87,G1,['Bolsonaro'],"Entenda o que é o Centrão, bloco da Câmara que Bolsonaro tenta atrair","Understand what is the Centrão, block of the Chamber that Bolsonaro tries to attract",0.0,0.0,0.0,0.0,False,2020-04-29 22:31:22.264000+00:00,2020-04-29 23:01:16.988000+00:00,1794724.0
