id,doc,chunk_id,dim,embedding_0_8,text_preview
doc4_config_api.txt::1::cb8615cd33d04032,doc4_config_api.txt,1,1024,"[-0.010826174169778824, -0.017417265102267265, -0.019163863733410835, 0.010924046859145164, -0.04507184028625488, -0.03481357917189598, -0.05235809460282326, 0.021856416016817093]","nte local) - Diretório: .chroma_db (configurável por RAG_CHROMA_DIR) - Coleção: rag_docs (configurável por RAG_CHROMA_COLLECTION) - O banco armazena: - embeddings - documentos (texto do chunk) - metadados (doc, chunk_id) - ids estáveis (doc::chunk_id::fingerprint) ## Variáveis de ambiente (principais) - Ollama: - OLLAMA_BASE_URL = http://localhost:11434 - OLLAMA_MODEL = llama3.2 - OLLAMA_EMBED_MODEL = bge-m3 - RAG: - RAG_DOCS_DIR = rag_docs - RAG_CHUNK_SIZE = 900 - RAG_CHUNK_OVERLAP = 120 - RAG_TOP_K = 4 - RAG_EMBED_BATCH = 32 - Chroma: - RAG_CHROMA_DIR = .chroma_db - RAG_CHROMA_COLLECTION = rag_docs - RAG_REINDEX_ON_CHANGE = 1 (reindexa quando o corpus mudar) ## Observação sobre “score” No Chroma, a query retorna ""distances"". Dependendo da métrica/config: - distância menor significa chunk mais próximo - para exibir como score, pode-se usar score~=1 - distance (aproximação) No projeto, o..."
doc4_config_api.txt::2::cb8615cd33d04032,doc4_config_api.txt,2,1024,"[-0.00907909031957388, -0.008146089501678944, -0.020293662324547768, 0.02633639983832836, -0.03575468808412552, -0.04468658193945885, -0.02797224558889866, 0.04363579303026199]","enor significa chunk mais próximo - para exibir como score, pode-se usar score~=1 - distance (aproximação) No projeto, o score é usado principalmente para depuração/explicabilidade do retrieval. ## Como provar que o banco vetorial está funcionando - col.count() mostra o número total de chunks indexados - col.peek() mostra amostras com documents/metadatas/embeddings - col.query(...) retorna Top-K com metadados e distâncias (retrieval)..."
doc5_resultados_relatorio.txt::0::cb8615cd33d04032,doc5_resultados_relatorio.txt,0,1024,"[-0.04520833492279053, -0.04039725288748741, -0.024037308990955353, -0.056075625121593475, -0.01784343458712101, -0.046955086290836334, -0.009848961606621742, 0.05011267215013504]","# QUESTÃO 1 — RESULTADOS (CLÁSSICO vs LLM) ## Dataset: - n_total: 600 - n_train: 480 - 80% dos dados para treinamento (ratio=0.8) - n_test: 120 - 20% dos dados para teste (ratio=0.2) - n_fake_total: 300 - n_real_total: 300 - fake_ratio: 0.5 - title_avg_chars: 125.605 - title_avg_words: 21.56833333333333 ## Modelo clássico selecionado (melhor por F1 em CV): - LogReg ## Validação cruzada (médias 5-fold no treino): - LinearSVC: F1=0.9698 | Acc=0.9688 - LogReg: F1=0.9702 | Acc=0.9688 - MultinomialNB: F1=0.9606 | Acc=0.9604 - SGD_hinge: F1=0.9653 | Acc=0.9646 - RandomForest: F1=0.9701 | Acc=0.9688 ## Teste (Clássico): - Acurácia: 0.9833 - Precision: 0.9677 - Recall: 1.0000 - F1: 0.9836 - Confusion Matrix: [[58, 2], [0, 60]] - 58 (VP - Verdadeiro Positivo) - 2 (FN - Falso Negativo) - 0 (FP - Falso Positivo) - 60 (VN - Verdadeiro Negativo) ## Classification Report (Clássico): precision recall f..."
doc5_resultados_relatorio.txt::1::cb8615cd33d04032,doc5_resultados_relatorio.txt,1,1024,"[-0.04614086449146271, -0.045621905475854874, -0.018458422273397446, -0.03882119432091713, -0.014638256281614304, -0.06523680686950684, -0.00624137232080102, 0.06356944888830185]","ativo) - 0 (FP - Falso Positivo) - 60 (VN - Verdadeiro Negativo) ## Classification Report (Clássico): precision recall f1-score support Real 1.0000 0.9667 0.9831 60 Fake 0.9677 1.0000 0.9836 60 accuracy 0.9833 120 macro avg 0.9839 0.9833 0.9833 120 weighted avg 0.9839 0.9833 0.9833 120 Imagem CM clássico: outputs\cm_classico.png Erros clássico (CSV): outputs\misclass_classico.csv ## Teste (LLM - Ollama): - Modelo: llama3.2 - N avaliado: 120 - Acurácia: 0.9333 - Precision: 0.9333 - Recall: 0.9333 - F1: 0.9333 - Confusion Matrix: [[56, 4], [4, 56]] - 56 (VP - Verdadeiro Positivo) - 4 (FN - Falso Negativo) - 4 (FP - Falso Positivo) - 56 (VN - Verdadeiro Negativo) ## Classification Report (LLM): precision recall f1-score support Real 0.9333 0.9333 0.9333 60 Fake 0.9333 0.9333 0.9333 60 accuracy 0.9333 120 macro avg 0.9333 0.9333 0.9333 120 weighted avg 0.9333 0.9333 0.9333 120 Imagem CM LLM:..."
doc5_resultados_relatorio.txt::2::cb8615cd33d04032,doc5_resultados_relatorio.txt,2,1024,"[-0.06058109551668167, -0.03574410080909729, -0.04824385046958923, -0.02794005535542965, -0.027031397446990013, -0.00793689675629139, -0.037981461733579636, 0.029084717854857445]",33 0.9333 60 accuracy 0.9333 120 macro avg 0.9333 0.9333 0.9333 120 weighted avg 0.9333 0.9333 0.9333 120 Imagem CM LLM: outputs\cm_llm.png Predições LLM (CSV): outputs\predicoes_llm.csv --- Erros LLM (CSV): outputs\misclass_llm.csv Discordâncias clássico vs LLM (CSV): outputs\discordancias_classico_vs_llm.csv...
doc6_json_resultados_cache.txt::0::cb8615cd33d04032,doc6_json_resultados_cache.txt,0,1024,"[-0.017926044762134552, -0.000438306771684438, -0.011077892035245895, 0.016316033899784088, -0.023726098239421844, -0.024306198582053185, 0.025695236399769783, 0.062058985233306885]","{ ""Embraer abre processo de arbitragem após Boeing rescindir acordo entre as empresas | Vale do Paraíba e Região | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""Anotação no site G1, notório pela precisão em notícias."" }, ""Vendas de veículos usados caem 83% em abril, diz Fenauto | Auto Esporte | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""fornece data específica e uma fonte (Fenauto)"" }, ""Nova etapa da Lava Jato pode banir PT, PMDB e PP da política brasileira"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Para o ministro [Luís Roberto Barroso], Bolsonaro foi corajoso e demonstrou ser um grande líder, pois não abandona sua nação nem em momentos difíceis como o que estamos passando agora, com a pandemia do COVID-19."": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Desviar o dinheiro do Fundão Eleitoral para outros fins é prejudicial a democracia..."
doc6_json_resultados_cache.txt::1::cb8615cd33d04032,doc6_json_resultados_cache.txt,1,1024,"[-0.029938507825136185, 0.0010274649830535054, -0.013764709234237671, 0.019584299996495247, -0.015471138060092926, -0.053733598440885544, 0.007730664685368538, 0.045924894511699677]","nfidence"": 0.8, ""reason"": ""curta"" }, ""Desviar o dinheiro do Fundão Eleitoral para outros fins é prejudicial a democracia sic. Devemos manter este pilar intacto nem que isto custe a vida de alguns brasileiros. #FundaoEDemocracia"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Pablo Escobar, Cristina Kirchner, Dilma Rousseff e Néstor Kirchner. Alta sociedade do crime reunida"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta e sensacionalista"" }, ""Recessão aumentou mortes em cidades onde gasto com assistência e saúde foi menor, diz estudo | Economia | G1"": { ""label"": ""REAL"", ""confidence"": 0.8, ""reason"": ""tem mencionado uma fonte (G1) e um conceito científico (recessão e mortes), o que sugere que a notícia é baseada em dados reais."" }, ""Tracking BTG que acabou de sair para o mercado financeiro: Bolsonaro, 52%, Haddad, 48%. P.S.: Votos válidos."": { ""label"": ""FAKE"", ""confi..."
doc6_json_resultados_cache.txt::2::cb8615cd33d04032,doc6_json_resultados_cache.txt,2,1024,"[-0.04649129509925842, -0.0003803351428359747, 0.007478600367903709, 0.006611745338886976, -0.007887682877480984, 0.0113800298422575, -0.0036253416910767555, 0.05721322074532509]"," acabou de sair para o mercado financeiro: Bolsonaro, 52%, Haddad, 48%. P.S.: Votos válidos."": { ""label"": ""FAKE"", ""confidence"": 1.0, ""reason"": ""não há informações confiáveis sobre um resultado eleitoral com mais de 2 anos após a data do evento"" }, ""Transparência mostra que Bolsonaro é responsável pelo maior orçamento da Educação na história"": { ""label"": ""FAKE"", ""confiance"": 0.8, ""reason"": ""curta"" }, ""Abriu a caixa preta do BNDES, que terá de devolver ao Tesouro Nacional R$ 316 bilhões roubados pelo PT"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Auxílio Emergencial: saques em dinheiro da poupança digital começam a ser liberados nesta segunda; veja calendário | Economia | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""curta e relacionado a um jornalista respeitado como o G1"" }, ""Nissan suspende contratos de trabalhadores de produção no Brasil por 1 mês | Auto Espor..."
doc6_json_resultados_cache.txt::3::cb8615cd33d04032,doc6_json_resultados_cache.txt,3,1024,"[-0.05020749941468239, -0.009231888689100742, -0.00632101483643055, -0.011826944537460804, -0.0024935647379606962, -0.05024489387869835, -0.0009345037979073822, 0.041799962520599365]","alista respeitado como o G1"" }, ""Nissan suspende contratos de trabalhadores de produção no Brasil por 1 mês | Auto Esporte | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""detalhes específicos e fonte confiável"" }, ""Três em cada quatro brasileiros vão manter consumo reduzido após pandemia, diz pesquisa da CNI | Economia | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""fornece uma fonte (CNI) e não é um boato comum ou desinformação"" }, ""UFSCar suspende calendários dos cursos de graduação presenciais por tempo indeterminado | São Carlos e Araraquara | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""não há indicação de boato, a fonte é um site de notícias (G1)"" }, ""Filas e incerteza: mulheres que criam filhos sozinhas esperam pelo auxílio-emergencial durante pandemia | Distrito Federal | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""tem informações específicas so..."
doc6_json_resultados_cache.txt::4::cb8615cd33d04032,doc6_json_resultados_cache.txt,4,1024,"[-0.07717757672071457, 0.03909515589475632, -0.015254523605108261, -0.014833607710897923, -0.015299485065042973, 0.0064239525236189365, -0.019264204427599907, 0.05145964026451111]","rante pandemia | Distrito Federal | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""tem informações específicas sobre um evento ou situação real"" }, ""OAB pede que STF suspenda autorização para novos cursos de direito | Política | G1"": { ""label"": ""REAL"", ""confidence"": 0.8, ""reason"": ""Fonte credível e com conhecimento específico do assunto, além de ser um título de uma notícia de um site de política como o G1."" }, ""Imprensa internacional desmascara Lula e divulga poupança de U$ 108 milhões em Luxemburgo, caiu a casa de vez"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""China construiu 1.000 leitos em 10 dias. Exército brasileiro constrói 2.000 em 48 horas."": { ""label"": ""FAKE"", ""confidence"": 0.9, ""reason"": ""curta e exagerada"" }, ""Coronavírus: Argentina abandona negociações do Mercosul para priorizar política econômica interna | Economia | G1"": { ""label"": ""REAL"", ""confid..."
doc6_json_resultados_cache.txt::5::cb8615cd33d04032,doc6_json_resultados_cache.txt,5,1024,"[-0.05030062794685364, -0.0018573637353256345, 0.01000409945845604, 0.006785125005990267, -0.035062842071056366, -0.01739255152642727, 0.0208295825868845, 0.03481113910675049]"," abandona negociações do Mercosul para priorizar política econômica interna | Economia | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""Fonte confiável e informações verificáveis"" }, ""Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Empresários do comércio das flores tentam salvar o dia das mães em meio a pandemia | Pequenas Empresas & Grandes Negócios | G1"": { ""label"": ""REAL"", ""confidence"": 0.8, ""reason"": ""tem fonte específica e contexto que apoia a veracidade do evento"" }, ""Unicamp abre inscrições para bolsas de iniciação científica e tecnológica; veja como participar | Campinas e Região | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""nome do instituto é mencionado e a notícia está relacionada a um evento específico"" }, ""Esse projeto de lei anticrime do [Sérgio] Moro,..."
doc6_json_resultados_cache.txt::6::cb8615cd33d04032,doc6_json_resultados_cache.txt,6,1024,"[-0.09065958112478256, 0.0005155181279405951, -0.03562721982598305, 0.05300009250640869, -0.008527682162821293, -0.03619798645377159, -0.03449925407767296, 0.049144621938467026]","to é mencionado e a notícia está relacionada a um evento específico"" }, ""Esse projeto de lei anticrime do [Sérgio] Moro, Hitler do judiciário, quer punir a corrupção. Um absurdo, corrupção é algo cultural no Brasil e forma de governo de todos os presidentes desde a redemocratização"": { ""label"": ""FAKE"", ""confidence"": 0.9, ""reason"": ""curta"" }, ""Todos os senadores do PT votaram a favor do aumento para os ministros do STF"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Segundo o embaixador da China no Brasil, Li Jinzhang, quem invadiu área de pesca Chinesa foi o barco brasileiro Oceano Pesca I"": { ""label"": ""FAKE"", ""confidence"": 1.0, ""reason"": ""falta de evidências"" }, "" Sabe o Bala de Prata Hum. Ele poderia ser usado contra o juiz lá de Curitiba. Ele [bala de prata] é capaz de tudo"": { ""label"": ""FAKE"", ""confidence"": 0.9, ""reason"": ""curta e exagerada, característica comum de boat..."
doc6_json_resultados_cache.txt::7::cb8615cd33d04032,doc6_json_resultados_cache.txt,7,1024,"[-0.04686891660094261, 0.03108278475701809, 0.0105988634750247, 0.03714175894856453, -0.01735050044953823, -0.052738796919584274, -0.05847415328025818, 0.05946638435125351]","rata] é capaz de tudo"": { ""label"": ""FAKE"", ""confidence"": 0.9, ""reason"": ""curta e exagerada, característica comum de boatos/desinformações"" }, ""Basta colocar o número 1 na urna e ela escolhe o candidato pra você vídeo"": { ""label"": ""FAKE"", ""confidence"": 1.0, ""reason"": ""curta"" }, ""Indústria de frango no Brasil vê corte na produção por efeito do coronavírus | Agronegócios | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""O título cita uma fonte específica (G1) e aborda um tema de notícias reais, como a pandemia de COVID-19 e seu impacto na indústria."" }, ""Justiça mantém cronograma do Enem e determina 2 de maio como data limite para pedir isenção da taxa | Enem 2020 | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""detalha data específica e fonte (G1)"" }, ""Vivemos numa época onde querem que os padres se casem e que os casados se divorciem. Querem que os héteros tenham relacionamen..."
doc6_json_resultados_cache.txt::8::cb8615cd33d04032,doc6_json_resultados_cache.txt,8,1024,"[-0.027846623212099075, 0.04248039424419403, -0.030676592141389847, 0.016862714663147926, -0.04240221902728081, -0.04252845048904419, -0.012909647077322006, 0.037818681448698044]","s numa época onde querem que os padres se casem e que os casados se divorciem. Querem que os héteros tenham relacionamentos líquidos sem compromisso, mas que os gays se casem na Igreja..."": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Desviar o dinheiro do Fundão Eleitoral para outros fins é prejudicial a democracia. Devemos manter este pilar intacto nem que isto custe a vida de alguns brasileiros."": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta e sensacionalista"" }, ""Coronavírus: Unicamp integra pesquisa para mapear impacto da pandemia na população brasileira | Campinas e Região | G1"": { ""label"": ""REAL"", ""confidence"": 1.0, ""reason"": ""fornece detalhes específicos sobre uma instituição de ensino (Unicamp) e uma fonte de notícias reconhecida (G1)"" }, ""Paraná Pesquisas registrado no TSE: Bolsonaro vence em todos os estados imagem"": { ""label"": ""FAKE"", ""confidence"": 0...."
doc6_json_resultados_cache.txt::9::cb8615cd33d04032,doc6_json_resultados_cache.txt,9,1024,"[-0.016139119863510132, 0.027794810011982918, -0.0066225905902683735, 0.012693369761109352, -0.017729006707668304, -0.02074582874774933, 0.008654298260807991, 0.05310574918985367]","}, ""Paraná Pesquisas registrado no TSE: Bolsonaro vence em todos os estados imagem"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Instagram agora permite remoção de vários comentários de uma única vez | Tecnologia | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""curta"" }, ""Governo Bolsonaro em 7 dias de governo tira meio milhão de pessoas da pobreza: medo da auditoria causa debandada de beneficiários do Bolsa Família"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""curta"" }, ""Minha jornada foi reduzida em 50%, mas na prática estou trabalhando mais que isso. O que eu faço | Economia | G1"": { ""label"": ""REAL"", ""confidence"": 0.9, ""reason"": ""O título menciona uma opinião pessoal e um exemplo específico, o que sugere que a notícia é baseada em experiência real."" }, ""Nem Olinda, nem Salvador, nem Rio de Janeiro Presidente Jair Bolsonaro assina decreto cortando verba do c..."
doc6_json_resultados_cache.txt::10::cb8615cd33d04032,doc6_json_resultados_cache.txt,10,1024,"[-0.04926837235689163, 0.01430341973900795, -0.04247792065143585, -0.006564943585544825, -0.008747567422688007, -0.012678739614784718, -0.056394826620817184, 0.02178669534623623]","cia real."" }, ""Nem Olinda, nem Salvador, nem Rio de Janeiro Presidente Jair Bolsonaro assina decreto cortando verba do carnaval e parada gay em todo o Brasil. O decreto já cancela o carnaval de 2019."": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""data inconsistente com a data do carnaval de 2019"" }, ""Segundo o embaixador da China no Brasil, Li Jinzhang, quem invadiu área de pesca Chinesa foi o barco brasileiro Oceano Pesca I; mesmo estando na costa do Brasil, já que no Governo Dilma foi assinado um tratado onde o Brasil cedeu por 25 anos parte da costa brasileira para pesca chinesa incluindo com exclusividade a pesca do atum. ENTENDERAM POVO GADO OU PRECISO DESENHAR"": { ""label"": ""FAKE"", ""confidence"": 0.8, ""reason"": ""falta de evidências e detalhes específicos sobre o tratado assinado pelo governo Dilma, além de inconsistências na informação sobre a invasão de área de pesca chinesa"" },..."
